Player,Class,Pos,Summary
Garrett Nussmeier,SR,QB,"337 Cmp, 525 Att, 4052 Yds, 29 TD"
Rickie Collins,SO,QB,"5 Cmp, 5 Att, 35 Yds, 0 TD"
AJ Swann,SR,QB,"2 Cmp, 4 Att, 10 Yds, 0 TD"
Knox Dyson,SO,QB,
Colin Hurley,SO,QB,
Caden Durham,SO,RB,"140 Att, 753 Yds, 5.4 Avg"
Josh Williams,SR,RB,"117 Att, 482 Yds, 4.1 Avg"
Kaleb Jackson,JR,RB,"44 Att, 150 Yds, 3.4 Avg"
John Emery Jr.,SR,RB,"10 Att, 61 Yds, 6.1 Avg"
Ju'Juan Johnson,SO,RB,"7 Att, 14 Yds, 2.0 Avg"
Ty'son Edwards,SR,RB,
Malachi Lane,SR,RB,
Joseph Ebun,SO,RB,
Trey Holly,SO,RB,
DK Kency,SO,RB,
Zavion Thomas,SR,WR,"23 Rec, 218 Yds, 9.5 Avg"
Aaron Anderson,JR,WR,"61 Rec, 884 Yds, 14.5 Avg"
Kyren Lacy,SR,WR,"58 Rec, 866 Yds, 14.9 Avg"
CJ Daniels,SR,WR,"42 Rec, 480 Yds, 11.4 Avg"
Chris Hilton Jr.,SR,WR,"9 Rec, 243 Yds, 27.0 Avg"
Javen Nicholas,JR,WR,"3 Rec, 24 Yds, 8.0 Avg"
Kyle Parker,SO,WR,"3 Rec, 55 Yds, 18.3 Avg"
Cowinn Helaire,JR,WR,
Landon Ibieta,JR,WR,
Shelton Sampson,SO,WR,
Isaiah Stone,SO,WR,
Jelani Watkins,SO,WR,
Kylan Billiot,SO,WR,
Noah Nash,SR,WR,
Mason Taylor,SR,TE,"55 Rec, 546 Yds, 9.9 Avg"
Trey'Dez Green,SO,TE,"13 Rec, 101 Yds, 7.8 Avg"
Ka'Morreun Pimpton,JR,TE,"6 Rec, 79 Yds, 13.2 Avg"
Gabe Leonards,SR,TE,
GiVanni Peterson,SR,TE,
Landon Craig,SO,TE,
Tyree Adams,SO,OL,
Bo Bordelon,JR,OL,
Will Campbell,SR,OL,
DJ Chester,SO,OL,
Garrett Dellinger,SR,OL,
Coen Echols,SO,OL,
Miles Frazier,SR,OL,
Emery Jones,SR,OL,
Paul Mubenga,SO,OL,
Braden Augustus,SO,OL,
Thomas Crawford,SR,OL,
Khayree Lee Jr.,SO,OL,
Aaron McDaniel,SR,OL,
Kobe Roberts,SR,OL,
Christian Stamps,SO,OL,
Aeron Burrell,SO,K,
Nathan Dibert,SR,K,
Damian Ramos,SR,K,
Aidan Corbello,SO,K,
Jacobian Guillory,SR,DL,
Jay'Viar Suggs,SR,DL,
Jalen Thomas,SR,DL,
Xavier Atkins,SO,LB,
Kenzel Kelly,SR,LB,
Davhon Keys,SO,LB,
Greg Penn III,SR,LB,
Harold Perkins,SR,LB,
Tylen Singleton,SO,LB,
West Weeks,SR,LB,
Whit Weeks,JR,LB,
Jake Ibieta,SO,LB,
Sage Ryan,SR,DB,
Javien Toviano,JR,DB,
Blake Ochsendorf,SR,P,
Peyton Todd,SR,P,
Badger Hargett,SO,P,
Zy Alexander,SR,CB,
Jordan Allen,JR,S,
Austin Ausberry,JR,S,
Ahmad Breaux,SO,DT,
Jyaire Brown,SR,CB,
Major Burns,SR,S,
Dylan Carpenter,SO,DE,
Kolaj Cobbins,SO,DE,
Weston Davis,SO,OT,
Wallace Foster IV,SO,CB,
Jardin Gilbert,SR,S,
CJ Jackson,SO,DE,
Kylin Jackson,SO,S,
Jakailin Johnson,SR,CB,
Saivion Jones,SR,DE,
Jalen Lee,SR,DT,
Kimo Makaneole,SR,DT,
Princeton Malbrue,SR,DE,
Dominick McKinley,SO,DT,
Gio Paez,SR,DT,
Gabriel Reliford,SO,DE,
Joel Rogers,SO,S,
Slade Roy,SR,LS,
Paris Shand,SR,DE,
Tyson Short,SO,S,
Dashawn Spears,SO,S,
Ashton Stamps,JR,CB,
Bradyn Swinson,SR,DE,
Michael Turner Jr.,SO,CB,
Chris Velotta,SR,S,
Craig Walton Jr.,SO,CB,
Shone Washington,JR,DT,
Ory Williams,SO,OT,
Da'Shawn Womack,JR,DE,
PJ Woodland,SO,CB,
Joey August,SO,DT,
Ethan Calloway,SO,OT,
Bernard Causey III,SO,CB,
Jake Davis,JR,LS,
Justin Echols,SR,CB,
Jonathan Ferguson,SR,LS,
De'Myrion Johnson,SO,DT,
Quad Wilson,SR,S,
