Player,Class,Pos,Summary
Braylon Braxton,SR,QB,"124 Cmp, 206 Att, 1624 Yds, 19 TD"
Stone Earle,SR,QB,"65 Cmp, 120 Att, 673 Yds, 7 TD"
Cole Pennington,JR,QB,"5 Cmp, 7 Att, 57 Yds, 1 TD"
Cortney Davis,SO,QB,
Aiden Karsh,SO,QB,
JacQai Long,SO,QB,
Chase Massey,SO,QB,
Colin Parachek,JR,QB,
Jordan Houston,SR,RB,"111 Att, 592 Yds, 5.3 Avg"
A.J. Turner,SR,RB,"104 Att, 864 Yds, 8.3 Avg"
Ethan Payne,SR,RB,"65 Att, 323 Yds, 5.0 Avg"
Moses Gray Jr.,SO,RB,"7 Att, 25 Yds, 3.6 Avg"
C.J. Fazio,JR,RB,
Carter Holsworth,SO,RB,
Siddiq Jackson,SR,RB,
Stanley Jackson,SO,RB,
Antwan Roberts,SR,RB,
Randy Young,SR,RB,
Tychaun Chapman,JR,WR,"17 Rec, 146 Yds, 8.6 Avg"
Charles Montgomery,SR,WR,"32 Rec, 393 Yds, 12.3 Avg"
Elijah Metcalf,JR,WR,"20 Rec, 194 Yds, 9.7 Avg"
Christian Fitzpatrick,SR,WR,"34 Rec, 576 Yds, 16.9 Avg"
Carl Chester,SR,WR,"20 Rec, 342 Yds, 17.1 Avg"
Bralon Brown,SR,WR,"15 Rec, 166 Yds, 11.1 Avg"
Bryan Robinson,SR,WR,"8 Rec, 82 Yds, 10.3 Avg"
DeMarcus Harris,SR,WR,"1 Rec, 10 Yds, 10.0 Avg"
Antwaan Mays,JR,WR,
Ishmael Roy,SR,WR,
Marcel Williams,SO,WR,
Robert Winters,SO,WR,
Vari Adams,SO,WR,
Justin Haggerty,JR,WR,
K.J. Jones,JR,WR,
Cace Reed,SO,WR,
Toby Payne,SR,TE,"17 Rec, 168 Yds, 9.9 Avg"
Justin Holmes,JR,TE,"1 Rec, 11 Yds, 11.0 Avg"
Jacarius Clayton,SO,TE,
Cade Conley,SR,TE,
Tracy Stephens,JR,TE,
Aiden Steinfeldt,SO,TE,
Shun'Markus Adams,JR,OL,
Isaac Clary,JR,OL,
Elijah Ellis,SR,OL,
Jeremy Jones,SR,OL,
Eric Meeks,JR,OL,
Tarig Montgomery,JR,OL,
Cedrick Nicely,SR,OL,
Logan Osburn,SR,OL,
Bryce Ramsey,SR,OL,
Christian Richter,JR,OL,
Shawn Rouse,JR,OL,
Jalen Slappy,JR,OL,
Lucas Copenhaver,JR,OL,
Andrew Hancock,SO,OL,
Treaden Henry,SO,OL,
Anwaar Smith,SO,OL,
Rece Verhoff,SR,K,
Nathan Totten,JR,K,
Cameron Chmura,SO,DL,
Jaxson Cunningham,SO,DL,
Dylan Davis,SR,DL,
Mike Green,JR,DL,
TyQaze Leggs,SR,DL,
Jude Okolo,SR,DL,
Jason Shuford,SR,DL,
Chris Thomas Jr.,SR,DL,
RaQuan Thompson,SR,DL,
Braydin Ward,JR,DL,
Mikailin Warren,JR,DL,
Isaiah Gibson,SR,DL,
Jackson Klein,SO,DL,
Chris Stokes,SO,DL,
J'coryan Anderson,SR,LB,
Monroe Beard III,SR,LB,
Chason Clark,SO,LB,
Jadarius Green-McKnight,SR,LB,
Leon Hart,JR,LB,
Mathias Haygood,JR,LB,
Ashton Heflin,SO,LB,
Devon McBride,SO,LB,
Landyn Watson,SR,LB,
Jaden Yates,JR,LB,
Donovan Garrett,SO,LB,
Gary Jones Jr.,SO,LB,
Caleb Clark-Glover,JR,DB,
Ishmael Ibraheem,JR,DB,
Josh Moten,SR,DB,
Daytione Smith,SR,DB,
De'Javion Stepney,JR,DB,
Alec Clark,SO,P,
Will Holt,SO,P,
Olasunkonmi Agunloye,JR,DT,
Matthew Bosset,JR,LS,
MaLik Caswell,SO,S,
Cade Davis,SR,LS,
Ahmere Foster,JR,CB,
Ian Foster,JR,CB,
Deeve Harris,SR,DE,
JJ Hawkins,JR,DE,
Jacobie Henderson,JR,S,
Jabari Ishmael,SR,DE,
TaShawn Jeter,JR,CB,
Kam Kynard,SO,S,
AG McGhee,SR,S,
Corey Myrick,SO,S,
Drew Petit,JR,LS,
Jordan Reagan,SR,CB,
"Anthony Richard, Jr.",JR,CB,
J.J Roberts,JR,S,
Guylijah Theodale,SO,CB,
Ajani Cuevas-Gillis,SR,S,
Jason Haggerty,JR,CB,
Will Petit,JR,LS,
Jacob Pinkney,JR,S,
Elijah Smalls,SO,S,
