Player,Class,Pos,Summary
Billy Edwards Jr.,SR,QB,"273 Cmp, 420 Att, 2881 Yds, 15 TD"
MJ Morris,JR,QB,"36 Cmp, 61 Att, 350 Yds, 5 TD"
Cameron Edge,SR,QB,"5 Cmp, 8 Att, 67 Yds, 1 TD"
Champ Long,JR,QB,"1 Cmp, 2 Att, 10 Yds, 0 TD"
Roman Jensen,SO,QB,
Khristian Martin,SO,QB,
Jayden Sauray,SR,QB,
Roman Hemby,SR,RB,"134 Att, 607 Yds, 4.5 Avg"
Nolan Ray,JR,RB,"75 Att, 374 Yds, 5.0 Avg"
Colby McDonald,SR,RB,"29 Att, 150 Yds, 5.2 Avg"
DeJuan Williams,SO,RB,"8 Att, 46 Yds, 5.8 Avg"
Josiah McLaurin,SO,RB,
Eli Mason,SR,RB,
Ryne Acheson,SR,RB,
Colin Reynolds,SO,RB,
Tai Felton,SR,WR,"96 Rec, 1124 Yds, 11.7 Avg"
Kaden Prather,SR,WR,"56 Rec, 624 Yds, 11.1 Avg"
Octavian Smith Jr.,SR,WR,"30 Rec, 315 Yds, 10.5 Avg"
Shaleak Knotts,SR,WR,"11 Rec, 161 Yds, 14.6 Avg"
Braedan Wisloski,JR,WR,"5 Rec, 75 Yds, 15.0 Avg"
Ryan Manning,JR,WR,"3 Rec, 28 Yds, 9.3 Avg"
Ezekial Avit,JR,WR,"1 Rec, 13 Yds, 13.0 Avg"
Robert Smith Jr.,SR,WR,"1 Rec, 8 Yds, 8.0 Avg"
Ricardo Cooper Jr.,JR,WR,
Jaiden Fair,JR,WR,
Alec Hughes,JR,WR,
Jahmari Powell-Wonson,SO,WR,
Mekhai White,SO,WR,
Khalid Jones,SR,WR,
Parker Jones,JR,WR,
Josh Richards,JR,WR,
Emerson Smith,SO,WR,
Sean Williams,JR,WR,
Dylan Wade,JR,TE,"29 Rec, 374 Yds, 12.9 Avg"
Preston Howard,SR,TE,"24 Rec, 189 Yds, 7.9 Avg"
Leon Haughton Jr.,SR,TE,"2 Rec, 11 Yds, 5.5 Avg"
Leron Husbands,SR,TE,
AJ Szymanski,JR,TE,
Maxwell Brown,SR,TE,
Thomas McCluskey,JR,TE,
Aliou Bah,JR,OL,
Logan Bennett,SO,OL,
Isaac Bunyun,SR,OL,
Terez Davis,SO,OL,
Deandre Duffus,JR,OL,
Marcus Dumervil,SR,OL,
Alan Herron,SR,OL,
Michael Hershey,SO,OL,
Ryan Howerton,SO,OL,
Kevin Kalonji,SR,OL,
Josh Kaltenberger,SR,OL,
Kyle Long,SR,OL,
Anthony Robsock,SO,OL,
Andre Roye Jr.,SR,OL,
Trevor Szymanski,SO,OL,
Tamarus Walker,JR,OL,
Billy Molloy,JR,OL,
Davon Watkins,SO,OL,
Isaiah Wright,SR,OL,
Jack Howes,SR,K,
Gavin Marshall,JR,K,
Ryan Capriotti,JR,K,
Tommy Akingbesote,SR,DL,
Aaron Folivi,JR,DL,
Dillan Fontus,JR,DL,
Quashon Fuller,SR,DL,
Lavon Johnson,JR,DL,
Taizse Johnson,SR,DL,
Dimitry Nicolas,SO,DL,
Daniel Owens,SR,DL,
Jordan Phillips,JR,DL,
Joshua Simmons,SO,DL,
Samuel Adu,SR,DL,
Akindele Dare,JR,DL,
Kellan Wyatt,SR,LB,
DJ Samuels,JR,LB,
Neeo Avery,JR,LB,
Donnell Brown,SR,LB,
Keion Flowers,SO,LB,
Keyshawn Flowers,SO,LB,
Dylan Gooden,SO,LB,
Darius Grimes,JR,LB,
Michael Harris,JR,LB,
Ruban Hyppolite II,SR,LB,
Keyari James,SO,LB,
Trey Reddick,SO,LB,
Caleb Wheatland,SR,LB,
Dylan Wingate,JR,LB,
Jonathan Akins,JR,DB,
Perry Fisher,SR,DB,
Rex Fleming,SR,DB,
Chantz Harley,SR,DB,
Kevyn Humes,SO,DB,
Lloyd Irvin III,SO,DB,
Brandon Jacob,SO,DB,
Judah Jenkins,SO,DB,
Braydon Lee,SO,DB,
Shamar McIntosh,SO,DB,
Glendon Miller,SR,DB,
Alex Moore,JR,DB,
La'khi Roland,SO,DB,
Lavain Scruggs,SR,DB,
Kevis Thomas,JR,DB,
Dante Trader,SR,DB,
Lionell Whitaker,SR,DB,
Sebastian Antoine-Pompey,JR,DB,
Karon Ball,SR,DB,
Taylor Best,JR,DB,
J'Mar Branion,JR,DB,
Mykel Morman,JR,DB,
Tayvon Nelson,JR,DB,
Carson Petitbon,JR,DB,
Chris Wells,JR,DB,
Bryce McFerson,JR,P,
Philip Noyes,SO,P,
Brenden Segovia,JR,P,
Ethan Gough,SR,LS,
Jalen Huskey,JR,CB,
Kellen McConnell,SO,LS,
