Player,Class,Pos,Summary
Seth Henigan,SR,QB,"309 Cmp, 477 Att, 3502 Yds, 25 TD"
Harris Boyd,SO,QB,"1 Cmp, 1 Att, 14 Yds, 0 TD"
Arrington Maiden,SO,QB,
Cade Cunningham,SR,QB,
Matt Dean,SO,QB,
Mario Anderson,SR,RB,"236 Att, 1362 Yds, 5.8 Avg"
Brandon Thomas,SR,RB,"57 Att, 335 Yds, 5.9 Avg"
Gregory Desrosiers,SR,RB,"31 Att, 228 Yds, 7.4 Avg"
Makari Bodiford,SO,RB,"15 Att, 106 Yds, 7.1 Avg"
Sutton Smith,SR,RB,"3 Att, 7 Yds, 2.3 Avg"
Mario Robinson Jr.,SO,RB,
Khyair Spain,SO,RB,
Ja'koby Banks,JR,WR,"3 Rec, 1 Yds, 0.3 Avg"
Jamari Hawkins,JR,WR,"3 Rec, 24 Yds, 8.0 Avg"
Roc Taylor,SR,WR,"66 Rec, 950 Yds, 14.4 Avg"
Demeer Blankumsee,SR,WR,"45 Rec, 677 Yds, 15.0 Avg"
Koby Drake,SR,WR,"39 Rec, 484 Yds, 12.4 Avg"
Marcello Bussey,SR,WR,"10 Rec, 147 Yds, 14.7 Avg"
Jyaire Shorter,SR,WR,"10 Rec, 123 Yds, 12.3 Avg"
Brady Kluse,SO,WR,"5 Rec, 90 Yds, 18.0 Avg"
Jordan Bell,SO,WR,
Konde Henry,SO,WR,
Bryce Dorsey,SO,WR,
Tyson Edwards,SO,WR,
Hunter Hale,SO,WR,
Justin Hughes,SR,WR,
Brian Shields,SO,WR,
Timothy Toney,JR,WR,
Markese Williams,SO,WR,
Anthony Landphere,SR,TE,"33 Rec, 379 Yds, 11.5 Avg"
Brendan Doyle,SR,TE,"13 Rec, 105 Yds, 8.1 Avg"
Jamauri Chislom,SR,TE,"1 Rec, 3 Yds, 3.0 Avg"
Christian Ross,SO,TE,
Darien Bell,SO,TE,
Luke Logan,SO,TE,
Andrew Martin,SO,TE,
Chris Adams,JR,OL,
Malachi Breland,SO,OL,
Jonah Gambill,SR,OL,
Mitchell Gildehaus,SR,OL,
Xavier Hill,SR,OL,
Trent Holler,SR,OL,
Tim Marmino,SR,OL,
Kyndall McKenzie,JR,OL,
Jaylen Nichols,SR,OL,
Jonathan Young,SR,OL,
Andrew Cornell-Laird,SO,OL,
Will French,SO,OL,
Jacob Gray,SO,OL,
Taccofah Lewis,SO,OL,
Calvin McMillian,SR,OL,
Cullen Montgomery,SO,OL,
Cameron Pascal,SR,OL,
Parker Peterson,SO,OL,
Ben Turner,SO,OL,
Kobe Williams,SO,OL,
Caden Costa,SR,K,
Tristian Vandenberg,SR,K,
Landon Carter,SO,K,
Oliver Castaneda,SO,K,
Viczaril Alobwede,SR,DL,
Devin Baldwin,SR,DL,
Mond Cole,SR,DL,
Javon Denis,SR,DL,
Reggie Grimes,SR,DL,
Cormontae Hamilton,SR,DL,
Derick Hunter,SR,DL,
Adarious Jones,SR,DL,
Patrick Lucas Jr.,SR,DL,
Jayden Marable,SO,DL,
Donovan Nevils,SO,DL,
Keveion'ta Spears,SR,DL,
Joshua White,JR,DL,
William Whitlow Jr.,SR,DL,
Kavion Benton,SO,DL,
Jorhdan Brown,JR,DL,
Gabriel Cepicky,SO,DL,
Jalen Charles,SO,DL,
Clayton Harris,SO,DL,
Jon Hulbert,SO,DL,
AJ Odom,JR,DL,
Bryce Edmondson,SR,LB,
Jayden Flaker,SR,LB,
Kamore Harris,SO,LB,
Elijah Herring,SR,LB,
Matt Hudson,SR,LB,
Brett Karhu,SR,LB,
Chandler Martin,SR,LB,
Donovan Mathena,JR,LB,
Daryl Minor,SR,LB,
Tylon Nash,JR,LB,
Karmelo Overton,JR,LB,
Braunson White,SR,LB,
Javante Mackey,JR,LB,
Ian Rembert,SO,LB,
Nate Thomason,SO,LB,
Isaiah Thomison,SO,LB,
Max Walenta,SR,LB,
Julian Barnett,SR,DB,
DJ Bell,JR,DB,
An'darius Coffey,SR,DB,
Chalil Cummings,SO,DB,
Jaidyn Denis,SR,DB,
Jordan Grier,SR,DB,
Charlie Harrell,SO,DB,
Samson Israel,SR,DB,
Marcus Lee Jr.,JR,DB,
Kourtlan Marsh,SR,DB,
Cameron Miller,JR,DB,
Kobee Minor,SR,DB,
MarJayvious Moss,SO,DB,
Tahj Ra-El,SR,DB,
Davion Ross,SR,DB,
Greg Rubin,SR,DB,
Tyrin Taylor,SR,DB,
A.J. Watts,SR,DB,
Ethan Wilder,SO,DB,
Jacory Johnson,SO,DB,
Trey Lubin,SR,DB,
Shawn Pepp Jr.,SR,DB,
Kolby Phillips,JR,DB,
Jamariez Robinson,SO,DB,
Cameron Upshaw Jr.,JR,DB,
Tanner Gillis,SR,P,
Joshua Sloan,SR,P,
Spencer Sullins,SO,P,
Colby Cox,SR,LS,
Keydrell Lewis,SR,OT,
William Stewart,SR,LS,
Jonathan Zarut,SO,LS,
