Player,Class,Pos,Summary
Brett Gabbert,SR,QB,"217 Cmp, 379 Att, 2921 Yds, 21 TD"
Henry Hesson,SR,QB,"7 Cmp, 17 Att, 93 Yds, 1 TD"
Thomas Gotkowski,SO,QB,
Maddox Kopp,SR,QB,
Matt MacLeod,SR,QB,
Keyon Mozee,SR,RB,"178 Att, 1098 Yds, 6.2 Avg"
Jordan Brunson,SR,RB,"53 Att, 299 Yds, 5.6 Avg"
Kevin Davis,SR,RB,"50 Att, 331 Yds, 6.6 Avg"
Dylan Downing,SR,RB,"44 Att, 152 Yds, 3.5 Avg"
Josh Ringer,SO,RB,"6 Att, 7 Yds, 1.2 Avg"
Nate Milanowski,SR,RB,"4 Att, 8 Yds, 2.0 Avg"
D'Shawntae Jones,SO,RB,"1 Att, 2 Yds, 2.0 Avg"
Kenny Tracy,SR,RB,
Danny Dunlop,SR,RB,
Tito Glass,SO,RB,
Javon Tracy,SR,WR,"57 Rec, 818 Yds, 14.4 Avg"
Cade McDonald,SR,WR,"52 Rec, 631 Yds, 12.1 Avg"
Reginald Virgil,SR,WR,"41 Rec, 816 Yds, 19.9 Avg"
Kamryn Perry,SO,WR,"10 Rec, 166 Yds, 16.6 Avg"
Andre Johnson,SR,WR,"7 Rec, 120 Yds, 17.1 Avg"
Cole Weaver,JR,WR,"2 Rec, 38 Yds, 19.0 Avg"
Braylon Isom,SO,WR,"1 Rec, 17 Yds, 17.0 Avg"
Lynel Billups-Williams,JR,WR,
Jackson Izzard,SR,WR,
Michael Parish,SO,WR,
Christian Schomer,SR,WR,
Ryan Sims,JR,WR,
Tommy Gallagher,SO,WR,
Jack Coldiron,SR,TE,"13 Rec, 139 Yds, 10.7 Avg"
Preston Daniel,SR,TE,"2 Rec, 12 Yds, 6.0 Avg"
Connor Briggs,SR,TE,"1 Rec, 5 Yds, 5.0 Avg"
Brian Shane,SR,TE,"1 Rec, 12 Yds, 12.0 Avg"
Chase Becker,SR,TE,
Vaughn Johnson,SO,TE,
Zach Meeks,SO,TE,
Hunter Teal,SO,TE,
Kolby Borders,SR,OL,
Ben Decker,JR,OL,
Reid Holskey,SR,OL,
Will Jados,SR,OL,
Brandon Lawhorn Moore,SR,OL,
Andrew Lowry,JR,OL,
Kris Manu,SO,OL,
Charlie Nank,SR,OL,
Gavin Rohrs,SR,OL,
Jacob Schorsch,SO,OL,
Eric Smith,SR,OL,
Gregory Smith,JR,OL,
Drew Terrill,SR,OL,
John Young,SR,OL,
Aiden Howard,SO,OL,
Michael Popov,JR,OL,
Marcus White,SR,OL,
Danny Zarco II,SO,OL,
Alec Bevelhimer,SR,K,
Dom Dzioban,SR,K,
Carter Holden,SO,K,
Kellan McLaughlin,JR,K,
OJ Alexander,SO,DL,
Roosevelt Andrews,JR,DL,
Devin Bell,SO,DL,
Donovan Davis,SO,DL,
Savio Frazier,SR,DL,
William Goodvine II,SO,DL,
Javon Hammonds,SO,DL,
Kobe Hilton,SR,DL,
Joshua Lukusa,SR,DL,
Ethan McDowell,JR,DL,
Logan Neu,SR,DL,
Dalton Norris,SR,DL,
Brian Ugwu,SR,DL,
Nasir Washington,SR,DL,
Malachi Clark,SR,DL,
Ben Nash,SO,DL,
Eli Shereshovech,JR,DL,
Sam Williams,SO,DL,
Eli Coppess,SR,LB,
Tyler Dikos,JR,LB,
Jayden Fuller,SO,LB,
Corban Hondru,SR,LB,
Jackson Kuwatch,SR,LB,
Grant Lyons,SR,LB,
Malcolm McCain,JR,LB,
Christian McKinney,JR,LB,
Oscar McWood,SR,LB,
Luke Myers,SR,LB,
Brach Rice,SO,LB,
Matthew Salopek,SR,LB,
Adam Trick,SR,LB,
Cameron Williams,SR,LB,
Ty Wise,SR,LB,
Carter Herriman,SO,LB,
Malik Ray,JR,LB,
Brock Uihlein,JR,LB,
Jermaine Agee,SO,DB,
Eli Blakey,SR,DB,
Gino Blasini,SO,DB,
Ambe' Caldwell,SR,DB,
Leo Colombi,SO,DB,
William Hardrick,SR,DB,
Devin Johnson,SR,DB,
Kaleb Martin,SO,DB,
Jackson Pons,SO,DB,
Raion Strader,JR,DB,
"Coleman, Jr. Toney",SO,DB,
Caleb Tubbs,SR,DB,
Silas Walters,SR,DB,
Mychal Yharbrough,JR,DB,
Steven Favazzo,JR,DB,
Ryan Kahn,SR,DB,
TJ Rush,SR,DB,
Luke Evans,SO,CB,
Hudson Powell,SR,LS,
Corey Suttle,SR,DE,
Nick Walker,SR,LS,
Caleb Schlater,SO,LS,
