Player,Class,Pos,Summary
Davis Warren,SR,QB,"134 Cmp, 209 Att, 1199 Yds, 7 TD"
Jack Tuttle,SR,QB,"30 Cmp, 50 Att, 306 Yds, 1 TD"
Alex Orji,SR,QB,"25 Cmp, 47 Att, 150 Yds, 3 TD"
Jadyn Davis,SO,QB,
Anthony Arnou,SR,QB,
Jayden Denegal,SR,QB,
Donovan Edwards,SR,RB,"128 Att, 589 Yds, 4.6 Avg"
Kalel Mullings,SR,RB,"185 Att, 948 Yds, 5.1 Avg"
Jordan Marshall,SO,RB,"31 Att, 120 Yds, 3.9 Avg"
Benjamin Hall,JR,RB,"29 Att, 72 Yds, 2.5 Avg"
Tavierre Dunlap,SR,RB,"1 Att, 20 Yds, 20.0 Avg"
Micah Ka'apana,SO,RB,"1 Rec, 4 Yds, 4.0 Avg"
Henry Donohue,SR,RB,
Leon Franklin,SR,RB,
Bryson Kuzdzal,JR,RB,
Cole Cabana,JR,RB,
Tomas O'Meara,SO,RB,
Semaj Morgan,JR,WR,"27 Rec, 139 Yds, 5.1 Avg"
Frederick Moore,JR,WR,"11 Rec, 128 Yds, 11.6 Avg"
Tyler Morris,SR,WR,"23 Rec, 248 Yds, 10.8 Avg"
Kendrick Bell,JR,WR,"7 Rec, 70 Yds, 10.0 Avg"
Peyton O'Leary,SR,WR,"10 Rec, 102 Yds, 10.2 Avg"
CJ Charleston,SR,WR,"1 Rec, 22 Yds, 22.0 Avg"
Joe Taylor,SR,WR,"1 Rec, 9 Yds, 9.0 Avg"
Logan Forbes,SR,WR,
Channing Goodwin,SO,WR,
Drew Hickmott,SO,WR,
Kaleb Schlecht,JR,WR,
I'Marion Stewart,SO,WR,
Bryce Wilcox,SR,WR,
Colston Loveland,SR,TE,"56 Rec, 582 Yds, 10.4 Avg"
Marlin Klein,SR,TE,"13 Rec, 108 Yds, 8.3 Avg"
Hogan Hansen,SO,TE,"7 Rec, 78 Yds, 11.1 Avg"
Max Bredeson,SR,TE,"3 Rec, 24 Yds, 8.0 Avg"
Jalen Hoffman,JR,TE,
Zach Marshall,JR,TE,
Grayson Dee,JR,TE,
Noah Howes,SR,TE,
Brady Prieskorn,SO,TE,
Deakon Tonielli,JR,TE,
Raheem Anderson,SR,OL,
Tristan Bounds,SR,OL,
Greg Crippen,SR,OL,
Nathan Efobi,JR,OL,
Giovanni El-Hadi,SR,OL,
Andrew Gentry,SR,OL,
Dominick Giudice,SR,OL,
Jake Guarnera,SO,OL,
Myles Hinton,SR,OL,
Evan Link,JR,OL,
Jeffrey Persi,SR,OL,
Josh Priebe,SR,OL,
Andrew Sprague,SO,OL,
Dan Taraboi,SR,OL,
Blake Frazier,SO,OL,
Luke Hamilton,SO,OL,
Connor Jones,SR,OL,
James Kavouklis,SR,OL,
Cole Morgan,JR,OL,
Ben Roebuck,SO,OL,
Tommy Doman,SR,K,
Charlie Mentzer,JR,K,
Dominic Zvada,SR,K,
Stone Anderson,JR,K,
Stuart Blake,SO,K,
Adam Samaha,JR,K,
Manuel Beigel,SO,DL,
Rayshaun Benny,SR,DL,
Enow Etta,JR,DL,
Mason Graham,SR,DL,
Kenneth Grant,SR,DL,
Ike Iwunnah,SR,DL,
Trey Pierce,JR,DL,
Peter Simmons,SR,DL,
Brooks Bahr,JR,DL,
Ted Hammond,SO,DL,
Alessandro Lorenzetti,SR,DL,
Deyvid Palepale,SO,DL,
Owen Wafle,SO,DL,
Jaishawn Barham,SR,LB,
Christian Bolvin,SR,LB,
Ernest Hausmann,SR,LB,
Jason Hewlett,JR,LB,
Jaydon Hood,SR,LB,
Alexander Lidback,JR,LB,
Jack MacKinnon,JR,LB,
Joel Metzger,SR,LB,
Micah Pollard,SR,LB,
Jimmy Rolder,SR,LB,
Cole Sullivan,SO,LB,
Liam Groulx,JR,LB,
Zach Ludwig,SO,LB,
John Weidenbach,JR,LB,
Amorion Walker,SR,DB,
Nico Andrighetto,SR,DB,
Zeke Berry,SR,DB,
Mason Curtis,SO,DB,
Jo'Ziah Edmond,SO,DB,
Aamir Hall,SR,DB,
Keshaun Harris,SR,DB,
Jyaire Hill,JR,DB,
Brandyn Hillman,JR,DB,
Quinten Johnson,SR,DB,
Ricky Johnson,SR,DB,
Will Johnson,SR,DB,
Kody Jones,SR,DB,
Ja'Den McBurrows,SR,DB,
Jacob Oden,SO,DB,
Makari Paige,SR,DB,
Myles Pollard,SR,DB,
Max Reyes,SR,DB,
Wesley Walker,SR,DB,
Micah Davis,JR,DB,
Jeremiah Lowe,SO,DB,
Rod Moore,SR,DB,
Joshua Nichols,SR,DB,
Shomari Stone,JR,DB,
Hudson Hollenbeck,SR,P,
Chibi Anwunah,SR,DE,
Kechaun Bennett,SR,DE,
Cameron Brandt,JR,DE,
TJ Guy,SR,DE,
Breeon Ishmail,JR,DE,
Aymeric Koumba,JR,DE,
Jaden Mangham,SR,S,
Tyler McLaurin,SR,DE,
Derrick Moore,SR,DE,
Dominic Nichols,SO,DE,
Josaiah Stewart,SR,DE,
Greg Tarr,SR,LS,
William Wagner,SR,LS,
Devon Baxter,SO,DE,
Evan Boutorwick,SR,LS,
Lugard Edokpayi,SO,DE,
Joseph Klunder,SR,DE,
Dan Rosenberg,JR,LS,
