Player,Class,Pos,Summary
Aidan Chiles,JR,QB,"192 Cmp, 323 Att, 2415 Yds, 13 TD"
Tommy Schuster,SR,QB,"20 Cmp, 29 Att, 202 Yds, 0 TD"
Alessio Milivojevic,SO,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD"
Atticus Carridine,SO,QB,
Ryland Jessee,SO,QB,
Kay'ron Adams,SR,RB,"133 Att, 649 Yds, 4.9 Avg"
Nate Carter,SR,RB,"116 Att, 499 Yds, 4.3 Avg"
Makhi Frazier,SO,RB,"7 Att, 21 Yds, 3.0 Avg"
Brandon Tullis,SO,RB,"7 Att, 20 Yds, 2.9 Avg"
Joseph Martinez,SR,RB,"1 Att, 1 Yds, 1.0 Avg"
Jaxon McCaig,SO,RB,
Chris Williams,JR,RB,
Nick Marsh,SO,WR,"41 Rec, 649 Yds, 15.8 Avg"
Alante Brown,SR,WR,"2 Rec, 20 Yds, 10.0 Avg"
Montorie Foster,SR,WR,"46 Rec, 588 Yds, 12.8 Avg"
Jaron Glover,JR,WR,"15 Rec, 192 Yds, 12.8 Avg"
Aziah Johnson,JR,WR,"16 Rec, 276 Yds, 17.3 Avg"
Antonio Gates Jr.,JR,WR,"4 Rec, 49 Yds, 12.3 Avg"
Zach Gillispie,SR,WR,"2 Rec, 16 Yds, 8.0 Avg"
Jaelen Smith,SO,WR,"1 Rec, 16 Yds, 16.0 Avg"
Jack Yanachik,SO,WR,
Grant Calcagno,SO,WR,
Austin Clay,SO,WR,
Shawn Foster,JR,WR,
Jack Velling,SR,TE,"36 Rec, 411 Yds, 11.4 Avg"
Brennan Parachek,JR,TE,"8 Rec, 63 Yds, 7.9 Avg"
Michael Masunas,JR,TE,"4 Rec, 37 Yds, 9.3 Avg"
Ademola Faleye,SR,TE,"2 Rec, 18 Yds, 9.0 Avg"
Tyneil Hopper,SR,TE,
Jaxson Wilson,SO,TE,
Charlie Baker,SO,TE,
Wyatt Hook,SO,TE,
Reeves Taylor,SO,TE,
Brandon Baldwin,SR,OL,
Andrew Dennis,SO,OL,
Dallas Fincher,SR,OL,
Rakeem Johnson,SO,OL,
Ashton Lepo,JR,OL,
Tanner Miller,SR,OL,
Luke Newman,SR,OL,
Kristian Phillips,JR,OL,
Stanton Ramil,SO,OL,
Cooper Terpstra,SO,OL,
Rustin Young,SO,OL,
Kyler Brunan,SO,OL,
Cole Dellinger,SO,OL,
Hayden Lorius,SO,OL,
Charlton Luniewski,SO,OL,
Mercer Luniewski,SO,OL,
Payton Stewart,SO,OL,
Tarik Ahmetbasic,SO,K,
Jonathan Kim,SR,K,
Martin Connington,SO,K,
Jay Coyne,JR,DL,
Mikeshun Beeler,SO,DL,
Ru'Quan Buckley,SR,DL,
Kekai Burnett,SO,DL,
Stoney Chaney,FR,DL,
D'Quan Douse,SR,DL,
Quindarius Dunnigan,SR,DL,
Maverick Hansen,SR,DL,
Anthony Jones,JR,DL,
Ben Nelson,JR,DL,
Ben Roberts,JR,DL,
Jalen Satchell,SR,DL,
Jalen Thompson,JR,DL,
Tyler Gillison,JR,DL,
Mason Nickel,SO,DL,
Chris Piwowarczyk,SO,DL,
Aaron Alexander,JR,LB,
Khris Bogle,SR,LB,
Semaj Bridgeman,SO,LB,
Sam Edwards,SR,LB,
Cal Haladay,SR,LB,
Jordan Hall,JR,LB,
Wayne Matthews,SR,LB,
David Millikin,JR,LB,
Brady Pretzlaff,SO,LB,
Marcellius Pulliam,JR,LB,
Darius Snow,SR,LB,
Jordan Turner,SR,LB,
Carter Enyard,SO,LB,
Charles Brantley,SR,DB,
Andrew Brinson IV,SO,DB,
Lejond Cavazos,SR,DB,
Caleb Coley,JR,DB,
Dorian Davis,JR,DB,
Justin Denson Jr.,SO,DB,
Caleb Gash,SO,DB,
Angelo Grose,SR,DB,
Aveon Grose,JR,DB,
Jeremiah Hughes,JR,DB,
Brandon Lewis,SO,DB,
Khalil Majeed,SR,DB,
Nikai Martinez,SR,DB,
Chance Rucker,JR,DB,
Armorion Smith,SR,DB,
Dillon Tatum,SR,DB,
Jaylen Thompson,SO,DB,
Ade Willie,SR,DB,
Edward Woods,SR,DB,
Philipp Davis,SO,DB,
DJ Kennard,SO,DB,
Shawn Smith,JR,DB,
Ryan Eckley,JR,P,
Carson Voss,JR,P,
Gavin Broscious,JR,OG,
Jack Carson Wentz,JR,LS,
Avery Dunn,SR,DE,
Jacob Merritt,JR,OT,
Kaden Schickel,JR,LS,
James Schott,JR,DE,
Malik Spencer,SR,S,
Ken Talley,JR,DE,
Alex VanSumeren,JR,DT,
