Player,Class,Pos,Summary
Nicholas Vattiato,SR,QB,"269 Cmp, 418 Att, 3092 Yds, 16 TD"
Roman Gagliano,SO,QB,"4 Cmp, 9 Att, 41 Yds, 0 TD"
Stone Frost,SR,QB,
Luther Richesson,JR,QB,
Jaiden Credle,SR,RB,"109 Att, 471 Yds, 4.3 Avg"
Jekail Middlebrook,SO,RB,"60 Att, 273 Yds, 4.6 Avg"
Terry Wilkins,SR,RB,"54 Att, 214 Yds, 4.0 Avg"
Frank Peasant,SR,RB,"10 Att, 49 Yds, 4.9 Avg"
Jayce Gardner,SR,RB,"1 Att, 8 Yds, 8.0 Avg"
Brian Brewton,SR,RB,"2 Rec, 7 Yds, 3.5 Avg"
Austin Clemons,SO,RB,
Omari Kelly,SR,WR,"53 Rec, 869 Yds, 16.4 Avg"
Cam'ron Lacy,JR,WR,"20 Rec, 190 Yds, 9.5 Avg"
Myles Butler,SR,WR,"30 Rec, 366 Yds, 12.2 Avg"
Hayes Sutton,SR,WR,"15 Rec, 126 Yds, 8.4 Avg"
Gamarion Carter,SR,WR,"12 Rec, 123 Yds, 10.3 Avg"
Javonte Sherman,SR,WR,"9 Rec, 108 Yds, 12.0 Avg"
Jacob Coleman,SR,WR,"2 Rec, 17 Yds, 8.5 Avg"
Ethan Crite,JR,WR,"2 Rec, 14 Yds, 7.0 Avg"
Kellen Stewart,SR,WR,"1 Rec, 20 Yds, 20.0 Avg"
Sam Driggers,SO,WR,
Josh Evans,SO,WR,
Mitchell Howell,SR,WR,
Tyson Resper,JR,WR,
Caleb Dochnahl,SR,WR,
Elijah Ealey,SR,WR,
Holden Willis,SR,TE,"53 Rec, 871 Yds, 16.4 Avg"
Evan Poticher,SO,TE,"6 Rec, 45 Yds, 7.5 Avg"
Taharin Sudderth,SR,TE,"3 Rec, 16 Yds, 5.3 Avg"
Ryan Hoerstkamp,SR,TE,"1 Rec, 1 Yds, 1.0 Avg"
Slade Alexander,SR,TE,
Brody Benke,SO,TE,
Daniel Gonzalez,SR,TE,
Bobby Council,SO,TE,
Christopher Kaup,SO,TE,
Sawyer Lovvern,SO,TE,
Simon Wilson,SR,OL,
Ellis Adams,SR,OL,
J'Shun Bodiford,SR,OL,
Zach Clayton,SO,OL,
Ethan Ellis,SR,OL,
Mateo Guevara,JR,OL,
Dumela Knox,SR,OL,
Marcus Miller,SR,OL,
Julius Pierce,SR,OL,
Issac Rue,SO,OL,
Morgan Scott,SR,OL,
Shamar Crawford,JR,OL,
Alex Gale,SO,OL,
Derrick Keith,SO,OL,
Jason Overton,SO,OL,
Lantz Peoples,SO,OL,
Jaylen Robinson,JR,OL,
Zach Benedict,JR,K,
Zeke Rankin,SR,K,
Jacob Taylor,SO,K,
Felix Hixon,JR,DL,
James Stewart,SR,DL,
Alex Williams,SR,DL,
Amarrien Bailey,SO,LB,
Muaaz Byard,JR,LB,
Elijah Carney,SO,LB,
Devyn Curtis,SR,LB,
Jalen Davis,SR,LB,
Drew Francis,SR,LB,
Parker Hughes,SR,LB,
Markel James,JR,LB,
Jayson Lowe,JR,LB,
Korey Smith,SO,LB,
Nash Stidham,JR,LB,
Jordan Thompson,SO,LB,
Nolan Forsha,SR,LB,
Jacob Jackson,SR,LB,
Malik Love,SO,LB,
Caleb Reid,SO,LB,
Brendon Harris,SR,DB,
Jackson Lowe,SO,DB,
James Monds III,JR,DB,
Abdul Muhammad,SR,DB,
Tyrell Raby,SR,DB,
Alan Young,SO,DB,
Grant Chadwick,SO,P,
Trey Turk,SR,P,
Xavier Williams,SR,S,
Jordan Beasley,SO,S,
Brandon Buckner,SR,DE,
Brody Butler,SR,LS,
Aidan Butts,SO,DE,
Anthony Bynum,SO,DE,
Jared Douglas,SR,S,
Da'Shawn Elder,SR,S,
Trenton Ferrell,JR,CB,
James Gillespie,SR,DT,
John Howse IV,SR,S,
Jalen Jackson,SR,CB,
Chris Johnson,SR,S,
Reggie Johnson,SR,DE,
DeArre McDonald,SR,S,
Ja'Darious Morris,JR,DT,
Marvae Myers-Glover,SR,S,
Andy Nwaoko,SR,DE,
Tiyyan Robinson,SO,DE,
James Shellman IV,SR,CB,
Damonte Smith,SR,DT,
Rickey Smith,SR,S,
Shakai Woods,SO,DT,
Kedrick Burley,SO,DE,
Connor Dougherty,JR,LS,
Henry Hamlin,SO,LS,
Ayden Merrihew,SR,DT,
Taylor Ratinaud,SO,S,
Zeion Simpson-Smith,SO,DE,
Chayce Smith,SO,DE,
