Player,Class,Pos,Summary
Max Brosmer,SR,QB,"268 Cmp, 403 Att, 2828 Yds, 18 TD"
Drake Lindsey,SO,QB,"4 Cmp, 5 Att, 50 Yds, 1 TD"
Dylan Wittke,SO,QB,
Jeremiah Finaly,SO,QB,
Max Shikenjanski,SO,QB,
Darius Taylor,JR,RB,"205 Att, 986 Yds, 4.8 Avg"
Marcus Major,SR,RB,"78 Att, 352 Yds, 4.5 Avg"
Jaren Mangham,SR,RB,"19 Att, 123 Yds, 6.5 Avg"
Jordan Nubin,SR,RB,"11 Att, 19 Yds, 1.7 Avg"
Sieh Bangura,SR,RB,"4 Att, 12 Yds, 3.0 Avg"
Fame Ijeboi,SO,RB,"2 Att, 13 Yds, 6.5 Avg"
Kaeden Johnson,SO,RB,
Cortez LeGrant,SO,RB,
Zander Rockow,SO,RB,
Jaydon Wright,SO,RB,
Daniel Jackson,SR,WR,"75 Rec, 863 Yds, 11.5 Avg"
Cristian Driver,JR,WR,"7 Rec, 49 Yds, 7.0 Avg"
Lemeke Brockington,SR,WR,"18 Rec, 282 Yds, 15.7 Avg"
Kristen Hoskins,JR,WR,
Elijah Spencer,SR,WR,"52 Rec, 684 Yds, 13.2 Avg"
Donielle Hayes,SO,WR,"2 Rec, 22 Yds, 11.0 Avg"
Kenric Lanier II,SO,WR,"1 Rec, 17 Yds, 17.0 Avg"
Tyler Williams,SO,WR,"1 Rec, 8 Yds, 8.0 Avg"
T.J. McWilliams,SO,WR,
Quentin Redding,SR,WR,
Jalen Smith,SO,WR,
Cade Conzemius,JR,WR,
Jameson Geers,SR,TE,"28 Rec, 290 Yds, 10.4 Avg"
Nick Kallerup,SR,TE,"9 Rec, 117 Yds, 13.0 Avg"
Frank Bierman,SR,TE,"1 Rec, 13 Yds, 13.0 Avg"
Nathan Jones,JR,TE,"1 Rec, 10 Yds, 10.0 Avg"
Jack DiSano,JR,TE,
Julian Johnson,SO,TE,
Jacob Simpson,SO,TE,
Sam Peters,SO,TE,
Pierce Walsh,SO,TE,
Ashton Beers,JR,OL,
Quinn Carroll,SR,OL,
Tyler Cooper,SR,OL,
Phillip Daniels,SO,OL,
Aireontae Ersery,SR,OL,
Jackson Hunter,SR,OL,
Greg Johnson,JR,OL,
Martes Lewis,SR,OL,
Tony Nelson,JR,OL,
Aluma Nkele,SR,OL,
Nathan Roy,SO,OL,
Reese Tripp,SO,OL,
Spencer Alvarez,JR,OL,
Brett Carroll,SO,OL,
Jerome Williams,SO,OL,
Dragan Kesich,SR,K,
Sam Henson,SR,K,
David Kemp,SR,K,
Nate Becker,SR,DL,
Deven Eastern,SR,DL,
Lucas Finnessy,SR,DL,
Jack Hawkinson,SR,DL,
Darnell Jefferies,SR,DL,
Jah Joyner,SR,DL,
Jalen Logan-Redding,SR,DL,
Luther McCoy,SR,DL,
Karter Menz,SO,DL,
Martin Owusu,SO,DL,
Logan Richter,SR,DL,
Hayden Schwartz,JR,DL,
Anthony Smith,JR,DL,
Danny Striggow,SR,DL,
Jaylin Hicks,SO,DL,
Adam Kissayi,SO,DL,
Sam Macy,SO,DL,
Mo Saine,SO,DL,
Riley Sunram,SO,DL,
Maverick Baranowski,JR,LB,
Mason Carrier,SO,LB,
Joey Gerlach,JR,LB,
Matt Kingsbury,SO,LB,
Derik LeCaptain,SR,LB,
Cody Lindenberg,SR,LB,
Eli Mau,SR,LB,
Tyler Stolsky,JR,LB,
Devon Williams,SR,LB,
David Amaliri,SO,LB,
Alex Elliott,SO,LB,
Jack Tinnen,JR,LB,
Drew Wilson,SO,LB,
Kerry Brown,SO,DB,
Za'Quan Bryan,SO,DB,
Coleman Bryson,JR,DB,
Mike Gerald,SO,DB,
Aidan Gousby,JR,DB,
Darius Green,SR,DB,
Jack Henderson,SR,DB,
Rhyland Kelly,JR,DB,
Samuel Madu,SO,DB,
Craig McDonald,SR,DB,
Jaionte McMillan,SR,DB,
Garrison Monroe,SO,DB,
Koi Perich,SO,DB,
Evan Redding,JR,DB,
Ethan Robinson,SR,DB,
Justin Walley,SR,DB,
Harrison Brun,SO,DB,
Ethan Carrier,SO,DB,
Oberhiri Eyafe,SO,DB,
Chris Flowers,SO,DB,
Jordan Greenhow,SR,DB,
Jackson Powers,SO,DB,
Zahir Rainer,SO,DB,
Simon Seidl,SO,DB,
Mark Crawford,SR,P,
Caleb McGrath,SO,P,
Jaxon Howard,JR,DE,
Theorin Randle,SO,DE,
Alan Soukup,SO,LS,
Ryan Algrim,SO,LS,
