Player,Class,Pos,Summary
Michael Van Buren Jr.,SO,QB,"140 Cmp, 256 Att, 1886 Yds, 11 TD"
Blake Shapen,SR,QB,"74 Cmp, 108 Att, 974 Yds, 8 TD"
Chris Parson,SO,QB,"0 Cmp, 2 Att, 0 Yds, 0 TD"
Jake Weir,SR,QB,
Davon Booth,SR,RB,"152 Att, 759 Yds, 5.0 Avg"
Johnnie Daniels,SR,RB,"108 Att, 540 Yds, 5.0 Avg"
Keyvone Lee,SR,RB,"29 Att, 140 Yds, 4.8 Avg"
Xavier Gayten,SO,RB,"8 Att, 115 Yds, 14.4 Avg"
Brinston Williams,JR,RB,
Javaris Bufford,SR,RB,
Seth Davis,JR,RB,
Ashtanyrein Duncan,SO,RB,
Wykece Johnson,SR,RB,
Jeffery Pittman,JR,RB,
Kevin Coleman Jr.,SR,WR,"74 Rec, 932 Yds, 12.6 Avg"
Mario Craver,SO,WR,"17 Rec, 368 Yds, 21.6 Avg"
Creed Whittemore,JR,WR,"4 Rec, 65 Yds, 16.3 Avg"
Kelly Akharaiyi,SR,WR,"25 Rec, 391 Yds, 15.6 Avg"
Jordan Mosely,SR,WR,"23 Rec, 405 Yds, 17.6 Avg"
Ricky Johnson,SO,WR,"2 Rec, 9 Yds, 4.5 Avg"
Braylon Burnside,SO,WR,"1 Rec, -6 Yds, -6.0 Avg"
Sanfrisco Magee,SO,WR,"1 Rec, 6 Yds, 6.0 Avg"
Logan Flinta,JR,WR,
JJ Harrell,SO,WR,
Trent Hudson,SR,WR,
Kade Kolka,SR,WR,
Jaden Walley,SR,WR,
Thomas Cheatham,SR,WR,
Antonio Harmon,SR,WR,
Seydou Traore,SR,TE,"34 Rec, 361 Yds, 10.6 Avg"
Justin Ball,SR,TE,"9 Rec, 77 Yds, 8.6 Avg"
Cameron Ball,JR,TE,
Nick Lauderdale,SR,TE,
Semaj Parker,FR,TE,
Rayfield Lotten,SO,TE,
Samuel Paxton,SR,TE,
Josh Washington,SO,TE,
Jacorey Whitted,SO,TE,
Leon Bell,SR,OL,
Canon Boone,SR,OL,
Wesley Davis,JR,OL,
Malik Ellis,JR,OL,
Grant Jackson,SR,OL,
Jacoby Jackson,SR,OL,
Jimothy Lewis Jr.,SO,OL,
TJ Lockhart,SO,OL,
Marlon Martinez,SR,OL,
Ethan Miner,SR,OL,
Makylan Pounders,SR,OL,
Albert Reese IV,SR,OL,
Luke Work,SO,OL,
Bailey Henderson,SR,OL,
Jakson LaHue,JR,OL,
Alex Lopez,SO,OL,
Amari Smith,SO,OL,
Karsten Upchurch,SR,OL,
Nicholas Barr-Mira,SR,K,
Kyle Ferrie,JR,K,
Marlon Hauck,JR,K,
William Wilkinson,SO,K,
Kedrick Bingley-Jones,SR,DL,
Corey Clark,SR,DL,
Kalvin Dinkins,JR,DL,
Joseph Head Jr.,SO,DL,
Terrance Hibbler,SO,DL,
Sulaiman Kpaka,SR,DL,
Kai McClendon,SO,DL,
De'Monte Russell,SR,DL,
Donterry Russell,JR,DL,
Ashun Shepphard,SR,DL,
Trevion Williams,SO,DL,
Gabe Moore,SO,DL,
Gavin Nelson,JR,DL,
Eric Taylor,SO,DL,
Stone Blanton,SR,LB,
Fred Clark,SO,LB,
Ty Cooper,SR,LB,
Javae Gilmore,JR,LB,
Branden Jennings,SR,LB,
Josaiah Knight,SO,LB,
John Lewis,SR,LB,
Nic Mitchell,SR,LB,
J.P. Purvis,SR,LB,
Michael Robinson,SR,LB,
Marcus Ross,SR,LB,
Zakari Tillman,JR,LB,
Tabias Hinton,SO,LB,
Montre Miller,SR,DB,
Zach Haynes,SR,P,
Ethan Pulliam,SO,P,
Kobi Albert,JR,S,
Deonte Anderson,SR,DE,
DeAgo Brumfield,SR,CB,
Elijah Cannon,SO,CB,
Corey Ellington,SR,S,
Hayes Hammond,SR,LS,
Jatavious Johnson,SO,S,
Tanner Duke Johnson,JR,S,
Kelley Jones,SO,CB,
Raydarious Jones,SR,CB,
Christopher Keys,SR,S,
Brylan Lanier,SR,S,
Jordan Morant,SR,S,
Brice Pollock,JR,CB,
Cyrus Reyes,SO,S,
Khamauri Rogers,JR,CB,
Isaac Smith,JR,S,
Hunter Washington,SR,S,
Tyler Woodard,SR,S,
Traveon Wright,SO,CB,
Nicholas Bargains,JR,CB,
Luke Beard,SO,LS,
Charlie Ingram,SO,LS,
Vic Sutton,JR,S,
