Player,Class,Pos,Summary
Brady Cook,SR,QB,"201 Cmp, 321 Att, 2535 Yds, 11 TD"
Drew Pyne,SR,QB,"49 Cmp, 82 Att, 391 Yds, 3 TD"
JR Blood,SR,QB,
Brett Brown,SR,QB,
Aidan Glover,SO,QB,
Sam Horn,JR,QB,
Tommy Lock,SR,QB,
Nate Noel,SR,RB,"163 Att, 818 Yds, 5.0 Avg"
Marcus Carroll,SR,RB,"140 Att, 595 Yds, 4.3 Avg"
Jamal Roberts,SO,RB,"53 Att, 216 Yds, 4.1 Avg"
Kewan Lacy,SO,RB,"23 Att, 104 Yds, 4.5 Avg"
Tavorus Jones,JR,RB,"13 Att, 55 Yds, 4.2 Avg"
Austin Dendy,SO,RB,
Anthony Favrow,JR,RB,
Bryce Jackson,SR,RB,
Marquis Johnson,JR,WR,"25 Rec, 352 Yds, 14.1 Avg"
Luther Burden,SR,WR,"61 Rec, 676 Yds, 11.1 Avg"
Joshua Manning,JR,WR,"13 Rec, 192 Yds, 14.8 Avg"
Mookie Cooper,SR,WR,"12 Rec, 235 Yds, 19.6 Avg"
Mekhi Miller,SR,WR,"3 Rec, 35 Yds, 11.7 Avg"
Theo Wease,SR,WR,"60 Rec, 884 Yds, 14.7 Avg"
Daniel Blood,JR,WR,"8 Rec, 81 Yds, 10.1 Avg"
Logan Muckey,SR,WR,"1 Rec, 6 Yds, 6.0 Avg"
Courtney Crutchfield,SO,WR,
James Madison III,SO,WR,
Jaden Abongo Jr.,JR,WR,
Jayden Bolton,SR,WR,
Derek Brandt,SR,WR,
Noah Flaskamp,SO,WR,
Colton Westbrook,SR,WR,
Brett Norfleet,JR,TE,"26 Rec, 235 Yds, 9.0 Avg"
Jordon Harris,JR,TE,"5 Rec, 48 Yds, 9.6 Avg"
Tyler Stephens,SR,TE,"4 Rec, 22 Yds, 5.5 Avg"
Whit Hafer,SO,TE,
Jude James,SO,TE,
Tucker Miller,JR,TE,
Adam Molitor,SO,TE,
Marcus Bryant,SR,OL,
Talan Chandler,SO,OL,
Cayden Green,JR,OL,
Drake Heismeyer,SR,OL,
Cam'ron Johnson,SR,OL,
Armand Membou,SR,OL,
Curtis Peagler,JR,OL,
Logan Reichert,SO,OL,
Jayven Richardson,JR,OL,
Connor Tollison,SR,OL,
Mitchell Walters,SR,OL,
Tristan Wilson,JR,OL,
Graham Gilmer,SO,OL,
Ryan Jostes,SO,OL,
Xavier Machado,JR,OL,
Henry McDermott,SR,OL,
Jack McGarry,JR,OL,
Chace Missouri,SO,OL,
Caleb Pyfrom,SO,OL,
Brandon Solis,JR,OL,
Blake Craig,SO,K,
Nick Quadrini,JR,K,
Brody Boehm,SO,K,
Justin Bodford,SO,DL,
Marquis Gracial,JR,DL,
Eddie Kelly,SR,DL,
Jahkai Lang,SO,DL,
Jalen Marshall,JR,DL,
Chris McClellan,SR,DL,
Joe Moore,SR,DL,
Sterling Webb,SR,DL,
Elias Williams,SO,DL,
Sam Williams,SO,DL,
Jadon Frick,SO,DL,
Jeremiah Beasley,SO,LB,
Corey Flagg Jr.,SR,LB,
Chuck Hicks,SR,LB,
Brian Huff,SO,LB,
Brady Hultman,SO,LB,
Khalil Jacobs,SR,LB,
Brayshawn Littlejohn,SO,LB,
Triston Newson,SR,LB,
Will Norris,SR,LB,
Nicholas Rodriguez,SO,LB,
Jackson Daily,SO,LB,
Tyson Ellison,SO,LB,
Jack Meyer,SR,LB,
Tommy Reese,SO,LB,
Marvin Burks,JR,DB,
Daylan Carnell,SR,DB,
Joseph Charleston,SR,DB,
Marcus Clarke,SR,DB,
Nicholas Deloach,SO,DB,
Tre'Vez Johnson,SR,DB,
Shamar McNeil,SO,DB,
Dreyden Norwood,SR,DB,
Phillip Roche,JR,DB,
Ja'Marion Wayne,JR,DB,
Sidney Williams,SR,DB,
Ricardo Merriweather,SO,DB,
Luke Bauer,SR,P,
Orion Phillips,JR,P,
Will Safris,SO,P,
Jaylen Brown,SO,DE,
Caleb Flagg,SR,S,
Trey Flint,SR,LS,
Trajen Greco,SO,S,
Jackson Hancock,SO,S,
Cameron Keys,SO,CB,
Brett Le Blanc,JR,LS,
Williams Nwaneri,SO,DE,
Nassir Pogue,JR,CB,
Toriano Pride Jr.,SR,CB,
Jaren Sensabaugh,SO,CB,
Johhny Walker Jr.,SR,DE,
Kristian Williams,SR,DT,
Zion Young,SR,DE,
Grayson Cutchlow,SO,DE,
Aidan Dubbert,JR,DE,
Jack Kautz,JR,LS,
Gerald Lacy Jr.,JR,S,
Darris Smith,SR,DE,
Colby Williams,SO,CB,
