Player,Class,Pos,Summary
Blake Horvath,SR,QB,"80 Cmp, 139 Att, 1353 Yds, 13 TD"
Braxton Woodson,JR,QB,"18 Cmp, 36 Att, 243 Yds, 2 TD"
Jackson Gutierrez,SO,QB,
Tre Jones,SO,QB,
Karson Lopati,JR,QB,
Eli Heidenreich,SR,RB,"65 Att, 444 Yds, 6.8 Avg"
Brandon Chatman,SR,RB,"48 Att, 250 Yds, 5.2 Avg"
Amir Hassan,SR,RB,"14 Att, 46 Yds, 3.3 Avg"
Isaiah Bryant,JR,RB,"7 Att, 23 Yds, 3.3 Avg"
Mikey Pearson,SO,RB,"2 Att, 14 Yds, 7.0 Avg"
Gage Leonard,JR,RB,"1 Att, 3 Yds, 3.0 Avg"
Tyler Bradley,JR,RB,
Andre Albert,FR,RB,
Michael Barrow,SO,RB,
Trai Ferguson,JR,RB,
Marcel Gaskins,JR,RB,
Andre Gilbert,SO,RB,
TK Hodges,JR,RB,
Vic Listorti,JR,RB,
Jack Skidmore,JR,RB,
Luke Hutchison,JR,WR,"4 Rec, 28 Yds, 7.0 Avg"
Nathan Kent,SR,WR,"10 Rec, 222 Yds, 22.2 Avg"
Noah Bull,JR,WR,
Joshua Guerin,JR,WR,
Kroy Myers,SR,WR,
Regis Velez,SR,WR,
Kendall Evans,JR,WR,
Casey Smith,JR,WR,
Cody Howard,SR,TE,"4 Rec, 60 Yds, 15.0 Avg"
Jake Norris,JR,TE,"4 Rec, 53 Yds, 13.3 Avg"
Thomas Scully,SR,TE,"1 Rec, 20 Yds, 20.0 Avg"
Myles Slade,SO,TE,"1 Rec, 14 Yds, 14.0 Avg"
D.J. Donovan,SR,TE,
Tyler Edwards,JR,TE,
Braylon Green,SR,TE,
Lance Gossett,JR,K,
Nathan Kirkwood,SR,K,
Landon Robinson,SR,DL,
Xavyer Arrington,SO,DL,
Griffen Willis,JR,DL,
Chris Herock,SO,DL,
Alex McCalop,JR,DL,
Terrence McCauley,JR,DL,
TaMarques McNeal,SO,DL,
Marcus Bleazard,JR,LB,
Jaxson Campbell,SR,LB,
Coleman Cauley,JR,LB,
Benjamin Franklin,SO,LB,
Job Grant,JR,LB,
Kyle Jacob,SR,LB,
Kenneth McShan,SR,LB,
Elijah Oatsvall,SR,LB,
MarcAnthony Parker,SO,LB,
Luke Pirris,SR,LB,
Colin Ramos,SR,LB,
Jordan Sanders,SR,LB,
Dylan Spelios,SR,LB,
Turner Stepp,SR,LB,
Jacob Asbeck,SO,LB,
Liam Barbee,SR,LB,
Harry Beacham,SO,LB,
Noah Beck,SO,LB,
Nicholas Bell,SR,LB,
Justin Coles,SO,LB,
Adam Klenk,SR,LB,
Luke Lawson,JR,LB,
Nolan McCamy,JR,LB,
Roderick Olson,JR,LB,
James Perkins,SO,LB,
Ian Pourciau,SR,LB,
Justice Rider,JR,LB,
Peter Roll,SR,LB,
Gavin Woods,JR,LB,
Jacob Carlson,SO,P,
Riley Riethman,SR,P,
Stephen Glenn,SR,P,
Kellen Grave de Peralta,SR,P,
Alex Tecza,SR,FB,
Daba Fofana,SR,FB,
Shane Reynolds,SR,FB,
Kush'i Abraham,JR,S,
Jaylin Acevedo,SO,OG,
Bryce Allen,JR,CB,
Javan Bouton,SR,OG,
Greyson Crawford,SR,OT,
Trey Cummings,SR,OT,
Andrew Duhart,SR,CB,
Creedyn Foulger,SR,OT,
Rayne Fry,JR,LS,
Kenneth Hall,SR,CB,
Phillip Hamilton,SO,CB,
Arnel Heathington,JR,CB,
Caden Hooper,JR,OT,
William Ingle,JR,FB,
Greg Johnson II,JR,CB,
Chreign LaFond,SR,DE,
Rayuan Lane,SR,S,
Connor Lessane,JR,S,
Connor McMahon,SR,OT,
Julien Moutome,SO,DE,
Tyler Narayan,SR,DT,
Cam Nichols,JR,OG,
Gavin Noe,JR,FB,
Ira Oniha,JR,S,
Dashaun Peele,SR,CB,
Logan Point,SR,FB,
Ben Purvis,SR,OG,
Justin Reed,SR,DE,
Matthew Reyes,JR,DT,
Justin Ross,SO,CB,
Brent Self,SR,OC,
Matthew Seliga,JR,S,
Giuseppe Sessi,JR,S,
Hoke Smith II,JR,OC,
Joshua Switzer,JR,S,
Adam Walker,SR,S,
Michael Whitehouse,SR,OT,
Kendall Whiteside,SR,DT,
Mbiti Williams,SR,CB,
Aydin Woolfolk,SO,FB,
Fernando Baker,SO,OG,
Isaac Bunker,JR,OG,
Sean Crowley,SO,OT,
Jackson Cude,SO,LS,
JaBrian Davis,JR,OG,
Carson de Avila,JR,S,
Quinton Ezzard,SO,S,
Connor Heater,SO,OT,
Jai Hundley,SO,FB,
Jake Lusk,SR,DT,
JaSean McLean,JR,S,
Luke Molden,SR,OT,
Ikenna Ozurumba,JR,DE,
Jake Polito,SO,OC,
Michael Reemts,JR,OG,
Ben Reiland,JR,DT,
Aaron Rose,SO,S,
Zarian Simms,JR,OG,
Harry Spencer,SR,OG,
Kenzo Viteri,SR,FB,
Maxwell Williams,SO,S,
Brady Wine,SR,S,
