Player,Class,Pos,Summary
Dylan Raiola,SO,QB,"275 Cmp, 410 Att, 2819 Yds, 13 TD"
Heinrich Haarberg,SR,QB,"10 Cmp, 18 Att, 101 Yds, 0 TD"
Jalyn Gramstad,JR,QB,"1 Cmp, 3 Att, 11 Yds, 0 TD"
Daniel Kaelin,SO,QB,
Luke Longval,JR,QB,
Bode Soukup,SO,QB,
Dante Dowdell,JR,RB,"143 Att, 614 Yds, 4.3 Avg"
Emmett Johnson,JR,RB,"117 Att, 598 Yds, 5.1 Avg"
Rahmir Johnson,SR,RB,"54 Att, 261 Yds, 4.8 Avg"
Gabe Ervin Jr.,SR,RB,"14 Att, 41 Yds, 2.9 Avg"
Kwinten Ives,SO,RB,"6 Att, 7 Yds, 1.2 Avg"
Maurice Mazzccua,SR,RB,"5 Att, 8 Yds, 1.6 Avg"
Mekhi Nelson,SO,RB,"1 Att, 2 Yds, 2.0 Avg"
Rowdy Bauer,SO,RB,
Jacory Barney Jr.,SO,WR,"55 Rec, 447 Yds, 8.1 Avg"
Jaylen Lloyd,JR,WR,"13 Rec, 255 Yds, 19.6 Avg"
Isaiah Neyor,SR,WR,"34 Rec, 455 Yds, 13.4 Avg"
Janiran Bonner,JR,WR,"11 Rec, 67 Yds, 6.1 Avg"
Carter Nelson,SO,WR,"10 Rec, 86 Yds, 8.6 Avg"
Kenneth Williams,SO,WR,
Jahmal Banks,SR,WR,"44 Rec, 587 Yds, 13.3 Avg"
Alex Bullock,SR,WR,"1 Rec, 12 Yds, 12.0 Avg"
Isaiah Garcia-Castaneda,SR,WR,"1 Rec, 10 Yds, 10.0 Avg"
Roman Mangini,JR,WR,"1 Rec, 11 Yds, 11.0 Avg"
Keelan Smith,SO,WR,"1 Rec, 4 Yds, 4.0 Avg"
Elliot Brown,SR,WR,
Quinn Clark,SO,WR,
Malachi Coleman,JR,WR,
Isaiah McMorris,SO,WR,
Hayes Miller,SO,WR,
Demitrius Bell,SO,WR,
Ryker Evans,SO,WR,
Dae'vonn Hall,SO,WR,
Cooper Hausmann,JR,WR,
DJ Singleton,SO,WR,
Thomas Fidone III,SR,TE,"36 Rec, 373 Yds, 10.4 Avg"
Nate Boerkircher,SR,TE,"6 Rec, 102 Yds, 17.0 Avg"
Luke Lindenmeyer,JR,TE,"5 Rec, 50 Yds, 10.0 Avg"
Cayden Echternach,SO,TE,
Ian Flynt,SO,TE,
Eric Ingwerson,SO,TE,
Danny King,SO,TE,
A.J. Rollins,SR,TE,
Connor Schutt,SO,TE,
Mac Markway,JR,TE,
Bryce Benhart,SR,OL,
Grant Brix,SO,OL,
Turner Corcoran,SR,OL,
Landen Davidson,SO,OL,
Justin Evans-Jenkins,JR,OL,
Nolan Fennessy,SO,OL,
Gunner Gottula,SO,OL,
Jacob Hood,JR,OL,
Tyler Knaak,JR,OL,
Brock Knutson,SO,OL,
Henry Lutovsky,SR,OL,
Jason Maciejczak,SO,OL,
Joey Mancino,SR,OL,
Micah Mazzccua,SR,OL,
Dylan Parrott,JR,OL,
Gibson Pyle,SO,OL,
Xander Ruggeroli,SO,OL,
Ben Scott,SR,OL,
Grant Seagren,SO,OL,
Sam Sledge,SO,OL,
Jacob Brandl,SO,OL,
Jake Peters,SO,OL,
Teddy Prochazka,SR,OL,
Preston Taumua,SO,OL,
Tristan Alvano,JR,K,
John Hohl,SO,K,
Nico Ottomanelli,SO,K,
Leslie Black,SO,DL,
Jimari Butler,SR,DL,
