Player,Class,Pos,Summary
Brendon Lewis,SR,QB,"211 Cmp, 312 Att, 2290 Yds, 16 TD"
Chubba Purdy,SR,QB,"18 Cmp, 25 Att, 239 Yds, 1 TD"
AJ Bianco,JR,QB,"16 Cmp, 24 Att, 173 Yds, 1 TD"
Baylor Horning,SR,QB,
Anthony Grigsby Jr.,JR,QB,
Anthony Wolter,SO,QB,
Savion Red,SR,RB,"119 Att, 687 Yds, 5.8 Avg"
Patrick Garwo,SR,RB,"55 Att, 246 Yds, 4.5 Avg"
Sean Dollars,SR,RB,"47 Att, 165 Yds, 3.5 Avg"
Caleb Ramseur,SR,RB,"32 Att, 110 Yds, 3.4 Avg"
Ky Woods,JR,RB,"7 Att, 25 Yds, 3.6 Avg"
Deston Hawkins,JR,RB,"7 Rec, 33 Yds, 4.7 Avg"
Ashton Hayes,JR,RB,"3 Att, 19 Yds, 6.3 Avg"
Dominik Ball,SO,RB,
Josh Tihada,SR,RB,
Marcus Bellon,SR,WR,"39 Rec, 522 Yds, 13.4 Avg"
Jaden Smith,SR,WR,"62 Rec, 849 Yds, 13.7 Avg"
Cortez Braham,SR,WR,"56 Rec, 724 Yds, 12.9 Avg"
Marshaun Brown,SO,WR,"5 Rec, 62 Yds, 12.4 Avg"
Marquis Ashley,SR,WR,"3 Rec, 21 Yds, 7.0 Avg"
Nate Burleson II,SO,WR,"3 Rec, 71 Yds, 23.7 Avg"
Kola Babalola,JR,WR,
Charles Brown,SR,WR,
Gerick Robinson,SR,WR,
Daijon Calimon,SO,WR,
Cameron Cooke,SO,WR,
Terrell Cooks Jr.,SO,WR,
Trace Estes,SO,WR,
Jace Henry,SR,TE,"7 Rec, 49 Yds, 7.0 Avg"
Andrew Savaiinaea,JR,TE,"6 Rec, 35 Yds, 5.8 Avg"
Oliver Stuart,JR,TE,"3 Rec, 21 Yds, 7.0 Avg"
Hayden George,SO,TE,
Jayden O'Rourke,JR,TE,
Carter Eck,SO,TE,
Rory Morgan,SR,TE,
Kai Arneson,SR,OL,
John Bolles,SR,OL,
Josh Grabowski,SR,OL,
Snoop Leota-Amaama,JR,OL,
Dylan Lopez,JR,OL,
Spencer Lovell,SR,OL,
Andrew Madrigal,SR,OL,
Frank Poso,SR,OL,
Tyson Ruffins,SO,OL,
Henry Sellards,SO,OL,
Jakobus Seth,JR,OL,
Josiah Timoteo,SO,OL,
Isaiah World,SR,OL,
RJ Esmon,SO,OL,
Luke Farr,SO,OL,
Aiden Kehm,SO,OL,
Ethan Lowell,SO,OL,
Tyler Miller,SO,OL,
Matthew Killam,SR,K,
Kian Afrookhteh,JR,K,
Jason Douglas Jr.,SO,DL,
Henry Ikahihifo,SR,DL,
Kaden Johnson,SR,DL,
Hunter Kaupiko,SR,DL,
Dylan Labarbera,JR,DL,
Mackavelli Malotumau,SR,DL,
David Paine Jr.,SO,DL,
Nelson Ropati,SR,DL,
Kristopher Ross,JR,DL,
Kitione Tau,SR,DL,
Zaiden Wallace,SO,DL,
Andoni Fesenmaier,SO,DL,
Caleb Lathan,SO,DL,
Hezekiah Anahu-Ambrosio,JR,LB,
Zach Beagle,SR,LB,
Stone Combs,JR,LB,
Austin Harnetiaux,JR,LB,
Jayden LaGrone,SO,LB,
Jonathan Maldonado,JR,LB,
Tongiaki Mateialona,SR,LB,
Malcolm McClure,JR,LB,
Chris Smalley,SR,LB,
LeVar Talley,SO,LB,
Drue Watts,SR,LB,
Adam Weynand,SR,LB,
Kitan Crawford,SR,DB,
Nate Floyd,SR,DB,
Jackson Barton,SO,DB,
Chad Brown,SR,DB,
Michael Coats Jr.,SR,DB,
Donoven DeRicco,JR,DB,
Denon Fagan,SR,DB,
Devin Gunter,SR,DB,
Tooni Ikahihifo Jr.,SR,DB,
Kasen Kinchen,SR,DB,
KK Meier,JR,DB,
Tori Mulkey,SR,DB,
Bryson Parker,SR,DB,
Caine Savage,SR,DB,
Aedan Seiuli,SR,DB,
Bishop Turner,SO,DB,
Elijah Acklin,JR,DB,
Zion Jones,SR,DB,
Guy Gillespie,SR,P,
Tyler Manship,JR,P,
Nick Barcelos,SR,LS,
Keyshawn Cobb,SR,S,
Eli Gilmour,SO,LS,
Ike Nnakenyi,JR,DE,
Tanner Vaughan,SR,DE,
Thomas Witte,SR,DT,
Nehemiah Burleson,SO,DE,
Chris Champion,SO,DE,
