Player,Class,Pos,Summary
Hajj-Malik Williams,SR,QB,"150 Cmp, 252 Att, 1941 Yds, 19 TD"
Matthew Sluka,SR,QB,"21 Cmp, 48 Att, 318 Yds, 6 TD"
Cameron Friel,SR,QB,"5 Cmp, 6 Att, 64 Yds, 0 TD"
Lucas Lenhoff,JR,QB,
Gael Ochoa,SO,QB,
Jai'Den Thomas,JR,RB,"164 Att, 918 Yds, 5.6 Avg"
Kylin James,SR,RB,"89 Att, 653 Yds, 7.3 Avg"
Greg Burrell,SO,RB,"65 Att, 366 Yds, 5.6 Avg"
Devin Green,SO,RB,"29 Att, 123 Yds, 4.2 Avg"
Michael Allen,SR,RB,"19 Att, 108 Yds, 5.7 Avg"
Darrien Jones,SO,RB,
Jacob Rosendahl,JR,RB,
DeAngelo Irvin Jr.,JR,WR,"5 Rec, 32 Yds, 6.4 Avg"
Jacob De Jesus,SR,WR,"36 Rec, 512 Yds, 14.2 Avg"
Timothy Conerly,SR,WR,"1 Rec, 30 Yds, 30.0 Avg"
Ricky White,SR,WR,"79 Rec, 1041 Yds, 13.2 Avg"
Jaden Bradley,SR,WR,"9 Rec, 173 Yds, 19.2 Avg"
Casey Cain,SR,WR,"7 Rec, 136 Yds, 19.4 Avg"
Corey Thompson Jr.,JR,WR,"4 Rec, 60 Yds, 15.0 Avg"
Kayden McGee,SO,WR,"3 Rec, 97 Yds, 32.3 Avg"
Malik Bradford,SR,WR,
Traivon Dyson,SR,WR,
Rashawn Jackson,JR,WR,
Damien McDaniel,SO,WR,
Landon Rogers,SR,WR,
Isaiah Harris,SO,WR,
David Titone-Perez,SO,WR,
Christian Moore,SR,TE,"2 Rec, 28 Yds, 14.0 Avg"
Kaleo Ballungay,SR,TE,"17 Rec, 152 Yds, 8.9 Avg"
Jae Beasley,SO,TE,
Christian Earls,SR,TE,
Matthew Greene,SO,TE,
Cooper Haswell,SO,TE,
Davis Ambuehl,JR,TE,
Jacob Beza,SO,TE,
Jayden Ahboah,SR,OL,
Anton Ambuehl,SR,OL,
Austin Boyd,JR,OL,
Dyllan Drummond,SO,OL,
Jack Hasz,SR,OL,
Ed Haynes,SO,OL,
Graham Keating,SR,OL,
Toby Moore,SO,OL,
Hank Purvis,SO,OL,
Anthony Rosas,SR,OL,
Nick Scalise,SR,OL,
Tiger Shanks,SR,OL,
Jalen St. John,SR,OL,
Mathyus Su'a,SR,OL,
Will Thomas,JR,OL,
Mason Vicari,SO,OL,
Carver Banker,SO,OL,
Amare Taase,SO,OL,
Caden Chittenden,SO,K,
Andre Meono,SR,K,
Keith Conley Jr.,SR,DL,
Lucas Conti,SO,DL,
Jalen Dixon,SR,DL,
Antonio Doyle Jr.,SR,DL,
Grant Hessler,SO,DL,
Tatuo Martinson,SR,DL,
Waisale Muavesi,SR,DL,
Maxwell Peterson,SO,DL,
Cooper Webb,SR,DL,
Alexander Whitmore,SR,DL,
Max Mogelson,SO,DL,
Shko-Mak Pahmahmie,SO,DL,
Oscar Trevino,SO,DL,
Blesyng Alualu-Tuiolemotu,SO,LB,
Fisher Camac,SR,LB,
Charles Correa,SO,LB,
Ose Egbase,SR,LB,
Jordan Eubanks,SR,LB,
Melvin Laster,SO,LB,
Marsel McDuffie,SR,LB,
Tyray O'Dell,SR,LB,
JT Odom,SO,LB,
Koi Pa'ao'ao,SO,LB,
Mani Powell,SR,LB,
Brennon Scott,SR,LB,
Halatoa Tai,JR,LB,
Jackson Woodard,SR,LB,
Cameron Oliver,SR,DB,
Daego Albert,SR,DB,
Jalen Baldwin,JR,DB,
Johnathan Baldwin,SR,DB,
Jalen Catalon,SR,DB,
Malik Chavis,SR,DB,
Anthony Costanzo,SR,DB,
Kodi DeCambra,SO,DB,
Nijrell Eason II,SO,DB,
Jett Elad,SR,DB,
Tre Fulton,SO,DB,
Saadite Green Jr.,SR,DB,
Tony Grimes,SR,DB,
Kela Moore,SO,DB,
Rashod Tanner,JR,DB,
Jeremiah Vessel,SO,DB,
Jarvis Ware,SR,DB,
Lavario Wiley,SR,DB,
Jaylen Allen,SO,DB,
Devin Hartsuck,SO,DB,
Marshall Nichols,SR,P,
Ramon Villela,SO,P,
Konner Melzer,SR,P,
Jah'von Grigsby,SR,S,
Walker Hardan,SR,LS,
Ben Lisk,SR,LS,
Sammy Norris,SR,FB,
Andre Porter,SO,DE,
Sam Wolfenden,SO,LS,
