Player,Class,Pos,Summary
Devon Dampier,JR,QB,"226 Cmp, 390 Att, 2768 Yds, 12 TD"
Isaiah Chavez,SR,QB,
Emery Floyd,SR,QB,
Justin Holaday,SR,QB,
James Laubstein,SR,QB,
Ryan Cook,SR,QB,
Eli Sanders,JR,RB,"147 Att, 1063 Yds, 7.2 Avg"
NaQuari Rogers,SR,RB,"74 Att, 382 Yds, 5.2 Avg"
Javen Jacobs,SR,RB,"40 Att, 277 Yds, 6.9 Avg"
Sol-Jay Maiava-Peters,SR,RB,"22 Att, 124 Yds, 5.6 Avg"
Andrew Henry,SR,RB,
Josh Perry,SO,RB,
Ray Iwai,JR,RB,
Jaylen Morgan,SR,RB,
Luke Wysong,SR,WR,"69 Rec, 840 Yds, 12.2 Avg"
Ryan Davis,SR,WR,"54 Rec, 747 Yds, 13.8 Avg"
Caleb Medford,SR,WR,"18 Rec, 336 Yds, 18.7 Avg"
Nic Trujillo,SO,WR,"16 Rec, 305 Yds, 19.1 Avg"
Michael Buckley,SR,WR,"8 Rec, 103 Yds, 12.9 Avg"
Shawn Miller,JR,WR,"1 Rec, 8 Yds, 8.0 Avg"
Elijah Brody,SO,WR,
Kader Diop,SR,WR,
D' Angelo Mayes,SO,WR,
Evan Wysong,JR,WR,
Mateo Contreras,SO,WR,
Terrell Davis,SO,WR,
Xavier Van,JR,WR,
Trace Bruckler,SR,TE,"22 Rec, 138 Yds, 6.3 Avg"
Magnus Geers,SR,TE,
Everett Hunter,SR,TE,
Vincent Santos,SR,TE,
Isaiah Sillemon,SR,TE,
McKenzie Agnello,SR,OL,
Malik Aliane,JR,OL,
James Bailey,SO,OL,
Jer'Marques Bailey,SR,OL,
Baraka Beckett,SR,OL,
Elvin Harris,SO,OL,
Lajuan Owens,SO,OL,
Richard Pearce,SR,OL,
Tevin Shaw,JR,OL,
Matthew Toilolo,JR,OL,
Wallace Unamba,SR,OL,
Tavien Ford,SR,OL,
Javier Marquez,SO,OL,
Nico Rivera,SO,OL,
Griffin Schureman,SO,OL,
Jacob Webb,JR,OL,
Luke Drzewiecki,SR,K,
Charles Steinkamp,JR,K,
Adrian Melesio,SR,K,
Devin Brandt-Epps,SR,DL,
Kyler Drake,SR,DL,
Max Elkman,JR,DL,
Antoineo Harris Jr.,SR,DL,
Tyler Kiehne,SR,DL,
Max Lantzsch,JR,DL,
Bryce Santana,SR,DL,
Moso'oipala Tuitele,JR,DL,
Garrison Walker,SR,DL,
Sa'Kylee Woodard,SO,DL,
De'jon Benton,SR,DL,
Jackson Epes,SR,DL,
Ja'Shon Lowery,SR,DL,
Joe Maez,SR,DL,
Landon Williams,JR,DL,
Tirek Austin-Cave,SR,LB,
Niko Bohler,SR,LB,
Dimitri Johnson,SR,LB,
Randolph Kpai,SR,LB,
Lucas Lucero,SR,LB,
Mihalis Santorineos,SR,LB,
Hunter Wiggins,SR,LB,
Jayden Wilson,JR,LB,
Colby Brewer,SO,LB,
Leonardo Gallegos,SR,LB,
Hunter Haemker,SR,LB,
John Sierra,SO,LB,
Blake Tabaracci,SO,LB,
Aaron Rodriguez,SR,P,
Bobby Arnold III,JR,S,
Noah Avinger,SR,CB,
Ishmael Burdine,SR,CB,
Tavian Combs,SR,S,
Skylar Cook,JR,S,
Brendan Durkin,JR,LS,
Christian Ellis,SR,S,
Melaki Gutierrez,SO,CB,
Hyrum Hatch,SO,LS,
Pierre Kemeni,SR,CB,
Gabriel Lopez,SR,DE,
Dereck Moore,JR,S,
David Murphy,SR,S,
Okiki Olorunfunmi,SR,DE,
Noa Pola-Gates,SR,CB,
Jahvante Royal,SR,CB,
Aaron Smith,SR,S,
Drew Speech,SR,CB,
Dominic Tatum,SR,S,
Bryson Taylor,SR,CB,
Cameron Watts,SR,CB,
Nigel Williams,SR,CB,
Edward Blacklock,FR,CB,
Devin Costello,SO,CB,
Travis Gray,JR,OT,
Matthew Lashley,SO,S,
D' Sean Martinez,JR,CB,
Hyrum McCarter,SO,DE,
Keith Reddix,SO,CB,
Victor Villafuerte,SR,S,
