Player,Class,Pos,Summary
Jacolby Criswell,SR,QB,"186 Cmp, 320 Att, 2459 Yds, 15 TD"
Conner Harrell,JR,QB,"21 Cmp, 37 Att, 282 Yds, 2 TD"
Max Johnson,SR,QB,"12 Cmp, 19 Att, 71 Yds, 0 TD"
Michael Merdinger,SO,QB,"9 Cmp, 12 Att, 86 Yds, 0 TD"
Ben Bastek,SO,QB,
DJ Mazzone,SO,QB,
Andres Miyares Jr.,SO,QB,
Hudson Wilharm,SO,QB,
Caleb Hood,SR,RB,"18 Att, 81 Yds, 4.5 Avg"
Omarion Hampton,SR,RB,"281 Att, 1660 Yds, 5.9 Avg"
Davion Gause,SO,RB,"67 Att, 326 Yds, 4.9 Avg"
Charleston French,JR,RB,"10 Att, 84 Yds, 8.4 Avg"
Darwin Barlow,SR,RB,"9 Att, 62 Yds, 6.9 Avg"
Major Byrd,JR,RB,
Jordan Louie,SO,RB,
Jaden Selby,JR,RB,
Nate McCollum,SR,WR,"24 Rec, 274 Yds, 11.4 Avg"
Jordan Shipp,SO,WR,"9 Rec, 114 Yds, 12.7 Avg"
Chris Culliver,JR,WR,"6 Rec, 135 Yds, 22.5 Avg"
Javarius Green,SO,WR,"1 Rec, 12 Yds, 12.0 Avg"
J.J. Jones,SR,WR,"36 Rec, 582 Yds, 16.2 Avg"
Kobe Paysour,SR,WR,"21 Rec, 365 Yds, 17.4 Avg"
Christian Hamilton,SO,WR,"7 Rec, 159 Yds, 22.7 Avg"
Paul Billups II,SO,WR,"4 Rec, 27 Yds, 6.8 Avg"
Gavin Blackwell,SR,WR,"4 Rec, 43 Yds, 10.8 Avg"
Alex Taylor,SO,WR,"1 Rec, 15 Yds, 15.0 Avg"
Thomas Flynn,SR,WR,
Aiden Cloninger,JR,WR,
Josh Espindola,SO,WR,
Michael Hall,JR,WR,
Brooks Miller,SR,WR,
Luke Osteen,SR,WR,
Cyrus Rogers,SR,WR,
Grady Sherrill,JR,WR,
John Copenhaver,SR,TE,"40 Rec, 414 Yds, 10.4 Avg"
Bryson Nesbit,SR,TE,"24 Rec, 264 Yds, 11.0 Avg"
Jake Johnson,JR,TE,"2 Rec, 21 Yds, 10.5 Avg"
Cort Halsey,SO,TE,
Deems May,JR,TE,
Julien Randolph,SO,TE,
Ryan Ward,SO,TE,
Timmy Lawson,SO,TE,
Cal Tierney,SR,TE,
Jonathan Adorno,SR,OL,
Aidan Banfield,SO,OL,
Austin Blaske,SR,OL,
Bo Burkes,JR,OL,
Trevyon Green,JR,OL,
Zach Greenberg,SR,OL,
Carter Kulka,SR,OL,
Willie Lampkin,SR,OL,
Jakiah Leftwich,SR,OL,
Luke Masterson,SO,OL,
Malik McGowan,SR,OL,
Jani Norwood,SO,OL,
Zach Rice,JR,OL,
Howard Simpson,JR,OL,
Eli Sutton,SR,OL,
Hayes Galloway,SO,OL,
Zach Gluckman,SO,OL,
Desmond Jackson,SO,OL,
Andrew Rosinski,SO,OL,
Jason Smith,SO,OL,
Liam Boyd,JR,K,
Noah Burnette,SR,K,
Lucas Osada,SO,K,
Ryan Hornyak,SO,K,
Beau Atkinson,JR,DL,
Damon Bremer,SO,DL,
Jacolbe Cowan,SR,DL,
Desmond Evans,SR,DL,
Kevin Hester Jr.,SR,DL,
Leroy Jackson,SO,DL,
Rodney Lora,SO,DL,
Jahvaree Ritzie,SR,DL,
Travis Shaw,SR,DL,
Joel Starlings,SO,DL,
Daniel Anderson,SO,DL,
Jarvis Hicks,JR,DL,
CJ Murphy,JR,DL,
Peter Pesansky,SO,DL,
Curtis Simpson,SO,DL,
Amare Campbell,JR,LB,
Power Echols,SR,LB,
Malaki Hamrick,JR,LB,
Jaybron Harvey,SO,LB,
Caleb LaVallee,SO,LB,
Cade Law,JR,LB,
Crews Law,SO,LB,
Gibson Macrae,SR,LB,
Kaimon Rucker,SR,LB,
Michael Short,JR,LB,
Tyler Thompson,SO,LB,
Ashton Woods,SO,LB,
Evan Bennett,SO,LB,
Tyrane Stewart,SR,DB,
Kaleb Cost,JR,DB,
Ty Adams,SO,DB,
Marcus Allen,SR,DB,
DeAndre Boykins,SR,DB,
Zion Ferguson,SO,DB,
Will Hardy,SR,DB,
Jakeen Harris,SR,DB,
Alijah Huzzie,SR,DB,
Antavious Lane,SR,DB,
Tre Miller,SO,DB,
Jaiden Patterson,SO,DB,
Jalon Thompson,SO,DB,
Ty White,SO,DB,
Malcolm Ziglar,SO,DB,
Jack Blythe,SO,DB,
Khalil Conley,SO,DB,
Miles Gaddy,SO,DB,
Reggie Love II,SO,DB,
Blaine McClure,SO,DB,
Kenyon McMahon,SO,DB,
Tom Maginness,SR,P,
Joshua Harris,SR,DT,
Garrett Jordan,SR,LS,
Grant Mills,SO,LS,
Spencer Triplett,SR,LS,
