Player,Class,Pos,Summary
CJ Bailey,SO,QB,"196 Cmp, 302 Att, 2413 Yds, 17 TD"
Grayson McCall,SR,QB,"53 Cmp, 80 Att, 518 Yds, 3 TD"
Lex Thomas,JR,QB,"5 Cmp, 8 Att, 65 Yds, 1 TD"
Ethan Rhodes,JR,QB,
Robert Shockey,SO,QB,
Cole Wilson,JR,QB,
Jordan Waters,SR,RB,"95 Att, 470 Yds, 4.9 Avg"
Daylan Smothers,SO,RB,"89 Att, 571 Yds, 6.4 Avg"
Kendrick Raphael,JR,RB,"78 Att, 425 Yds, 5.4 Avg"
Demarcus Jones,SR,RB,"6 Att, 33 Yds, 5.5 Avg"
Coleson Fields,JR,RB,"3 Att, 8 Yds, 2.7 Avg"
Jaylon Scott,SO,RB,"3 Att, 4 Yds, 1.3 Avg"
"Asaad Brown, Jr.",SO,RB,
Darius Johnson,SO,RB,
Isiah Jones,SO,RB,
Kevin Concepcion,JR,WR,"53 Rec, 460 Yds, 8.7 Avg"
Jonathan Paylor,SO,WR,
Noah Rogers,SO,WR,"35 Rec, 478 Yds, 13.7 Avg"
Dacari Collins,SR,WR,"24 Rec, 314 Yds, 13.1 Avg"
Wesley Grimes,SR,WR,"24 Rec, 319 Yds, 13.3 Avg"
Terrell Anderson,SO,WR,"14 Rec, 158 Yds, 11.3 Avg"
Keenan Jackson,SO,WR,"12 Rec, 124 Yds, 10.3 Avg"
Jakolbe Baldwin,SR,WR,"1 Rec, -1 Yds, -1.0 Avg"
Tank Boston,SO,WR,
Jalen Coit,SR,WR,
Jayden Hollar,JR,WR,
Ashton Locklear,JR,WR,
Christian Zachary,SO,WR,
Eli Calhoun,JR,WR,
Nathan Carr,SO,WR,
Jeffrey Simms,SO,WR,
Justin Joly,SR,TE,"43 Rec, 661 Yds, 15.4 Avg"
Dante Daniels,SR,TE,"3 Rec, 32 Yds, 10.7 Avg"
Reid Mitchell,JR,TE,
Juice Vereen,JR,TE,
Anthony Belton,SR,OL,
Anthony Carter Jr.,SR,OL,
Zeke Correll,SR,OL,
Valen Erickson,JR,OL,
Sean Hill,SR,OL,
Rico Jackson,SO,OL,
Patrick Matan,SR,OL,
Matt McCabe,SR,OL,
Timothy McKay,SR,OL,
Yousegh Mugharbill,SR,OL,
Jacarrius Peak,JR,OL,
Kamen Smith,SO,OL,
Rodney Lacewell,SO,OL,
Obadiah Obasuyi,SO,OL,
Luke Peters,JR,OL,
Darion Rivers,SO,OL,
Charlie Birtwistle,SO,K,
Collin Smith,SR,K,
Kanoah Vinesett,JR,K,
Nick Koniecznski,SO,K,
Red Hibbler,SR,DL,
DJ Jackson,JR,DL,
Noah Potter,SR,DL,
Davin Vann,SR,DL,
Chazz Wallace,SR,DL,
Jack Cook,SR,DL,
Steven Stokes,SO,DL,
Sean Brown,SR,LB,
Devon Betty,SR,LB,
Kamal Bonner,SO,LB,
Caden Fordham,SR,LB,
Logan Foust,SO,LB,
Cannon Lewis,SO,LB,
Kelvon McBride,SO,LB,
Jayland Parker,SR,LB,
Jordan Poole,SR,LB,
Zane Williams,SO,LB,
Wyatt Wright,SR,LB,
Keyaan Abdul-Rahim,SO,LB,
Elijah Groves,SO,LB,
Joshua Ofor,SO,LB,
Blake Raphael,SO,LB,
Levi Temple,JR,LB,
Corey Coley Jr.,SR,DB,
Tamarcus Cooley,SO,DB,
Isaiah Crowell,JR,DB,
Devon Marshall,SR,DB,
Aydan White,SR,DB,
Addison Carlson,JR,DB,
Owen Fehr,SO,P,
Caden Noonkester,SR,P,
Josh Alexander-Felton,SO,DE,
Aiden Arias,SO,LS,
Jivan Baly,SO,CB,
Ja'Had Carter,SR,S,
Brandon Cisse,JR,CB,
Brandon Cleveland,SR,DT,
Bishop Fitzgerald,SR,S,
Walt Gerard,SR,CB,
Terrente Hinton,SR,S,
Aiden Hollingsworth,JR,DT,
Dawson Jaramillo,SR,OC,
Donovan Kaufman,SR,S,
Jake Mann,SR,LS,
Kerry Martin Jr.,SR,S,
Robby Martin,SO,OC,
Trent Mitchell,SO,OT,
Zack Myers,SO,S,
Travali Price,SR,DE,
"Ronnie Royal, III",SO,S,
Isiah Shirley,JR,DE,
Justin Terrell,SO,DE,
Rylan Vann,JR,OC,
Jackson Vick,JR,CB,
Blair Alexander,JR,DT,
Brody Barnhardt,SO,S,
Chase Bond,SO,DE,
Devan Boykin,SR,S,
Foster Burt,JR,S,
Daemon Fagon,JR,S,
Jaxon Godbey,JR,CB,
Dylan Gray,SR,DE,
Bramond McRae,SO,CB,
Odera Orizu,JR,DE,
Michael Tate,SO,CB,
Tyler West,SO,OT,
