Player,Class,Pos,Summary
Chandler Morris,SR,QB,"322 Cmp, 512 Att, 3774 Yds, 31 TD"
Drew Mestemaker,SO,QB,"30 Cmp, 46 Att, 462 Yds, 2 TD"
Cash McCollum,SO,QB,
Grant Tisdale,SR,QB,
Tom von Grote,SO,QB,
Carson Woods,JR,QB,
Shane Porter,SR,RB,"97 Att, 648 Yds, 6.7 Avg"
Makenzie McGill,SO,RB,"78 Att, 470 Yds, 6.0 Avg"
Kiefer Sibley,SO,RB,"44 Att, 206 Yds, 4.7 Avg"
Damashja Harris,SR,RB,"22 Att, 193 Yds, 8.8 Avg"
Ikaika Ragsdale,SR,RB,"22 Att, 58 Yds, 2.6 Avg"
Juwuan Price,SR,RB,"14 Att, 64 Yds, 4.6 Avg"
Zach Evans,JR,RB,"9 Att, 58 Yds, 6.4 Avg"
Ashton Gray,SO,RB,
Shawn Wara,SR,RB,
Wyatt Young,SO,WR,"18 Rec, 295 Yds, 16.4 Avg"
DT Sheffield,SR,WR,"66 Rec, 822 Yds, 12.5 Avg"
Miles Coleman,SO,WR,"36 Rec, 378 Yds, 10.5 Avg"
Nick Rempert,SR,WR,"11 Rec, 127 Yds, 11.5 Avg"
Kyle Koch,SO,WR,"1 Rec, 5 Yds, 5.0 Avg"
Damon Ward,SR,WR,"41 Rec, 755 Yds, 18.4 Avg"
Blair Conwright,SR,WR,"40 Rec, 542 Yds, 13.6 Avg"
Dalton Carnes,JR,WR,"29 Rec, 371 Yds, 12.8 Avg"
Landon Sides,JR,WR,"24 Rec, 280 Yds, 11.7 Avg"
Jeremiah Aaron,SR,WR,"5 Rec, 97 Yds, 19.4 Avg"
Baron Tipton,SO,WR,"1 Rec, 8 Yds, 8.0 Avg"
Zack Darkoch,SO,WR,
Dallas Dudley,JR,WR,
Mason Ferguson,SO,WR,
Richard Rocquemore,SR,WR,
Conner Dunphy,SO,WR,
Case Peacock,SO,WR,
Lane Stewart,SO,WR,
Oscar Hammond,SR,TE,"19 Rec, 238 Yds, 12.5 Avg"
Xzavior Kautai,SR,TE,"3 Rec, 22 Yds, 7.3 Avg"
Brandon Young Jr.,SO,TE,"3 Rec, 7 Yds, 2.3 Avg"
Victor Aderungboye,SO,TE,
Darson Herman,JR,TE,
Luke Carter,SO,TE,
Leke Asenuga,SR,OL,
Gabe Blair,SR,OL,
Johnny Dickson,JR,OL,
Jett Duncan,SR,OL,
Keon Johnson,SO,OL,
MaKyi Lee,SR,OL,
Jasper Lott,SR,OL,
Desmond Magiya,SO,OL,
Tyler Mercer,SO,OL,
Larry Moore,SR,OL,
Braydon Nelson,SO,OL,
Landon Peterson,SR,OL,
Paula Vaipulu,SR,OL,
Amarion Berry,SO,OL,
Layton Firestone,SO,OL,
Paul Gurrola,SO,OL,
Ryan Krueger,SO,OL,
Christian Pettway,SO,OL,
Isaac Sohn,SO,OL,
Blake Ford,JR,K,
Kali Nguma,SO,K,
Miguel Arenas,SO,K,
Treviance Bronson,SR,DL,
Roderick Brown,SR,DL,
Breylon Charles,SR,DL,
Terrell Dawkins,SR,DL,
Jaedon Langley,SO,DL,
Nathan Laperi,SO,DL,
Zhaiylen Scott,SO,DL,
Jake Shipley,SR,DL,
Fatafehi Vailea,SR,DL,
Jayden Williams,SO,DL,
Tristan Bennett,SO,DL,
Dadrian Burleson,SR,DL,
Javian Council,SO,DL,
Kaden Dees,FR,DL,
Ramon Pernas,SO,DL,
Matthew Reed,SO,DL,
Jheison Saunds,SR,DL,
Keith Smith,SO,DL,
Kabriel Anderson-Dale,SO,LB,
Chavez Brown,SR,LB,
Jordan Brown,SR,LB,
Blake Fann,SO,LB,
C.J. Garnett,SR,LB,
J.J. Jean-Louis,SO,LB,
Matthew Moore,SO,LB,
Jace Ruder,SR,LB,
Jaylen Smith,SR,LB,
Ethan Wesloski,JR,LB,
Shane Whitter,SR,LB,
Hudson Emeterio,SO,LB,
Connor Henderson,SR,LB,
Kade Sink,SO,LB,
Austin Williams,SR,LB,
Sawyer Evans,SR,P,
Seth Ford,SR,P,
BJ Allen Jr.,JR,S,
Jayven Anderson,JR,S,
X'Avion Brice,JR,CB,
Harrison Dempsey,JR,S,
Chris Gant Jr.,SO,S,
Alphie Guillory,SR,S,
Quinton Hammonds,SO,S,
Jayden Hill,SR,S,
Evan Jackson,JR,S,
Kollin Lewis,SO,CB,
Kamdon McFarland,SR,S,
Harold Nash III,SR,S,
Brian Nelson II,SO,CB,
Taylor Starling,SO,CB,
Gabe Stroud,SO,CB,
Ridge Texada,SR,CB,
Jenson Walker,SR,LS,
Kerry Williams II,SO,CB,
Caden Yates,SO,LS,
Kendahl Crowe,SO,CB,
Sultan El-Amin Jr.,SO,CB,
Jaden Pettway,SO,S,
Jaydon Smith,SO,S,
Loronzo Thompson,SR,CB,
Isheem Young,SR,S,
