Player,Class,Pos,Summary
Ethan Hampton,SR,QB,"144 Cmp, 247 Att, 1600 Yds, 12 TD"
Josh Holst,JR,QB,"65 Cmp, 111 Att, 593 Yds, 2 TD"
Jalen Macon,SR,QB,"4 Cmp, 7 Att, 50 Yds, 0 TD"
Kenny Lueth,SR,QB,
Luke Marble,SO,QB,
Gavin Williams,SR,RB,"139 Att, 749 Yds, 5.4 Avg"
Antario Brown,SR,RB,"115 Att, 567 Yds, 4.9 Avg"
Telly Johnson Jr.,SO,RB,"103 Att, 480 Yds, 4.7 Avg"
Jaylen Poe,JR,RB,"36 Att, 190 Yds, 5.3 Avg"
Justin Lynch,SR,RB,"18 Att, 81 Yds, 4.5 Avg"
Ahmir Smith,SO,RB,"3 Att, 4 Yds, 1.3 Avg"
Romelo Ware,SO,RB,"1 Rec, 9 Yds, 9.0 Avg"
Garrett Gensler,JR,RB,
Elijah Porter,SO,RB,
Trayvon Rudolph,SR,WR,"37 Rec, 392 Yds, 10.6 Avg"
George Dimopoulus,SO,WR,"6 Rec, 57 Yds, 9.5 Avg"
Dane Pardridge,SR,WR,"20 Rec, 238 Yds, 11.9 Avg"
Cam Thompson,JR,WR,"28 Rec, 391 Yds, 14.0 Avg"
Andrew McElroy,SR,WR,"26 Rec, 264 Yds, 10.2 Avg"
Keyshaun Pipkin,SR,WR,"3 Rec, 33 Yds, 11.0 Avg"
La'Don Bryant,SO,WR,"2 Rec, 38 Yds, 19.0 Avg"
Christopher Gore,JR,WR,
Jalen Johnson,SR,WR,
Kyle Thomas,JR,WR,
Kenji Lewis,SR,WR,
Jamari McIvory,SO,WR,
Rickey Taylor Jr.,SO,WR,
Grayson Barnes,SR,TE,"31 Rec, 338 Yds, 10.9 Avg"
Tristen Tewes,SR,TE,"6 Rec, 41 Yds, 6.8 Avg"
Jake Appleget,JR,TE,"4 Rec, 45 Yds, 11.3 Avg"
Chris Carter,SR,TE,
Jason Fowler,SO,TE,
Devon Akers,SO,TE,
Chase Schutty,SO,TE,
Joe Stein,SO,TE,
Evan Buss,SR,OL,
John Champe,SR,OL,
Abiathar Curry,SR,OL,
Landon Hron,JR,OL,
J.J. Lippe,SR,OL,
Lane Mahnesmith,SO,OL,
Evan Malcore,SR,OL,
Christian Medlock,JR,OL,
Izuchkwu Ozoh,SR,OL,
Thomas Paasch,JR,OL,
Matt Schooley,SR,OL,
Luke Skartvedt,JR,OL,
Jacob Welch,JR,OL,
Logan Zschernitz,SR,OL,
Ben Gustafson,SO,OL,
Michael Jimmar,JR,OL,
Aiden Olson,SO,OL,
Grey Rumohr,SO,OL,
Kanon Woodill,SR,K,
Austin Bullock,SO,K,
Jake Seibert,SR,K,
Danny Vuckovic,JR,K,
Devonte O'Malley,SR,DL,
Pierce Oppong,SR,DL,
Demond Taylor,SR,DL,
Jacob Waskow,SR,DL,
Jaden Dolphin,SR,LB,
Christian Fuhrman,SR,LB,
Jake Gassaway,SR,LB,
Filip Maciorowski,JR,LB,
Jordan Monroe,SR,LB,
Marc Pretto,SR,LB,
Joey Rattin,SR,LB,
Quinton Urwiler,SR,LB,
Chidu Bekee,SO,LB,
AJ Guida,SO,LB,
KJ McRae,SO,LB,
Jashon Prophete,SR,DB,
Nate Valcarcel,SR,DB,
Tom Foley,SR,P,
Brock Lampe,SR,FB,
Malik Armstrong,SR,CB,
Santana Banner,JR,S,
Owen Belman,SR,CB,
Isaiah Bragg,JR,CB,
Javaughn Byrd,SR,CB,
Andre Cobb,SR,CB,
Cam'Ron Dabney,SR,CB,
Ivan Davis,SR,DE,
Jacob Finley,SR,CB,
Dashaun Gibson,SO,CB,
Skyler Gill-Howard,SR,DT,
Cade Haberman,SR,DT,
Jordan Hansen,SR,S,
Isaac Hatfield,SR,LS,
Mark Hensley,JR,DT,
Lance Ingold,SO,DE,
Muhammad Jammeh,SR,S,
Reggie Jean,SR,DT,
Amariyun Knighten,SR,CB,
Cyrus McGarrell,SR,CB,
Ty Myles,SR,CB,
Trey Porter,SR,S,
Taylor Powell,SO,S,
Dev'ion Reynolds,SO,CB,
Neveah Sanders,SR,DE,
Jay'shon Thomas,JR,DE,
Raishein Thomas,SR,DE,
Ethan Tierney,JR,S,
Jallonie Williams,SR,DE,
Roy Williams,SR,DE,
Sirmaine Campbell,SO,DT,
Cameron Crowell,SR,DE,
Tristan Hunter,SO,S,
Ross Liegel,SO,DE,
Ivan Moore Jr.,SO,DE,
Tanner Phelps,SO,DT,
Samir Senenat,SO,DT,
Adrian Thomas II,SO,S,
Joshua Tillman,SO,S,
CJ Wade,SO,DE,
Romelo Walker,SO,CB,
Sean Weigand,SO,LS,
Ryan Williams,SO,CB,
