Player,Class,Pos,Summary
Jack Lausch,JR,QB,"159 Cmp, 296 Att, 1714 Yds, 7 TD"
Mike Wright,SR,QB,"38 Cmp, 66 Att, 354 Yds, 0 TD"
Ryan Hilinski,SR,QB,"9 Cmp, 15 Att, 121 Yds, 0 TD"
Ryan Boe,SO,QB,"4 Cmp, 13 Att, 42 Yds, 0 TD"
Aidan Gray,JR,QB,
Sean Winton,SO,QB,
Cam Porter,SR,RB,"126 Att, 501 Yds, 4.0 Avg"
Joseph Himon II,JR,RB,"52 Att, 257 Yds, 4.9 Avg"
Caleb Komolafe,SO,RB,"50 Att, 139 Yds, 2.8 Avg"
Jake Arthurs,SR,RB,
Albert Kunickis III,JR,RB,"1 Att, 3 Yds, 3.0 Avg"
Grissim Anderson,SR,RB,
Payton Roth,SO,RB,
Dashun Reeder,SO,RB,
CJ Johnson II,SR,WR,"11 Rec, 121 Yds, 11.0 Avg"
A.J. Henning,SR,WR,"59 Rec, 603 Yds, 10.2 Avg"
Bryce Kirtz,SR,WR,"39 Rec, 598 Yds, 15.3 Avg"
Frank Covey IV,SO,WR,"10 Rec, 98 Yds, 9.8 Avg"
Hayden Eligon II,SO,WR,"4 Rec, 83 Yds, 20.8 Avg"
Drew Wagner,SO,WR,"3 Rec, 31 Yds, 10.3 Avg"
Donnie Gray,SR,WR,"2 Rec, 20 Yds, 10.0 Avg"
Ricky Ahumaraeze,SO,WR,
Reggie Fleurima,JR,WR,
Tate Crane,SR,WR,
Carson Grove,SO,WR,
Cam Russell,SO,WR,
Marshall Lang,SR,TE,"11 Rec, 115 Yds, 10.5 Avg"
Thomas Gordon,SR,TE,"27 Rec, 252 Yds, 9.3 Avg"
Duke Olges,SR,TE,"1 Rec, 6 Yds, 6.0 Avg"
Hunter Welcing,SR,TE,"1 Rec, 20 Yds, 20.0 Avg"
Lawson Albright,SR,TE,
Chris Petrucci,JR,TE,
Camp Magee,SO,TE,
Patrick Schaller,SO,TE,
Blake Van Buren,JR,TE,
Jack Bailey,SR,OL,
Anthony Birsa,SO,OL,
Jackson Carsello,SR,OL,
Braeden Edwards,SR,OL,
Nick Herzog,JR,OL,
Cooper Lovelace,SR,OL,
Deuce McGuire,JR,OL,
Ezomo Oratokhai,SO,OL,
Josh Thompson,SR,OL,
Caleb Tiernan,SR,OL,
Ben Wrather,SR,OL,
Jace Borcherding,SO,OL,
Idrys Cotton,SO,OL,
Matt Keeler,SR,OL,
Jordan Knox,JR,OL,
Landon Lauter,SO,OL,
Dennis Rahouski,SO,OL,
Logan Uihlein,SO,OL,
Jack Olsen,SR,K,
Henry Helms,JR,K,
Jacob Tabibian,SR,K,
Carmine Bastone,SR,DL,
Jaiden Cameron,SR,DL,
Callen Campbell,SO,DL,
Brendan Flakes,JR,DL,
Tyler Gant,SO,DL,
Aidan Hubbard,SR,DL,
Michael Kilbane,JR,DL,
Hank Knez,SR,DL,
Sean McLaughlin,SR,DL,
Reginald Pearson,SR,DL,
Dylan Roberts,SO,DL,
Anto Saka,JR,DL,
Najee Story,SR,DL,
Braxton Strong,SO,DL,
Henry Fioriglio,SO,DL,
Mason Green,SO,DL,
Richie Hagarty,SR,DL,
Troy Regovich,SO,DL,
Jack Trautmann,SO,DL,
Braydon Brus,JR,LB,
Cullen Coleman,SR,LB,
Miles Crutchley,JR,LB,
Nigel Glover,SO,LB,
Grayson Metz,SR,LB,
Xander Mueller,SR,LB,
Jason Reynolds II,JR,LB,
Kenny Soares Jr.,JR,LB,
Noah Taylor,SR,LB,
Mac Uihlein,SR,LB,
Qayvier Johnson,SO,LB,
Matthew Smith,SO,LB,
Coco Azema,SR,DB,
Joe Dehaan,SR,DB,
Robert Fitzgerald,JR,DB,
Josh Fussell,SO,DB,
Theran Johnson,SR,DB,
Jalen Lewis,SO,DB,
Jack Oyola,JR,DB,
Cole Shivers,SO,DB,
Evan Smith,JR,DB,
Braden Turner,JR,DB,
Devin Turner,SR,DB,
Garner Wallace,SR,DB,
Damon Walters,SO,DB,
Ore Adeyi,SR,DB,
Terrion Curry-Hicks,SO,DB,
J.J. Lewis,SO,DB,
Sean Martin,SO,DB,
Timi Oke,SO,DB,
Tito Williams Jr.,SO,DB,
Luke Akers,SR,P,
Hunter Renner,SR,P,
Jack Florentine,SO,LS,
William Halkyard,SR,LS,
Jaylen Pate,SR,DE,
