Player,Class,Pos,Summary
Riley Leonard,SR,QB,"269 Cmp, 403 Att, 2861 Yds, 21 TD"
Steve Angeli,JR,QB,"24 Cmp, 36 Att, 268 Yds, 3 TD"
Kenny Minchey,SO,QB,"1 Cmp, 1 Att, 4 Yds, 0 TD"
CJ Carr,SO,QB,
Anthony Rezac,SO,QB,
Jeremiyah Love,JR,RB,"163 Att, 1125 Yds, 6.9 Avg"
Jadarian Price,JR,RB,"120 Att, 746 Yds, 6.2 Avg"
Aneyas Williams,SO,RB,"34 Att, 219 Yds, 6.4 Avg"
Kedren Young,SO,RB,"21 Att, 116 Yds, 5.5 Avg"
Devyn Ford,SR,RB,"13 Att, 55 Yds, 4.2 Avg"
Jake Tafelski,SR,RB,
Dylan Devezin,SR,RB,
Max Hurleman,SR,RB,
Gi'Bran Payne,JR,RB,
Tyler Buchner,SR,WR,
Jordan Faison,JR,WR,"30 Rec, 356 Yds, 11.9 Avg"
Jayden Thomas,SR,WR,"18 Rec, 167 Yds, 9.3 Avg"
Jaden Greathouse,JR,WR,"42 Rec, 592 Yds, 14.1 Avg"
Beaux Collins,SR,WR,"41 Rec, 490 Yds, 12.0 Avg"
Kris Mitchell,SR,WR,"22 Rec, 224 Yds, 10.2 Avg"
Jayden Harrison,SR,WR,"19 Rec, 211 Yds, 11.1 Avg"
Deion Colzie,SR,WR,"5 Rec, 41 Yds, 8.2 Avg"
KK Smith,SO,WR,"3 Rec, 38 Yds, 12.7 Avg"
Micah Gilbert,SO,WR,
Matt Jeffery,SO,WR,
Jack Polian,SR,WR,
Logan Saldate,SO,WR,
Leo Scheidler,SR,WR,
Cam Williams,SO,WR,
Xavier Southall,SO,WR,
Alex Whitman,JR,WR,
Davis Sherwood,SR,TE,"1 Rec, 19 Yds, 19.0 Avg"
Justin Fisher,SR,TE,"1 Rec, 16 Yds, 16.0 Avg"
Mitchell Evans,SR,TE,"43 Rec, 421 Yds, 9.8 Avg"
Eli Raridon,SR,TE,"11 Rec, 90 Yds, 8.2 Avg"
Cooper Flanagan,JR,TE,"4 Rec, 55 Yds, 13.8 Avg"
Kevin Bauman,SR,TE,"1 Rec, 8 Yds, 8.0 Avg"
Jack Larsen,SO,TE,
Charlie Selna,SR,TE,
Andrew Yanoshak,SR,TE,
Henry Garrity,JR,TE,
Pat Coogan,SR,OL,
Sullivan Absher,SO,OL,
Tosh Baker,SR,OL,
Ty Chan,JR,OL,
Ashton Craig,JR,OL,
Charles Jagusah,SO,OL,
Peter Jones,SO,OL,
Anthonie Knapp,SO,OL,
Guerby Lambert,SO,OL,
Joe Otting,SO,OL,
Sam Pendleton,SO,OL,
Billy Schrauth,JR,OL,
Rocco Spindler,SR,OL,
Chris Terek,SO,OL,
Aamil Wagner,JR,OL,
Robbie Wollan,SO,OL,
Max Anderson,SO,OL,
Styles Prescod,SO,OL,
Marcello Diomede,JR,K,
Mitch Jeter,SR,K,
Chris Salerno,SR,K,
Zac Yoakam,SR,K,
Jordan Botelho,SR,DL,
Howard Cross III,SR,DL,
Donovan Hinish,JR,DL,
Devan Houstan,SO,DL,
Rylie Mills,SR,DL,
Armel Mukam,SO,DL,
R.J. Oben,SR,DL,
Jason Onye,SR,DL,
Kobi Onyiuke,SR,DL,
Grant Ristoff,SR,DL,
Gabe Rubio,SR,DL,
Sean Sevillano Jr.,SO,DL,
Loghan Thomas,SO,DL,
Boubacar Traore,SO,DL,
Brenan Vernon,SO,DL,
Bryce Young,SO,DL,
Quentin Autry,SR,DL,
Cole Mullins,SO,DL,
Jaiden Ausberry,SO,LB,
Drayk Bowen,JR,LB,
Joshua Burnham,SR,LB,
Bodie Kahoun,SO,LB,
Jack Kiser,SR,LB,
Tre Reader,SR,LB,
Teddy Rezac,SO,LB,
Jerry Rullo,SR,LB,
Jaylen Sneed,JR,LB,
Junior Tuihalamaka,SR,LB,
Kyngstonn Viliamu-Asa,SO,LB,
Preston Zinter,SO,LB,
Kahanu Kia,SO,LB,
Tommy Powlus,SO,LB,
Eric Goins,SR,P,
James Rendell,SR,P,
William Bartel,SR,P,
Mickey Brown,JR,CB,
Jordan Clark,SR,S,
Isaiah Dunn,SR,CB,
Christian Gray,JR,CB,
Rod Heard II,SR,S,
Karson Hobbs,SO,CB,
Tae Johnson,SO,S,
Andrew Kros,JR,LS,
Jaden Mickey,SR,CB,
Ben Minich,SO,S,
Rino Monteforte,SR,LS,
Leonard Moore,SO,CB,
Benjamin Morrison,SR,CB,
Adon Shuler,SO,S,
Luke Talich,JR,S,
Kennedy Urlacher,SO,S,
Joseph Vinci,SO,LS,
Xavier Watts,SR,S,
Marty Auer,SR,CB,
Taebron Bennie-Powell,SO,S,
Charles Du,JR,CB,
Chance Tucker,SR,CB,
