Player,Class,Pos,Summary
Parker Navarro,SR,QB,"195 Cmp, 295 Att, 2423 Yds, 13 TD"
Nick Poulos,SR,QB,"22 Cmp, 49 Att, 271 Yds, 2 TD"
Jacob Winters,SO,QB,
Matthew Papas,SO,QB,
Callum Wither,JR,QB,
Anthony Tyus III,SR,RB,"237 Att, 1215 Yds, 5.1 Avg"
Rickey Hunt,SO,RB,"76 Att, 393 Yds, 5.2 Avg"
Duncan Brune,SO,RB,"26 Att, 84 Yds, 3.2 Avg"
Nolan McCormick,SR,RB,"20 Att, 76 Yds, 3.8 Avg"
Devon Hunter,SR,RB,
Aginon Wilson Jr.,SO,RB,
Eamonn Dennis,SR,WR,"3 Rec, 26 Yds, 8.7 Avg"
Coleman Owen,SR,WR,"78 Rec, 1245 Yds, 16.0 Avg"
Chase Hendricks,JR,WR,"40 Rec, 471 Yds, 11.8 Avg"
Rodney Harris II,JR,WR,"23 Rec, 289 Yds, 12.6 Avg"
Caleb Gossett,SR,WR,"16 Rec, 158 Yds, 9.9 Avg"
Max Rodarte,SR,WR,"6 Rec, 80 Yds, 13.3 Avg"
Eian Pugh,JR,WR,"5 Rec, 37 Yds, 7.4 Avg"
Delaney Crawford,JR,WR,
Khamani Debrow,SO,WR,
Kaden Hurst,SO,WR,
Jack Borer,JR,WR,
Miles Cremascoli,SO,WR,
Dom Dorwart,SO,WR,
Blake Guffey,JR,WR,
Ryan McDole,JR,WR,
Riley Neer,SO,WR,
Matthew Stuewe,SO,WR,
Hunter Thompson,SO,WR,
Mason Williams,SO,TE,"19 Rec, 211 Yds, 11.1 Avg"
Jake Bruno,SR,TE,"2 Rec, 3 Yds, 1.5 Avg"
Bryce Butler,SR,TE,"1 Rec, 7 Yds, 7.0 Avg"
Aiden Lowery,SO,TE,
AJ Miller,SO,TE,
Beau Blankenship,JR,TE,
Nick Segarra,SO,TE,
Parker Titsworth,SR,OL,
Trent Allen,SR,OL,
Christophe Atkinson,SR,OL,
Jacob Dennison,SR,OL,
Joseph Habinowski,SR,OL,
Carson Heidecker,SR,OL,
Aidan Johnson,SO,OL,
Jordon Jones,JR,OL,
Jakob Lemus,SR,OL,
Kaden Rogers,SR,OL,
Jarian Shelby,JR,OL,
Jake Skelly,SR,OL,
Davion Weatherspoon,SR,OL,
Kam Wright,JR,OL,
Seth Anstead,SO,OL,
Tigana Cisse,SR,OL,
Andrew Erby,SO,OL,
Ben Maldonado,SR,OL,
Brennan Meadows,SO,OL,
Charlie Nowinsky,SO,OL,
Bryce Parson,SO,OL,
Gianni Spetic,JR,K,
Alex Kasee,JR,K,
Jacob Lewis,SR,K,
Stellan Bowman,SO,LB,
Reise Collier,SR,LB,
Jack Fries,JR,LB,
Jasen Kelly,SO,LB,
Blake Leake,SR,LB,
Michael Molnar,JR,LB,
Brady Sestilli,SO,LB,
Shay Taylor,SR,LB,
Ryan Matheny,SO,LB,
Parker Startz,SO,LB,
Lukas Stiles,SO,LB,
Jack Wilson,SR,P,
Kendall Bannister,SO,CB,
Walter Bob,SR,DE,
Austin Brawley,SR,S,
Sinn Brennan,SO,DE,
Jay Crable,SO,DE,
CJ Doggette,JR,DE,
Miles Fleming,SR,S,
Colby Garfield,SR,LS,
Nathan Hale,SR,DT,
JT Haskins,SO,S,
Bralen Henderson,SR,DT,
Creed Hill,SO,CB,
Dustin Johnson,SR,S,
Jaylen Johnson,SR,S,
Xander Karagosian,JR,S,
RJ Keuchler,SO,DT,
Michael Mack II,SR,CB,
Tony Mathis,SO,CB,
Chris Mayfield,SR,DT,
Ben McNaboe,SR,DE,
Austin Mitchell,SO,DT,
DJ Morton,SO,S,
Roman Parodie,SR,CB,
Tank Pearson,SR,CB,
Cam Rice,SR,DT,
Bailey Russ,SR,S,
Kadin Schmitz,JR,DE,
Kaci Seegars,SR,DE,
Jalen Thomeson,JR,S,
Andrew Vera,JR,S,
DJ Walker,SO,S,
Marcel Walker,SR,DE,
Bradley Weaver,SR,DE,
Adonis Williams Jr.,SR,S,
Jeremiah Wood,SR,S,
Joey Woolard,SR,DT,
Brock Arndt,SO,DE,
Carson Canning,SO,S,
Owen DiFranco,SO,DE,
Sam Ehert,SO,DE,
Dominic Konopka,JR,LS,
Danny Novickas,SO,DE,
Maverick Ole,SO,DT,
LJ Shumpert,SR,CB,
Xavier Williams,SO,CB,
