Player,Class,Pos,Summary
Will Howard,SR,QB,"309 Cmp, 423 Att, 4010 Yds, 35 TD"
Devin Brown,SR,QB,"11 Cmp, 20 Att, 114 Yds, 1 TD"
Julian Sayin,SO,QB,"5 Cmp, 12 Att, 84 Yds, 1 TD"
Mason Maggs,SR,QB,
Lincoln Kienholz,JR,QB,
Air Noland,SO,QB,
Chad Ray,SR,QB,
Quinshon Judkins,SR,RB,"194 Att, 1060 Yds, 5.5 Avg"
TreVeyon Henderson,SR,RB,"144 Att, 1016 Yds, 7.1 Avg"
James Peoples,SO,RB,"49 Att, 197 Yds, 4.0 Avg"
Sam Williams-Dixon,SO,RB,"7 Att, 53 Yds, 7.6 Avg"
Chase Brecht,SO,RB,
TC Caffey,SR,RB,
Rashid SeSay,SO,RB,
Emeka Egbuka,SR,WR,"81 Rec, 1011 Yds, 12.5 Avg"
Jeremiah Smith,SO,WR,"76 Rec, 1315 Yds, 17.3 Avg"
Carnell Tate,JR,WR,"52 Rec, 733 Yds, 14.1 Avg"
Brandon Inniss,JR,WR,"14 Rec, 176 Yds, 12.6 Avg"
Bryson Rodgers,JR,WR,"5 Rec, 46 Yds, 9.2 Avg"
Jayden Ballard,SR,WR,"2 Rec, 18 Yds, 9.0 Avg"
David Adolph,SR,WR,"1 Rec, 10 Yds, 10.0 Avg"
Kojo Antwi,SR,WR,"1 Rec, 8 Yds, 8.0 Avg"
Mylan Graham,SO,WR,
Joop Mitchell,SR,WR,
Brennen Schramm,JR,WR,
Damarion Witten,SO,WR,
Nolan Baudo,JR,WR,
Shawn Lodge,SR,WR,
Reis Stocksdale,SR,WR,
Dorian Williams,SO,WR,
Gee Scott Jr.,SR,TE,"27 Rec, 253 Yds, 9.4 Avg"
Will Kacmarek,SR,TE,"8 Rec, 86 Yds, 10.8 Avg"
Jelani Thurman,JR,TE,"4 Rec, 42 Yds, 10.5 Avg"
Bennett Christian,SR,TE,"2 Rec, 61 Yds, 30.5 Avg"
Patrick Gurd,SR,TE,"1 Rec, 6 Yds, 6.0 Avg"
Max LeBlanc,SO,TE,
Jace Middleton,SR,TE,
George Fitzpatrick,SR,OL,
Josh Fryar,SR,OL,
Carson Hinzman,SR,OL,
Donovan Jackson,SR,OL,
Seth McLaughlin,SR,OL,
Zen Michalski,SR,OL,
Luke Montgomery,JR,OL,
Ian Moore,SO,OL,
Joshua Padilla,JR,OL,
Austin Siereveld,JR,OL,
Josh Simmons,SR,OL,
Tegra Tshabola,SR,OL,
Gabe VanSickle,SO,OL,
Toby Wilson,SR,OL,
Davontae Armstrong,SO,OL,
Deontae Armstrong,SO,OL,
Julian Goines-Jackson,SR,OL,
Simon Lorentz,SO,OL,
Miles Walker,JR,OL,
Jayden Fielding,SR,K,
Casey Magyar,JR,K,
Austin Snyder,SR,K,
Hadi Jawad,SR,K,
Anthony Venneri,SR,K,
Ty Hamilton,SR,DL,
Dominic Kirks,SO,DL,
Kayden McDonald,JR,DL,
Eric Mensah,SO,DL,
Jason Moore,JR,DL,
Bryce Prater,SR,DL,
Will Smith Jr.,JR,DL,
J.T. Tuimoloau,SR,DL,
Tyleik Williams,SR,DL,
Cade Casto,SR,DL,
Nate Riegle,SO,DL,
Ahmed Tounkara,SO,DL,
C.J. Hicks,SR,LB,
Mitchell Melton,SR,LB,
Payton Pierce,SO,LB,
Gabe Powers,SR,LB,
Arvell Reese,JR,LB,
Cody Simon,SR,LB,
Garrett Stover,SO,LB,
Sonny Styles,SR,LB,
Joey Velazquez,SR,LB,
Alec DelSignore,JR,LB,
Zach Hayes,SR,LB,
Jalen Pace,SR,LB,
Eli Riggs,SO,LB,
Denzel Burke,SR,DB,
Caleb Downs,JR,DB,
Keenan Nelson Jr.,JR,DB,
Glorien Gough,JR,DB,
Bukari Miles,SO,DB,
Joe McGuire,JR,P,
Nick McLarty,SO,P,
Caden Curry,SR,DE,
John Ferlmann,SR,LS,
Diante Griffin,SR,CB,
Jordan Hancock,SR,CB,
Malik Hartford,JR,S,
Eddrick Houston,SO,DE,
Davison Igbinosun,SR,CB,
Kenyatta Jackson,SR,DE,
Brenton Jones,SR,S,
Hero Kanu,SR,DT,
Max Lomonico,SR,LS,
Tywone Malone,SR,DT,
Jermaine Matthews Jr.,JR,CB,
Jaylen McClain,SO,S,
Joshua Mickens,JR,DE,
Lathan Ransom,SR,S,
Leroy Roker,SO,S,
Ryan Rudzinski,JR,S,
Jack Sawyer,SR,DE,
Aaron Scott Jr.,SO,CB,
Calvin Simpson-Hunt,JR,CB,
Lorenzo Styles Jr.,SR,CB,
Bryce West,SO,CB,
Jayden Bonsu,JR,S,
Caden Davis,JR,DE,
Morrow Evans,SO,LS,
Collin Johnson,SR,LS,
Myles Lockhart,SO,CB,
