Player,Class,Pos,Summary
Jackson Arnold,JR,QB,"154 Cmp, 246 Att, 1421 Yds, 12 TD"
Michael Hawkins Jr.,SO,QB,"76 Cmp, 120 Att, 783 Yds, 3 TD"
Casey Thompson,SR,QB,
Steele Wasel,SO,QB,
Brendan Zurbrugg,SO,QB,
Taylor Tatum,SO,RB,"56 Att, 278 Yds, 5.0 Avg"
Jovantae Barnes,SR,RB,"122 Att, 577 Yds, 4.7 Avg"
Xavier Robinson,SO,RB,"49 Att, 233 Yds, 4.8 Avg"
Gavin Sawchuk,JR,RB,"39 Att, 128 Yds, 3.3 Avg"
Sam Franklin,JR,RB,"18 Att, 132 Yds, 7.3 Avg"
Kalib Hicks,SO,RB,"2 Att, 11 Yds, 5.5 Avg"
Andy Bass,SO,RB,
Chapman McKown,SO,RB,
Emeka Megwa,SR,RB,
Gabe Sawchuk,SO,RB,
Brenen Thompson,SR,WR,"19 Rec, 230 Yds, 12.1 Avg"
Deion Burks,SR,WR,"31 Rec, 245 Yds, 7.9 Avg"
Zion Ragins,SO,WR,"10 Rec, 68 Yds, 6.8 Avg"
Jacob Jordan,SO,WR,"27 Rec, 234 Yds, 8.7 Avg"
Javian Hester,SR,WR,"14 Rec, 315 Yds, 22.5 Avg"
Ivan Carreon,SO,WR,"10 Rec, 89 Yds, 8.9 Avg"
Zion Kearney,SO,WR,"8 Rec, 128 Yds, 16.0 Avg"
Jaquaize Pettaway,JR,WR,"5 Rec, 87 Yds, 17.4 Avg"
Jalil Farooq,SR,WR,"3 Rec, 58 Yds, 19.3 Avg"
Andrel Anthony,SR,WR,"1 Rec, 4 Yds, 4.0 Avg"
Nic Anderson,JR,WR,
Major Melson,SR,WR,
Trey Brown,SO,WR,
KJ Daniels,SO,WR,
Jayden Gibson,SR,WR,
Eli Merck,SO,WR,
Bauer Sharp,SR,TE,"42 Rec, 324 Yds, 7.7 Avg"
Jake Roberts,SR,TE,"12 Rec, 112 Yds, 9.3 Avg"
Kaden Helms,JR,TE,"2 Rec, 19 Yds, 9.5 Avg"
Kade McIntyre,SO,TE,
Hamp Fay,SR,TE,
Davon Mitchell,SO,TE,
Daniel Akinkunmi,SO,OL,
Isaiah Autry-Dent,SO,OL,
Joshua Bates,SO,OL,
Eugene Brooks,SO,OL,
Spencer Brown,SR,OL,
Troy Everett,SR,OL,
Geirean Hatchett,SR,OL,
Branson Hickman,SR,OL,
Logan Howland,SO,OL,
Febechi Nwaiwu,SR,OL,
Heath Ozaeta,SO,OL,
Eddy Pierre-Louis,SO,OL,
Jacob Sexton,SR,OL,
Michael Tarquin,SR,OL,
Jake Taylor,SR,OL,
Josh Aisosa,SO,OL,
Gunnar Allen,JR,OL,
Ty Kubicek,SO,OL,
Evan McClure,SO,OL,
Kenneth Wermy,SO,OL,
Liam Evans,SO,K,
Tyler Keltner,SR,K,
Zach Schmit,SR,K,
Adepoju Adebawore,JR,DL,
Ethan Downs,SR,DL,
Trace Ford,SR,DL,
Wyatt Gilmore,SO,DL,
Gracen Halton,SR,DL,
Drew Heinig,SO,DL,
Ace Hodges,SO,DL,
Jayden Jackson,SO,DL,
Bergin Kysar,SO,DL,
Danny Okoye,SO,DL,
Ashton Sanders,SO,DL,
Davon Sears,SR,DL,
Nigel Smith II,SO,DL,
David Stone,SO,DL,
Markus Strong,SO,DL,
DaJon Terry,SR,DL,
R Mason Thomas,SR,DL,
Taylor Wein,SO,DL,
Damonic Williams,SR,DL,
Caiden Woullard,SR,DL,
Mari Atchison,SO,DL,
David Rowaiye,JR,DL,
Lewis Carter,JR,LB,
Taylor Heim,JR,LB,
Owen Heinecke,JR,LB,
Jaren Kanak,SR,LB,
Kip Lews,JR,LB,
Dasan McCullough,SR,LB,
Kobie McKinzie,JR,LB,
James Nesta,SO,LB,
Samuel Omosigho,JR,LB,
Danny Stutsman,SR,LB,
Kyle Carlson,SO,LB,
Phil Picciotti,SO,LB,
Woodi Washington,SR,DB,
Michael Boganowski,SO,DB,
Eli Bowen,SO,DB,
Peyton Bowen,JR,DB,
Billy Bowman,SR,DB,
Kendel Dolby,SR,DB,
Jaydan Hardy,SO,DB,
Jacobe Johnson,JR,DB,
Devon Jordan,SO,DB,
Erik McCarty,SO,DB,
Jeremiah Newcombe,SO,DB,
Reggie Powers III,SO,DB,
Jayden Rowe,JR,DB,
Peter Schuh,JR,DB,
Jakeb Snyder,SO,DB,
Robert Spears-Jennings,SR,DB,
Makari Vickers,JR,DB,
Kani Walker,SR,DB,
Gentry Williams,SR,DB,
Casen Calmus,JR,DB,
Cale Fugate,JR,DB,
Emmett Jones III,SO,DB,
Preston Mickens,SO,DB,
Dax Noles,SO,DB,
Devon Owen,SO,DB,
Mykel Paterson-McDonald,SO,DB,
Luke Elzinga,SR,P,
Josh Plaster,SR,P,
Ashton Logan,JR,P,
Ben Anderson,JR,LS,
Jocelyn Malaska,JR,CB,
Dezjhon Malone,SR,CB,
Ethan Lane,SR,LS,
