Player,Class,Pos,Summary
Colton Joseph,SO,QB,"133 Cmp, 222 Att, 1627 Yds, 11 TD"
Grant Wilson,SR,QB,"48 Cmp, 86 Att, 507 Yds, 4 TD"
Quinn Henicle,SO,QB,"14 Cmp, 25 Att, 181 Yds, 2 TD"
Holden Brown,SO,QB,
Emmett Morehead,SR,QB,
Aaron Young,SR,RB,"172 Att, 887 Yds, 5.2 Avg"
Bryce Duke,SR,RB,"46 Att, 285 Yds, 6.2 Avg"
Devin Roche,SO,RB,"43 Att, 274 Yds, 6.4 Avg"
Tariq Sims,SR,RB,"32 Att, 108 Yds, 3.4 Avg"
Maurki James,SO,RB,
Troy Marquez,SO,RB,
Isiah Paige,SR,WR,"61 Rec, 819 Yds, 13.4 Avg"
Demariyon Houston,SR,WR,"9 Rec, 83 Yds, 9.2 Avg"
Diante Vines,SR,WR,"36 Rec, 393 Yds, 10.9 Avg"
Myles Alston,SR,WR,"23 Rec, 246 Yds, 10.7 Avg"
Na'eem Abdul-Rahim Gladding,SO,WR,"2 Rec, 18 Yds, 9.0 Avg"
Kelby Williams,SR,WR,"2 Rec, 52 Yds, 26.0 Avg"
Dominic Dutton,SR,WR,
TJ Lott,SO,WR,
Kyle Miller,JR,WR,
Malachi Hinton,SO,WR,
Jaylen Pretlow,SO,WR,
Dallas Sims,SO,WR,
Fidel Tau Pitts,SR,WR,
Pat Conroy,SR,TE,"37 Rec, 523 Yds, 14.1 Avg"
DJ Chandler,SR,TE,
Jalen Butler,SR,TE,
A'Quan Dunbar,SO,TE,
Nate Hartmann,JR,TE,
Trey Lancaster,SR,TE,
Zachary Barlev,SR,OL,
Spencer Dow,SO,OL,
Connor Drake,SO,OL,
Stephon Dubose-Bourne,SR,OL,
Michael Flores,SR,OL,
Skyler Grant,SR,OL,
Collin Henrich,SR,OL,
Elijah Hoskin,SR,OL,
Keanon McNally,JR,OL,
Rick Moore,SR,OL,
Anthony Patt,SR,OL,
Santana Saunders,SR,OL,
Maarten Woudsma,JR,OL,
Exodus Anderson,SO,OL,
Theo Bachelder,SO,OL,
Emile Beaulieu,SO,OL,
Caleb Bryant,SO,OL,
Billy Gough,SR,OL,
Landon Harris,SO,OL,
Kainan Miller,SO,OL,
Jack Scala,SO,OL,
Josh Schuetzmann,SO,OL,
Ethan Chang,SR,K,
Ethan Sanchez,SR,K,
Nathanial Eichner,SR,K,
Chris Forbes,SO,DL,
Christopher Spencer,JR,DL,
Ricardo Williams Jr.,SR,DL,
Jonathan Bacigalupi,SR,DL,
Ahmaad Foster,SO,DL,
Idrissa Kamara,SO,DL,
Lorenzo McFadden-Pressley,SO,DL,
AJ Ashworth,SO,LB,
Jahleel Culbreath,JR,LB,
Michael Devereaux,SR,LB,
Ja'Mez Drummer,SR,LB,
Dirrick Goodman,SO,LB,
EJ Green,SR,LB,
Jason Henderson,SR,LB,
Koa Naotala,JR,LB,
Seth Naotala,SR,LB,
Ny'Len Ramon Jones,SR,LB,
Gage Sawyers,SO,LB,
Mario Thompson,JR,LB,
Angelo Rankin Jr.,SR,DB,
Langston Williams,SR,DB,
Ian Brandt,SO,P,
Seamus Hall,SR,P,
Jerome Carter,SO,S,
JC Cloutier,SO,S,
Brandon Crutchfield,SO,CB,
Cole Daniels,SR,DT,
Mario Easterly,JR,S,
Zion Frink,SO,S,
Dywan Griffin,SR,CB,
Zach Hagedon,SO,S,
Khian'dre Harris,SR,CB,
Daevon Iles,SO,S,
Will Jones II,SR,S,
Markus Knight,SR,S,
Denzel Lowry,SR,DT,
DeAndre Lynch,SO,DT,
Jeremy Mack,SR,S,
Jahron Manning,SR,S,
Justin McKithen,SR,CB,
Quedrion Miles,JR,CB,
Amorie Morrison,SR,DE,
Jed Olotu-Judah,SO,S,
Ryan Ramey,JR,CB,
Rasheed Reason,SR,CB,
Brandon Richards,SR,LS,
Jordan Saunders,SO,CB,
Patrick Smith,JR,S,
Kris Trinidad,SR,DE,
Jaylon White-McLain,JR,DE,
Ashton Whitner,JR,S,
Jackson Banks,JR,DT,
Caleb Bishop,SO,CB,
Chris Boykins,SO,CB,
Quincy Ehuman,SO,DE,
Ryan Harvey,SR,LS,
Jordan Holmes,SO,CB,
Ricardo Underwood,SO,S,
Brock Walters,JR,LS,
