Player,Class,Pos,Summary
Jaxson Dart,SR,QB,"276 Cmp, 398 Att, 4279 Yds, 29 TD"
Austin Simmons,SO,QB,"19 Cmp, 32 Att, 282 Yds, 2 TD"
Walker Howard,JR,QB,"0 Cmp, 2 Att, 0 Yds, 0 TD"
Justin Kowalak,JR,QB,
AJ Maddox,SO,QB,
Braden Waterman,JR,QB,
Henry Parrish Jr.,SR,RB,"130 Att, 678 Yds, 5.2 Avg"
Ulysses Bentley IV,SR,RB,"84 Att, 419 Yds, 5.0 Avg"
Matt Jones,SR,RB,"44 Att, 226 Yds, 5.1 Avg"
Domonique Thomas,SR,RB,"42 Att, 197 Yds, 4.7 Avg"
Rashad Amos,SR,RB,"9 Att, 75 Yds, 8.3 Avg"
Jason Albritton,JR,RB,"6 Att, 15 Yds, 2.5 Avg"
Logan Diggs,SR,RB,
Austin Acton,SO,RB,"1 Att, 1 Yds, 1.0 Avg"
Ali Scott,SR,RB,
Raphael Ekechi,SR,RB,
Micah Davis,SR,WR,"5 Rec, 57 Yds, 11.4 Avg"
Antwane Wells Jr.,SR,WR,"28 Rec, 553 Yds, 19.8 Avg"
Jordan Watkins,SR,WR,"49 Rec, 906 Yds, 18.5 Avg"
Cayden Lee,JR,WR,"57 Rec, 874 Yds, 15.3 Avg"
Tre Harris,SR,WR,"60 Rec, 1030 Yds, 17.2 Avg"
Ayden Williams,JR,WR,"3 Rec, 39 Yds, 13.0 Avg"
Joshua Aka,SR,WR,"2 Rec, 19 Yds, 9.5 Avg"
Noreel White,SO,WR,"2 Rec, 34 Yds, 17.0 Avg"
Drew Burnett,JR,WR,"1 Rec, 12 Yds, 12.0 Avg"
Jordan Smart,SR,WR,"1 Rec, 34 Yds, 34.0 Avg"
Dylan Davis,SO,WR,
Izaiah Hartrup,SR,WR,
Torian Kelly,SR,WR,
Mac Owen,JR,WR,
Jarnorris Hopson,JR,WR,
Ciaran Pedulla,SO,WR,
Josh Pfeifer,SR,WR,
Devin Price,SR,WR,
Calvin Wilson,SR,WR,
Caden Prieskorn,SR,TE,"27 Rec, 401 Yds, 14.9 Avg"
Dae'Quan Wright,SR,TE,"27 Rec, 394 Yds, 14.6 Avg"
Wyatt Smalley,SO,TE,"1 Rec, 8 Yds, 8.0 Avg"
Salathiel Hemphill,SR,TE,
Dillon Hipp,SO,TE,
Jack Harper,SO,TE,
Sean Judge,SO,TE,
Hudson Wolfe,SR,TE,
Eli Acker,SR,OL,
Julius Buelow,SR,OL,
Preston Cushman,JR,OL,
Ethan Fields,SO,OL,
Lane Hewett,SO,OL,
Jeremy James,SR,OL,
Nate Kalepo,SR,OL,
Joe Koury,SO,OL,
Reece McIntyre,SR,OL,
John Wayne Oliver,SO,OL,
Micah Pettus,SR,OL,
Diego Pounds,SR,OL,
Brycen Sanders,SO,OL,
Gerquan Scott,SR,OL,
Mana Taimani,SR,OL,
Caleb Warren,SR,OL,
Jayden Williams,SR,OL,
Kavion Broussard,SO,OL,
Cam East,JR,OL,
Jude Foster,SO,OL,
Jack Mills,JR,OL,
Trey Nightingale,SO,OL,
Caden Davis,SR,K,
Mike Baker,SO,K,
Tyler Banks,SR,LB,
Khari Coleman,SR,LB,
Raymond Collins,SR,LB,
Daniel Demery,SO,LB,
T.J. Dudley,JR,LB,
Chris Paul Jr.,SR,LB,
Suntarine Perkins,JR,LB,
Mark Trigg Jr.,SO,LB,
Trip White,JR,LB,
CJ Barney,SR,LB,
Fraser Masin,SR,P,
Charlie Pollock,SR,P,
J.J. Pegues,SR,DT,
Trey Amos,SR,CB,
John Ross Ashley,SO,CB,
TJ Banks,SO,CB,
Yamarus Banks,SR,S,
Cedrick Beavers,SR,CB,
Kamron Beavers,SO,DT,
Caleb Blankenship,SO,LS,
Pat Broomfield,SO,CB,
AJ Brown,JR,CB,
Jamarious Brown,SO,DT,
Jadon Candy,SR,S,
Cam Clark,SO,DE,
Harrison Craig,JR,S,
Nick Cull,JR,S,
William Echoles,SO,DT,
Kam Franklin,SO,DE,
Chris Graves Jr.,JR,CB,
Isaiah Hamilton,SR,CB,
Chris Hardie,SR,DE,
Zxavian Harris,SR,DT,
DeeJay Holmes Jr.,SO,DE,
Jared Ivey,SR,DE,
Andy Jaffe,SO,S,
Zach Johansen,JR,S,
Antione Johnson,SR,S,
Key Lawrence,SR,S,
Louis Moore,SR,S,
Walter Nolen,SR,DT,
Richard O'Bryant,SR,CB,
Tavion Prather,SR,DT,
Anthony Robinson III,SO,S,
Jeffery Rush,SO,DT,
John Saunders Jr.,SR,S,
Carter Short,SR,LS,
Jarell Stinson,SR,CB,
Akelo Stone,SR,DT,
Brandon Turnage,SR,CB,
Princely Umanmielen,SR,DE,
Trey Washington,SR,S,
Katrevrick Banks,SO,CB,
Chamberlain Campbell,SO,DE,
Lakendrick Clancy,SO,DT,
Shamaar Darden,SO,S,
Paris Evans,SO,DE,
Micah Stallworth,SO,CB,
