Player,Class,Pos,Summary
Dillon Gabriel,SR,QB,"326 Cmp, 447 Att, 3857 Yds, 30 TD"
Dante Moore,JR,QB,"7 Cmp, 8 Att, 49 Yds, 0 TD"
Austin Novosad,SO,QB,"2 Cmp, 2 Att, 7 Yds, 0 TD"
Ryder Hayes,SO,QB,
Luke Moga,SO,QB,
Brock Thomas,SO,QB,
Jordan James,SR,RB,"233 Att, 1267 Yds, 5.4 Avg"
Noah Whittington,SR,RB,"118 Att, 540 Yds, 4.6 Avg"
Jayden Limar,JR,RB,"25 Att, 71 Yds, 2.8 Avg"
Da'Jaun Riggs,SO,RB,"11 Att, 82 Yds, 7.5 Avg"
Jay Harris,JR,RB,"10 Att, 35 Yds, 3.5 Avg"
Ellis Bynum,JR,RB,
Brison Cobbins,SR,RB,
Kilohana Haasenritter,SR,RB,
Tez Johnson,SR,WR,"83 Rec, 898 Yds, 10.8 Avg"
Traeshon Holden,SR,WR,"45 Rec, 718 Yds, 16.0 Avg"
Evan Stewart,SR,WR,"48 Rec, 613 Yds, 12.8 Avg"
Justius Lowe,JR,WR,"21 Rec, 203 Yds, 9.7 Avg"
Jeremiah McClellan,SO,WR,"3 Rec, 24 Yds, 8.0 Avg"
Gary Bryant Jr.,SR,WR,"2 Rec, 12 Yds, 6.0 Avg"
Jurrion Dickey,SO,WR,"1 Rec, 7 Yds, 7.0 Avg"
Kyler Kasper,JR,WR,"1 Rec, 21 Yds, 21.0 Avg"
Preston Alford,JR,WR,
Ryan Pellum,SO,WR,
Darrian Anderson,JR,WR,
Brady Bidwell,SO,WR,
Dillon Gresham,SO,WR,
Jack Ressler,SO,WR,
Jalen Saint Paul,SO,WR,
Kenyon Sadiq,JR,TE,"24 Rec, 308 Yds, 12.8 Avg"
Terrance Ferguson,SR,TE,"43 Rec, 591 Yds, 13.7 Avg"
Patrick Herbert,SR,TE,"10 Rec, 97 Yds, 9.7 Avg"
Kade Caton,SO,TE,
Zach Grace,SO,TE,
Roger Saleapaga,SO,TE,
Travis Brashear,SO,TE,
A.J. Pugliano,SO,TE,
Gernorris Wilson,SO,OL,
Matthew Bedford,SR,OL,
Josh Conerly Jr.,SR,OL,
Ajani Cornelius,SR,OL,
Ty Delgado,JR,OL,
Marcus Harper II,SR,OL,
Dave Iuli,SR,OL,
Bailey Jaramillo,SR,OL,
Iapani Laloulu,JR,OL,
Lipe Moala,SO,OL,
Charlie Pickard,SR,OL,
Kawika Rogers,JR,OL,
Kanen Rossi,SR,OL,
George Silva,SR,OL,
Nishad Strother,SR,OL,
Holden Whipple,SR,OL,
Bryce Boulton,SO,OL,
Devin Brooks,SO,OL,
Fox Crader,SO,OL,
Beau Cressallen,SO,OL,
Trent Ferguson,SO,OL,
JacQawn McRoy,SO,OL,
Auston Mims,SO,OL,
Andrew Boyle,SR,K,
Gage Hurych,SO,K,
Grant Meadors,SO,K,
Atticus Sappington,SR,K,
Aydin Breland,SO,DL,
Jamaree Caldwell,SR,DL,
Tionne Gray,SO,DL,
Terrance Green,SO,DL,
Derrick Harmon,SR,DL,
Jericho Johnson,SO,DL,
Xadavien Sims,SO,DL,
A'Mauri Washington,JR,DL,
JaJuan Dickey,JR,DL,
My'Keil Gardner,SO,DL,
Josh Simmons,SR,DL,
Chip Allers,SO,LB,
Jeffrey Bassa,SR,LB,
Bryce Boettcher,SR,LB,
Devon Jackson,JR,LB,
Jestin Jacobs,SR,LB,
Jaxson Jones,SO,LB,
Jerry Mixon,JR,LB,
Jaeden Moore,SO,LB,
Kamar Mothudi,SO,LB,
Brayden Platt,SO,LB,
Ashton Porter,SO,LB,
Blake Purchase,JR,LB,
Elijah Rushing,SO,LB,
Connor Soelle,SR,LB,
Will Straton,SO,LB,
Teitum Tuioti,JR,LB,
Dylan Williams,SO,LB,
Emar'rion Winston,JR,LB,
Daylen Austin,SO,DB,
Solomon Davis,SO,DB,
Aaron Flowers,SO,DB,
Zach Grisham,JR,DB,
Tysheem Johnson,SR,DB,
Sione Laulea,SR,DB,
Kingston Lopa,SO,DB,
Dontae Manning,SR,DB,
Rodrick Pleasant,JR,DB,
Nikko Reed,SR,DB,
Dane Sipos,SR,DB,
Khamari Terrell,SR,DB,
Tyler Turner,SO,DB,
Peyton Woodyard,SO,DB,
Xavier Barksdale,SO,DB,
Timon Davis,SR,DB,
Dakoda Fields,SO,DB,
Jahlil Florence,SR,DB,
Ify Obidegwu,SO,DB,
Jacob Pruitt,SO,DB,
Cruz Rushing,JR,DB,
Ross James,SR,P,
Luke Dunne,SO,P,
Tyler Kinsman,SO,P,
Jordan Burch,SR,DE,
Kameryn Alexander,SR,CB,
Luke Basso,SR,LS,
Brandon Johnson,SR,S,
Jabbar Muhammad,SR,CB,
Kobe Savage,SR,S,
Matayo Uiagalelei,JR,DE,
Keyon Ware-Hudson,SR,DT,
Nick Duzansky,SO,LS,
