Player,Class,Pos,Summary
Gevani McCoy,SR,QB,"123 Cmp, 202 Att, 1300 Yds, 3 TD"
Ben Gulbranson,SR,QB,"78 Cmp, 128 Att, 943 Yds, 4 TD"
Gabarri Johnson,SO,QB,"15 Cmp, 29 Att, 174 Yds, 0 TD"
Kallen Gutridge,SO,QB,
Dom Montiel,JR,QB,
Jake Sanders,SR,QB,
Anthony Hankerson,SR,RB,"232 Att, 1082 Yds, 4.7 Avg"
Jamious Griffin,SR,RB,"73 Att, 450 Yds, 6.2 Avg"
Salahadin Allah,SO,RB,"55 Att, 258 Yds, 4.7 Avg"
Jake Reichle,JR,RB,"6 Att, 21 Yds, 3.5 Avg"
Cornell Hatcher Jr.,SO,RB,
Dyontae Navarrete,SR,RB,
Trent Walker,SR,WR,"81 Rec, 901 Yds, 11.1 Avg"
Zachary Card,SO,WR,
Darrius Clemons,SR,WR,"25 Rec, 292 Yds, 11.7 Avg"
Jeremiah Noga,SR,WR,"23 Rec, 266 Yds, 11.6 Avg"
Tastean Reddicks,SO,WR,"17 Rec, 222 Yds, 13.1 Avg"
David Wells Jr.,SO,WR,"6 Rec, 79 Yds, 13.2 Avg"
Jordan Anderson,SO,WR,
Karson Boschma,JR,WR,
Jailen Holmes,SR,WR,
Malachi Durant,SO,WR,
Jamai East,JR,WR,
Eddie Freauff,SO,WR,
Montrel Hatten Jr.,JR,WR,
Joel Valadez,SR,WR,
Jimmy Valsin III,SR,WR,
Bryce Caufield,SR,TE,"6 Rec, 90 Yds, 15.0 Avg"
Jermaine Terry II,SR,TE,"23 Rec, 375 Yds, 16.3 Avg"
Andy Alfieri,SR,TE,
Cooper Jensen,SO,TE,
Carson Kolb,SO,TE,
Gabe Milbourn,SR,TE,
TJ Zimmermann,SR,TE,
Ty May,SO,TE,
Jacob Anderson,SO,OL,
Gerard Christian-Lichtenhan,SR,OL,
Nathan Elu,JR,OL,
Zander Esty,SO,OL,
Flavio Gonzalez,SR,OL,
Joshua Gray,SR,OL,
Dylan Sikorski,SO,OL,
Grant Starck,SR,OL,
Jacob Strand,JR,OL,
Luka Vincic,JR,OL,
Tyler Voltin,SR,OL,
Ryan Berger,SO,OL,
Ben Hartman,SO,OL,
Adam Hawkes,SO,OL,
Tyler Morano,SR,OL,
Thomas Schnapp,SO,OL,
Jayden Tuia,SO,OL,
Jack Wagner,SO,OL,
Everett Hayes,SR,K,
Logan McCreery,JR,K,
Caleb Ojeda,SR,K,
Thomas Collins,SO,DL,
Jojo Johnson,SO,DL,
Luke Levengood,SR,DL,
Tevita Pome'e,SO,DL,
Semisi Saluni,SR,DL,
Jacob Schuster,SR,DL,
DJ Wesolak,JR,DL,
Tiger Black,SO,DL,
Takari Hickle,JR,DL,
Kelze Howard,SO,DL,
Nick Norris,SR,DL,
Tyree Blake,JR,LB,
Isaiah Chisom,SO,LB,
Dexter Foster,SO,LB,
Gyriece Goodman,SR,LB,
Melvin Jordan IV,JR,LB,
Shamar Meikle,SO,LB,
Oluwaseyi Omotosho,SR,LB,
Clive Pond,SO,LB,
Zakaih Saez,SO,LB,
Aiden Sullivan,SR,LB,
Nikko Taylor,SR,LB,
Will Haverland,SO,LB,
Jessaia Moala,SO,LB,
Kai Richardson,SO,LB,
Kord Shaw,JR,LB,
Makiya Tongue,SR,LB,
Exodus Ayers,SO,DB,
Tyrice Ivy Jr.,SR,DB,
Josiah Johnson,SR,DB,
Andre Jordan,SO,DB,
Alton Julian,SR,DB,
Jack Kane,SR,DB,
Jaheim Patterson,JR,DB,
Austin Ratliff,SO,DB,
Jaden Robinson,SR,DB,
Noble Thomas,JR,DB,
Skyler Thomas,SR,DB,
Sai Vadrawale,SO,DB,
Drake Vickers,JR,DB,
Amarion York,SR,DB,
Jaydin Young,SR,DB,
Milan Clark,SO,DB,
Jhae Drummer,JR,DB,
Harlem Howard,SO,DB,
Ugo Odoemelam,SO,DB,
Josh Green,SR,P,
Max Walker,JR,P,
AJ Winsor,JR,P,
Peyton Hogan,SR,LS,
Jackson Robertson,SO,LS,
Kobe Singleton,SR,CB,
Van Wells,SR,OC,
Mason White,SR,CB,
Dylan Black,SR,LS,
Tygee Hill,JR,DT,
Frank Miner,SO,LS,
