Player,Class,Pos,Summary
Drew Allar,SR,QB,"262 Cmp, 394 Att, 3327 Yds, 24 TD"
Beau Pribula,JR,QB,"26 Cmp, 35 Att, 275 Yds, 5 TD"
Ethan Grunkemeyer,SO,QB,"1 Cmp, 2 Att, 9 Yds, 0 TD"
Jack Lambert,SO,QB,
Jaxon Smolik,SO,QB,
Kaytron Allen,SR,RB,"220 Att, 1108 Yds, 5.0 Avg"
Nicholas Singleton,SR,RB,"172 Att, 1099 Yds, 6.4 Avg"
Corey Smith,SO,RB,"22 Att, 152 Yds, 6.9 Avg"
Cam Wallace,JR,RB,"18 Att, 63 Yds, 3.5 Avg"
Quinton Martin,SO,RB,"13 Att, 32 Yds, 2.5 Avg"
Amiel Davis,SR,RB,
Tyler Holzworth,SR,RB,
Omari Evans,SR,WR,"21 Rec, 415 Yds, 19.8 Avg"
Liam Clifford,SR,WR,"18 Rec, 286 Yds, 15.9 Avg"
Tyseer Denmark,SO,WR,"2 Rec, 28 Yds, 14.0 Avg"
Harrison Wallace III,SR,WR,"46 Rec, 720 Yds, 15.7 Avg"
Julian Fleming,SR,WR,"14 Rec, 176 Yds, 12.6 Avg"
Anthony Ivey,JR,WR,"1 Rec, 15 Yds, 15.0 Avg"
Ethan Black,SO,WR,
Mehki Flowers,JR,WR,
Tyler Johnson,JR,WR,
Kaden Saunders,JR,WR,
Jake Spencer,SR,WR,
Josiah Brown,SO,WR,
Logan Cunningham,JR,WR,
Aaron Enterline,SO,WR,
Jason Estrella,SR,WR,
Peter Gonzalez,SO,WR,
Donte Nastasi,SO,WR,
Feyisayo Oluleye,SO,WR,
Tyler Warren,SR,TE,"104 Rec, 1233 Yds, 11.9 Avg"
Luke Reynolds,SO,TE,"9 Rec, 111 Yds, 12.3 Avg"
Khalil Dinkins,SR,TE,"14 Rec, 122 Yds, 8.7 Avg"
Jerry Cross,JR,TE,
Finn Furmanek,SO,TE,
Andrew Rappleyea,SO,TE,
Joey Schlaffer,JR,TE,
Alex Birchmeier,SO,OL,
Eagan Boyer,SO,OL,
Cooper Cousins,SO,OL,
Nick Dawkins,SR,OL,
Anthony Donkoh,SO,OL,
Vega Ioane,JR,OL,
JB Nelson,SR,OL,
Chimdy Onoh,SO,OL,
Nolan Rucci,SR,OL,
Dominic Rulli,JR,OL,
Drew Shelton,SR,OL,
J'ven Williams,SO,OL,
Sal Wormley,SR,OL,
Logan Bahn,SO,OL,
Henry Boehme,SO,OL,
Caleb Brewer,SO,OL,
Mason Carlan,SR,OL,
Matt Detisch,JR,OL,
Jim Fitzgerald,JR,OL,
Donnie Harbour,SO,OL,
Ian Harvie,JR,OL,
Liam Horan,SO,OL,
Addison Penn,SR,OL,
Garrett Sexton,SO,OL,
Ryan Barker,SO,K,
Sander Sahaydak,SR,K,
Chase Meyer,SR,K,
Abdul Carter,SR,LB,
Ben Chizmar,SR,LB,
Dominic Deluca,SR,LB,
Tyler Elsdon,SR,LB,
Kobe King,SR,LB,
DaKaari Nelson,SO,LB,
Jackson Pryts,JR,LB,
Ta'Mere Robinson,JR,LB,
Tony Rojas,JR,LB,
Anthony Speca,SO,LB,
Winston Yates,SO,LB,
Beckham Dee,SO,LB,
Kari Jackson,SO,LB,
Keon Wylie,JR,LB,
Jalen Kimber,SR,DB,
Gabe Nwosu,SR,P,
Riley Thompson,SR,P,
Mitchell Groh,SR,P,
Kaleb Artis,JR,DT,
Hakeem Beamon,SR,DT,
Antoine Belgrave-Shorter,SO,CB,
Ty Blanding,SO,DT,
Audavion Collins,JR,CB,
De'Andre Cook,SO,DT,
Dani Dennis-Sutton,SR,DE,
Kolin Dinkins,JR,S,
Zane Durant,SR,DT,
Tyler Duzansky,SR,LS,
Dvon Ellies,SR,DT,
Alonzo Ford,SR,DT,
Xavier Gilliam,SO,DT,
Max Granville,SO,DE,
AJ Harris,JR,CB,
Jaylen Harvey,SO,DE,
Coziah Izzard,SR,DT,
Dejuan Lane,SO,S,
Jordan Mayer,SO,DE,
Cam Miller,SR,CB,
Tyrece Mills,SR,S,
Jon Mitchell,SO,CB,
Joseph Mupoyi,SO,DE,
Lamont Payne,JR,S,
Jaylen Reed,SR,S,
Blaise Sokach-Minnick,JR,LS,
Vaboue Toure,SO,S,
Zion Tracy,JR,CB,
Amin Vanover,SR,DE,
Smith Vilbert,SR,DE,
Elliot Washington II,JR,CB,
Zakee Wheatley,SR,S,
Kevin Winston,SR,S,
Kenny Woseley,SO,CB,
Liam Andrews,SO,DT,
Tyler Armstead,SO,CB,
T.A. Cunningham,SO,DT,
Andrew Dufault,SO,LS,
Zuriah Fisher,SR,DE,
Jashaun Green,JR,S,
Karson Kiesewetter,SO,S,
Bobby Mears,SO,DE,
Will Patton,JR,LS,
Aidan Probst,SO,DE,
Mason Robinson,SO,DE,
Sam Siafa,JR,DT,
Mylachi Williams,SO,DE,
Patrick Williams,JR,S,
