Player,Class,Pos,Summary
Eli Holstein,SO,QB,"180 Cmp, 291 Att, 2228 Yds, 17 TD"
Nate Yarnell,SR,QB,"98 Cmp, 167 Att, 1056 Yds, 10 TD"
David Lynch,JR,QB,"16 Cmp, 27 Att, 111 Yds, 0 TD"
Julian Dugger,SO,QB,"7 Cmp, 13 Att, 72 Yds, 2 TD"
Ty Dieffenbach,SO,QB,
Jake Frantl,SR,QB,
Desmond Reid,SR,RB,"184 Att, 966 Yds, 5.3 Avg"
Derrick Davis Jr.,SR,RB,"27 Att, 70 Yds, 2.6 Avg"
Daniel Carter,SR,RB,"22 Att, 208 Yds, 9.5 Avg"
Juelz Goff,SO,RB,"17 Att, 42 Yds, 2.5 Avg"
Rodney Hammond Jr.,SR,RB,"12 Att, 35 Yds, 2.9 Avg"
Che Nwabuko,JR,RB,"6 Att, 76 Yds, 12.7 Avg"
Caleb Williams,JR,RB,
Montravius Lloyd,JR,RB,
Kenny Johnson,JR,WR,"46 Rec, 537 Yds, 11.7 Avg"
Raphael Williams,SR,WR,"37 Rec, 426 Yds, 11.5 Avg"
Konata Mumpfield,SR,WR,"52 Rec, 813 Yds, 15.6 Avg"
Censere Lee,SR,WR,"19 Rec, 254 Yds, 13.4 Avg"
Daejon Reynolds,SR,WR,"15 Rec, 189 Yds, 12.6 Avg"
Tyreek Robinson,SO,WR,"3 Rec, 27 Yds, 9.0 Avg"
Zion Fowler-El,JR,WR,"1 Rec, 12 Yds, 12.0 Avg"
Benny Haselrig,JR,WR,"1 Rec, 7 Yds, 7.0 Avg"
Lamar Seymore,JR,WR,"1 Rec, 5 Yds, 5.0 Avg"
Jake McConnachie,SR,WR,
Cameron Montiero,SO,WR,
Caden Smith,JR,WR,
Peter Vardzel,SR,WR,
Amah Agwu,SO,WR,
Jacob Sassic,SO,WR,
Thaddeus Shaw,JR,WR,
Devin Whitlock,JR,WR,
Gavin Bartholomew,SR,TE,"38 Rec, 322 Yds, 8.5 Avg"
Jake Overman,SR,TE,"17 Rec, 160 Yds, 9.4 Avg"
Malachi Thomas,SO,TE,"2 Rec, 22 Yds, 11.0 Avg"
Josh Altsman,JR,TE,
Truitt Brown,SO,TE,
Adam Howanitz,JR,TE,
Jake Renda,SR,TE,
Ryan Baer,JR,OL,
Jackson Brown,JR,OL,
Ryan Carretta,JR,OL,
Jason Collier,SR,OL,
Lyndon Cooper,SR,OL,
Terrence Enos Jr.,SR,OL,
Ryan Jacoby,SR,OL,
Isaiah Montgomery,JR,OL,
Terrence Moore,SR,OL,
Tai Ray,JR,OL,
Branson Taylor,SR,OL,
BJ Williams,JR,OL,
Adham Abouraya,SO,OL,
Matt Altsman,SR,OL,
Jiavani Cooley,SO,OL,
Caleb Holmes,SO,OL,
Mason Lindsay,SO,OL,
Matt Metrosky,SR,OL,
Brody Riffe,JR,OL,
Graysen Riffe,JR,OL,
Samuel Carpenter,JR,K,
Ben Sauls,SR,K,
Thomas Aden,JR,DL,
Chief Borders,SR,DL,
Francis Brewu,SO,DL,
Elliot Donald,SR,DL,
Sincere Edwards,SO,DL,
Sean FitzSimmons,JR,DL,
Maverick Gracio,JR,DL,
Nick James,JR,DL,
Antwuan Johnson,SR,DL,
Nahki Johnson,SR,DL,
Isaiah Neal,JR,DL,
Jimmy Scott,SR,DL,
Nate Temple,SR,DL,
Jahsear Whittington,SO,DL,
Zach Zollers,JR,DL,
Zach Crothers,SO,DL,
Ty Yuhas,SO,DL,
Jordan Bass,JR,LB,
Dylan Bennett,SR,LB,
Rasheem Biles,JR,LB,
Davin Brewton,SO,LB,
Drew Foster,JR,LB,
Brandon George,SR,LB,
Abe Ibrahim,JR,LB,
Nick Lapi,SR,LB,
Cameron Lindsey,SO,LB,
Kyle Louis,JR,LB,
Braylan Lovelace,JR,LB,
Jeremiah Marcelin,SO,LB,
Keye Thompson,SR,LB,
Luke Delgaudio,SR,LB,
Allen Bryant,SO,DB,
Jesse Anderson,JR,DB,
Rashad Battle,SR,DB,
Noah Biglow,SR,DB,
Cruce Brookins,JR,DB,
Tamarion Crumpley,SR,DB,
Ryland Gandy,JR,DB,
Shadarian Harrison,JR,DB,
Tamon Lynum,SR,DB,
Josh McCarty,SR,DB,
Javon McIntyre,SR,DB,
Donovan McMillon,SR,DB,
P.J. O'Brien,SR,DB,
Matthew Amofa,JR,DB,
Jaremiah Anglin Jr.,SO,DB,
John Glenn,JR,DB,
Nigel Maynard,SO,DB,
Davion Pritchard,SO,DB,
Caleb Junko,SR,P,
Cam Guess,SR,P,
Cade Dowd,SR,P,
Nico Crawford,JR,LS,
Nate Matlack,SR,DE,
David Ojiegbe,SO,DE,
Nilay Upadhyayula,SR,LS,
Moritz Schmoranzer,SO,,
