Player,Class,Pos,Summary
Hudson Card,SR,QB,"144 Cmp, 248 Att, 1641 Yds, 9 TD"
Ryan Browne,SO,QB,"43 Cmp, 76 Att, 532 Yds, 4 TD"
Christian Gelov,SR,QB,"1 Cmp, 3 Att, 26 Yds, 0 TD"
Marcos Davila,SO,QB,
Carson Kitchel,SO,QB,
Bennett Meredith,JR,QB,
Jake Wilson,SO,QB,
Devin Mockobee,SR,RB,"138 Att, 687 Yds, 5.0 Avg"
Reggie Love III,SR,RB,"83 Att, 372 Yds, 4.5 Avg"
Jaheim Merriweather,SO,RB,"15 Att, 77 Yds, 5.1 Avg"
Elijah Jackson,SO,RB,"6 Att, 97 Yds, 16.2 Avg"
Antonio Harris,SO,RB,"1 Att, 4 Yds, 4.0 Avg"
Addai Lewellen,SR,RB,
Shamar Rigby,SO,WR,"11 Rec, 113 Yds, 10.3 Avg"
De'Nylon Morrissette,JR,WR,"11 Rec, 106 Yds, 9.6 Avg"
Arhmad Branch,SO,WR,
Jaron Tibbs,JR,WR,"25 Rec, 305 Yds, 12.2 Avg"
Jahmal Edrine,SR,WR,"23 Rec, 365 Yds, 15.9 Avg"
C.J. Smith,JR,WR,"6 Rec, 69 Yds, 11.5 Avg"
Leland Smith,JR,WR,"6 Rec, 72 Yds, 12.0 Avg"
Andrew Sowinski,SR,WR,"5 Rec, 38 Yds, 7.6 Avg"
Kam Brown,SR,WR,"3 Rec, 87 Yds, 29.0 Avg"
Jayden Dixon-Veal,SR,WR,"3 Rec, 23 Yds, 7.7 Avg"
Jesse Watson,SO,WR,"1 Rec, 16 Yds, 16.0 Avg"
Andrew Adkison,SO,WR,
Tra'Mar Harris,SO,WR,
Nolan Buckman,SO,WR,
Donovan Hamilton,SO,WR,
Luke Jones,SO,WR,
Adam Kidder,SO,WR,
Ryne Shackelford,SO,WR,
Ben Furtney,SR,TE,
Max Klare,JR,TE,"51 Rec, 685 Yds, 13.4 Avg"
Drew Biber,SR,TE,"13 Rec, 113 Yds, 8.7 Avg"
George Burhenn,JR,TE,"1 Rec, 3 Yds, 3.0 Avg"
Tayvion Galloway,SO,TE,
James Hardy,SO,TE,
Luke Klare,SO,TE,
Jaden Ball,SO,OL,
Bakyne Coly,SR,OL,
Jalen Grant,SR,OL,
Luke Griffin,SR,OL,
Gus Hartwig,SR,OL,
Marcus Mbow,SR,OL,
Mahamane Moussa,SR,OL,
John Randle Jr.,SO,OL,
Aaron Roberts,SR,OL,
Joshua Sales Jr.,SR,OL,
Corey Stewart,SR,OL,
Joey Tanona,JR,OL,
Ethan Trent,SO,OL,
DJ Wingfield,SR,OL,
Anthony Boswell,SO,OL,
Jaekwon Bouldin,SR,OL,
Tom Ewing,SO,OL,
Rod Green,SR,OL,
Jordan King,SO,OL,
Jimmy Liston,SO,OL,
Max Parrott,SO,OL,
Thomas Tinsley,SO,OL,
Drew Woodruff,JR,OL,
Ben Freehill,SR,K,
Spencer Porath,SO,K,
RJ Lopez,SR,K,
Joseph Anderson,SR,DL,
Cole Brevard,SR,DL,
Drake Carlson,SO,DL,
Jamarius Dinkins,SR,DL,
Jamarrion Harkless,SO,DL,
Caleb Irving,SO,DL,
Demeco Kennedy,SO,DL,
Damarjhe Lewis,SR,DL,
Jeffrey M'ba,SR,DL,
Mo Omonode,SR,DL,
Joe Strickland,JR,DL,
Reese Hill,SO,DL,
Elijah Taylor,SO,DL,
Winston Berglund,SO,LB,
Owen Davis,SO,LB,
Kydran Jenkins,SR,LB,
Yanni Karlaftis,SR,LB,
Hudson Miller,JR,LB,
Joey Sumlin,SO,LB,
Landon Drennan,SO,LB,
Cooper Kitchel,SO,LB,
Botros Alisandro,SR,DB,
Koy Beasley,SO,DB,
Smiley Bradford,SO,DB,
Anthony Brown,JR,DB,
Markevious Brown,SR,DB,
Tarrion Grant,SO,DB,
Nyland Green,SR,DB,
Hudauri Hines,SO,DB,
Ty Hudkins,SO,DB,
Joseph Jefferson II,JR,DB,
Earl Kulp,SO,DB,
D'Mon Marable,SO,DB,
Derrick Rogers Jr.,JR,DB,
Antonio Stevens,SR,DB,
Dillon Thieneman,JR,DB,
Salim Turner-Muhammad,SR,DB,
Zeke Williams,JR,DB,
Landon Heard,SO,DB,
Ayden Murray,SO,DB,
Isaiah Needam,SO,DB,
Luke Pettaway,SO,DB,
Luke Williams,SO,DB,
Bennett Boehnlein,JR,P,
Keelan Crimmins,SO,P,
Kyndrich Breedlove,SR,CB,
Will Heldt,JR,DE,
Nick Levy,SR,LS,
C.J. Madden,JR,DE,
Jireh Ojata,SR,DE,
Shitta Sillah,SR,DE,
Trey Smith,SO,DE,
Logan Jellison,SO,DE,
Jamari Payne,SO,DE,
Albert Schwartz,SO,DE,
Sterling Smith,JR,S,
Claude Strnad,SO,LS,
