Player,Class,Pos,Summary
E.J. Warner,SR,QB,"272 Cmp, 439 Att, 2710 Yds, 17 TD"
Drew Devillier,SO,QB,"20 Cmp, 38 Att, 137 Yds, 0 TD"
Shawqi Itraish,SR,QB,
AJ Padgett,JR,QB,
Quinton Jackson,JR,RB,"48 Att, 275 Yds, 5.7 Avg"
Dean Connors,SR,RB,"159 Att, 780 Yds, 4.9 Avg"
Taji Atkins,SO,RB,"24 Att, 158 Yds, 6.6 Avg"
Christian Francisco,SR,RB,"19 Att, 78 Yds, 4.1 Avg"
Coleman Bennett,SR,RB,"2 Att, 28 Yds, 14.0 Avg"
Daelen Alexander,JR,RB,
Michael Amico,JR,RB,
Larry DeBose IV,SO,RB,
Trei Kibbles,SO,RB,
Matt Sykes,SR,WR,"65 Rec, 782 Yds, 12.0 Avg"
Kobie Campbell,SR,WR,"32 Rec, 372 Yds, 11.6 Avg"
Thai Chiaokhiao-Bowman,JR,WR,"15 Rec, 125 Yds, 8.3 Avg"
Drayden Dickman,SO,WR,"10 Rec, 80 Yds, 8.0 Avg"
Chase Jenkins,SO,WR,
Graham Walker,SR,WR,"24 Rec, 252 Yds, 10.5 Avg"
Braylen Walker,JR,WR,"22 Rec, 264 Yds, 12.0 Avg"
Tyson Thompson,SR,WR,"3 Rec, 11 Yds, 3.7 Avg"
Owen Carter,SO,WR,
Shawn Irwin,SO,WR,
Justin Williams Jr.,SO,WR,
Jake Dragoo,JR,WR,
Ryan Guillo,JR,WR,
Rawson MacNeill,JR,WR,
Landon Ransom-Goelz,JR,WR,
Jackson Ranucci,SO,WR,
Elijah Mojarro,SR,TE,"22 Rec, 215 Yds, 9.8 Avg"
Boden Groen,SR,TE,"12 Rec, 94 Yds, 7.8 Avg"
Jovoni Johnson,SR,TE,"1 Rec, 6 Yds, 6.0 Avg"
James Falk,SO,TE,
Jaggar Hebeisen,SR,TE,
Ethan Powell,SR,TE,
Alex Scherle,JR,TE,
Matt Hall,SR,TE,
Rhys Phillips,SO,TE,
John Long,SR,OL,
Brant Banks,SR,OL,
Brad Baur,JR,OL,
Spencer Cassell,SR,OL,
Peyton Farmer,SO,OL,
Netane Fehoko,SR,OL,
Weston Kropp,SR,OL,
Chad Lindberg,SR,OL,
Luke Miller,SO,OL,
Luke Needham,SO,OL,
Trace Norfleet,JR,OL,
Ethan Onianwa,SR,OL,
David Stickle,SR,OL,
Patrick Valent,SO,OL,
Nate Bledsoe,SO,OL,
Miguel Cedeno,JR,OL,
Isaiah Gonzalez,SR,OL,
Lane Jeffcoat,SO,OL,
Jabari McAlmont,SO,OL,
Cullen Witt,SO,OL,
Enock Gota,JR,K,
Tim Horn,SR,K,
Reese Keeney,SO,K,
Blake Boenisch,SR,DL,
Aquantis Clemmons,JR,DL,
Izeya Floyd,SR,DL,
Demone Green,JR,DL,
Jalen Hargrove,SR,DL,
Charles Looes,SR,DL,
Elroyal Morris Jr.,SR,DL,
Joseph Mutombo,SO,DL,
Chibby Nwajuaku,JR,DL,
Chris Clark-Jolivet,JR,DL,
DJ Arkansas,SR,LB,
Andrew Awe,SR,LB,
Beau Barton,JR,LB,
Kaleb Blanton,SO,LB,
Shepard Bowling,SR,LB,
Cooper King,JR,LB,
Ty Anthony Morris,JR,LB,
Myron Morrison,SR,LB,
Josh Pearcy,SR,LB,
Chali Taylor,JR,LB,
Blaise Tita,SR,LB,
Ethan Broughman,JR,LB,
Chris Conti,SR,LB,
Tyler Day,SO,LB,
Kenny Seymour Jr.,SR,LB,
Moh Bility,JR,DB,
Jonathan Jean,SR,DB,
AJ Stephens,SO,DB,
Alex Bacchetta,JR,P,
Conor Hunt,SR,P,
Micah Barnett,SR,FB,
Sean Fresch,SR,CB,
Colin Giffen,SR,FB,
Max Ahoia,SR,CB,
Chike Anigbogu,SR,S,
Chris Bruce,SO,S,
JC Clark,JR,CB,
Colby Connell,JR,LS,
Michael Daley,SR,DE,
Ephraim Dotson,SO,CB,
Christian Edgar,JR,S,
Tyson Flowers,JR,S,
Wyatt Freeman,JR,LS,
Geron Hargon,SR,FB,
Daveon Hook,SR,S,
Michael Larbie,SR,DT,
Faybian Marks,SR,CB,
Lamont Narcisse,SR,CB,
Ashton Ojiaku,SO,S,
Peyton Stevenson,SR,S,
Gabe Taylor,SR,S,
Joshua Wiliams,SR,S,
Marcus Williams,SR,S,
Plae Wyatt,SR,S,
Jordan Campbell,SR,DE,
Jabari Ellison,SO,S,
Bailey Fletcher,SO,CB,
LaVonte Johnson,SO,S,
Cade McMillan,SO,S,
Jeremiah Williams,JR,CB,
