Player,Class,Pos,Summary
Athan Kaliakmanis,SR,QB,"213 Cmp, 395 Att, 2696 Yds, 18 TD"
Ajani Sheppard,JR,QB,
Colin O'Sullivan,JR,QB,
Rocco Rainone,SO,QB,
AJ Surace,SO,QB,
Kyle Monangai,SR,RB,"256 Att, 1279 Yds, 5.0 Avg"
Antwan Raymond,SO,RB,"100 Att, 457 Yds, 4.6 Avg"
Samuel Brown V,SR,RB,"40 Att, 201 Yds, 5.0 Avg"
Ja'shon Benjamin,JR,RB,"19 Att, 100 Yds, 5.3 Avg"
Donovan Delaney,SR,RB,
Edd Guerrier,SO,RB,
Jordan Kinsler,SR,RB,
Jordan Smikle,SR,RB,
Gabe Winowich,SO,RB,
Dymere Miller,SR,WR,"59 Rec, 757 Yds, 12.8 Avg"
Ian Strong,JR,WR,"43 Rec, 676 Yds, 15.7 Avg"
KJ Duff,SO,WR,"27 Rec, 425 Yds, 15.7 Avg"
Ben Black,SO,WR,"12 Rec, 157 Yds, 13.1 Avg"
Christian Dremel,SR,WR,"12 Rec, 162 Yds, 13.5 Avg"
Chris Long,SR,WR,"11 Rec, 163 Yds, 14.8 Avg"
Dylan Braithwaite,JR,WR,
Naseim Brantley,SR,WR,
Dino Kaliakmanis,SR,WR,
Nasir Montgomery,SR,WR,
Famah Toure,JR,WR,
Gunnison Bloodgood,SR,WR,
Deondre Johnson,JR,WR,
Trent Osborn,SO,WR,
Ben Rosenblatt,JR,WR,
Kenny Fletcher,SR,TE,"20 Rec, 137 Yds, 6.9 Avg"
Mike Higgins,SR,TE,"5 Rec, 36 Yds, 7.2 Avg"
Logan Blake,JR,TE,"2 Rec, 6 Yds, 3.0 Avg"
Victor Konopka,SR,TE,"1 Rec, 12 Yds, 12.0 Avg"
Matthew Ogunniyi,SO,TE,
Jackson Gister,SO,TE,
Monte Keener,SO,TE,
Liam Kilcomons,SO,TE,
Kwabena Asamoah,SR,OL,
Dantae Chin,SR,OL,
Bryan Felter,SR,OL,
Tyler Needham,SR,OL,
Nick Oliveira,JR,OL,
Hollin Pierce,SR,OL,
Shedrick Rhodes Jr.,SR,OL,
Terrence Salami,SR,OL,
Reggie Sutton,SR,OL,
Taj White,SR,OL,
Gus Zilinskas,SR,OL,
Raynor Andrews,SO,OL,
Nick Ciaffoni,SR,OL,
Moses Gbagebe-Sowah,SR,OL,
Raymond Giacobbe,SO,OL,
Kenny Jones,SO,OL,
Carter Kadow,SO,OL,
Cole Kozlowski,JR,OL,
Dominic Rivera,JR,OL,
Emir Stinette,SR,OL,
John Stone,JR,OL,
Mozell Williams,JR,OL,
Riley McCann,JR,K,
Jai Patel,SR,K,
Jack Scullion,SO,K,
Dane Pizzaro,SO,K,
DJ Allen,SR,DL,
Zaire Angoy,SR,DL,
Wesley Bailey,SR,DL,
Sean Cooper,SR,DL,
Keshon Griffin,SR,DL,
Kyonte Hamilton,SR,DL,
Henry Hughes Jr.,SR,DL,
Aaron Lewis,SR,DL,
David Onuoha,SR,DL,
JaSirÃ© Peterson,JR,DL,
Djibril Abdou Rahman,JR,DL,
Troy Rainey,SR,DL,
Malcolm Ray,SR,DL,
Jordan Thompson,SR,DL,
Jordan Walker,SR,DL,
Jordan Augustin,SR,DL,
Aaris Bethea,SO,DL,
Farell Gnago,SO,DL,
Elijah King,SO,DL,
Tyclean Luman,SO,DL,
Tycoolhill Luman,SO,DL,
Anthony Morales,SO,DL,
Liam Rempel,SR,DL,
Dariel Djabome,SR,LB,
Timmy Hinspeter,SR,LB,
Tyreem Powell,SR,LB,
Moses Walker,SR,LB,
Abram Wright,JR,LB,
Jamier Wright-Collins,SR,LB,
Charlie Barth,SR,LB,
Sam Gadie,SR,LB,
Liam Gilmore,SO,LB,
MJ Johnson,SO,LB,
Joe Nwachukwu,SO,LB,
Sam Pilof,SO,LB,
Lance Rice,SR,LB,
Sam Robinson,SO,LB,
Mohamed Toure,SR,LB,
Evan Ward,SR,LB,
Timmy Ward,SR,DB,
Thomas Amankwaa,SR,DB,
Sage Clawges,JR,DB,
Isaiah Crumpler,SO,DB,
Michael Dixon,SR,DB,
Davoun Fuse,JR,DB,
DK Gilley,SO,DB,
Desmond Igbinosun,SR,DB,
Sebastian Jusma,SR,DB,
Fitzroy Ledgister,SR,DB,
Kevin Levy,SO,DB,
Robert Longerbeam,SR,DB,
Shaquan Loyal,SR,DB,
Joe Lusardi,SR,DB,
Bo Mascoe,JR,DB,
Jesse Ofurie,JR,DB,
Michael Robinson II,SR,DB,
Eric Rogers,SR,DB,
Al-Shadee Salaam,SR,DB,
Kaj Sanders,SO,DB,
Noah Shaw,SO,DB,
Zilan Williams,SR,DB,
Trent Brown,JR,DB,
Zach Goodale,SR,DB,
Vilay Nakkoun Jr.,JR,DB,
Shawn Purcell,JR,DB,
Andrew Vargas,SR,DB,
Antonio White Jr.,SO,DB,
Jakob Anderson,SO,P,
Austin Riggs,SR,LS,
Sammy El Hadidi,SR,LS,
Michael Oâ€™Connor,SR,LS,
