Player,Class,Pos,Summary
Hunter Watson,JR,QB,"175 Cmp, 281 Att, 1811 Yds, 12 TD"
Jase Bauer,JR,QB,"40 Cmp, 65 Att, 310 Yds, 2 TD"
Grant Gunnell,SR,QB,
DJ Bailey,FR,QB,
Sylas Gomez,SO,QB,
Jevyon Ducker,SR,RB,"158 Att, 745 Yds, 4.7 Avg"
DJ McKinney,FR,RB,"97 Att, 481 Yds, 5.0 Avg"
John Gentry,JR,RB,"26 Att, 75 Yds, 2.9 Avg"
Zach Hrbacek,JR,RB,"12 Att, 30 Yds, 2.5 Avg"
Landon Brown,FR,RB,
Garret Hagler,SO,RB,
Adrian Murdaugh,JR,RB,
Trey Taylor,FR,RB,
Noah Smith,SR,WR,"40 Rec, 313 Yds, 7.8 Avg"
Simeon Evans,JR,WR,"50 Rec, 559 Yds, 11.2 Avg"
Ife Adeyi,SR,WR,"30 Rec, 271 Yds, 9.0 Avg"
Qua'Vez Humphreys,JR,WR,"20 Rec, 385 Yds, 19.3 Avg"
Michael Phoenix II,JR,WR,"15 Rec, 219 Yds, 14.6 Avg"
Malik Phillips,SR,WR,"2 Rec, 25 Yds, 12.5 Avg"
Lonnie Adksim,FR,WR,"1 Rec, 4 Yds, 4.0 Avg"
Jay Rockwell,SO,WR,"6 Rec, 50 Yds, 8.3 Avg"
Shane Johnson,JR,WR,"2 Rec, 14 Yds, 7.0 Avg"
Tyler Bailey,SO,WR,
Darrick Bladsoe III,FR,WR,
Fatu Mukuba,FR,WR,
KeSean Raven,JR,WR,
Marcus Field,FR,WR,
Terrence Guillory II,FR,WR,
Karson Maynard,FR,WR,
Rushil Patel,FR,WR,
Matthew Tatum,FR,WR,
Kaden Taylor,SO,WR,
Elijah Sohn,SR,TE,"14 Rec, 113 Yds, 8.1 Avg"
Fernando Garza,JR,TE,"1 Rec, 2 Yds, 2.0 Avg"
Thomas Jewett,SO,TE,
Austin Smith,JR,TE,
Cooper Stevens,FR,TE,
MarKendrick Beall,SR,OL,
James Dawn II,JR,OL,
Kolt Dieterich,FR,OL,
Luke Eckardt,JR,OL,
Easton Fulton,FR,OL,
Ethan Hagler,SR,OL,
Will Hutchens,FR,OL,
Orion Irving,SO,OL,
Graceson Jackson-Smith,JR,OL,
Mich'le Joseph,SO,OL,
Seth Kohlscheen,SR,OL,
Rhett Larson,SO,OL,
William McCollum,SR,OL,
Carter Buchheit,FR,OL,
Jeremiah Edmond,SO,OL,
Ben Gehrke,FR,OL,
Ford Ivey,FR,OL,
Jadon Cardell,JR,K,
Joe Nelson,FR,K,
Christian Pavon,JR,K,
Shaun Neibert,FR,K,
Colby Sessums,JR,K,
Matthew Aribisala,JR,DL,
Kendrick DuJour,SO,DL,
Briceon Hayes,JR,DL,
Braeden Howell,JR,DL,
Jevon Leon,SR,DL,
Seth Mason,SR,DL,
Chris Murray,JR,DL,
Richard Outland,JR,DL,
Quardale Patt,JR,DL,
Jaden Phillips,SR,DL,
Quincy Wright,SO,DL,
Andrew Edmonson,SO,DL,
Jaredh Frayre,FR,DL,
Joshua Frayre,FR,DL,
Jayden Gaines,FR,DL,
Ryan Gilleylen,SO,DL,
Stephan Ochai,FR,DL,
Josiah Stephens,FR,DL,
Godgive Ugochukwu,FR,DL,
Matthew Westmoreland,FR,DL,
S'Maje Burrell,FR,LB,
Trey Fields,SR,LB,
Kavian Gaither,SR,LB,
Ca'lub Holloway,SO,LB,
Sincere Jackson,JR,LB,
Chatavies Johnson,JR,LB,
Ysidro Mascorro,SR,LB,
Issiah Nixon,SR,LB,
Jaylen Phillips,SR,LB,
Gannon Tullos,SO,LB,
Eli Wallace,FR,LB,
Dean Ford,FR,LB,
Forest Gatlin,FR,LB,
Jacquis Ishmeal Jr.,JR,LB,
Mitch Melton,FR,LB,
Kason Tullos,SR,LB,
Railyn Adams,FR,DB,
Emon Allen,JR,DB,
Da'Veawn Armstead,JR,DB,
Elias Escobar,SR,DB,
David Fisher,JR,DB,
Ny'Quee Hawkins,SR,DB,
Jalen O'Neal,FR,DB,
Chantson Prox,SO,DB,
Jaidan Scott,SO,DB,
Joe Swen,SO,DB,
Caleb Weaver,JR,DB,
Quan Williams,JR,DB,
Dravon Wilson,FR,DB,
Jason Dabney,FR,DB,
Dax Horany,FR,DB,
Cadiin Johnson,JR,DB,
Jon-Bernard Reynolds,SO,DB,
Lyric Smith,FR,DB,
Isaiah Cash,SR,S,
Dylan Frazier,SO,DT,
Jaylon Jimmerson,SR,S,
Zach Stricker,JR,LS,
Denver Warren,JR,DT,
Carson Whitington,SO,LS,
