Player,Class,Pos,Summary
Danny O'Neil,SO,QB,"209 Cmp, 330 Att, 2181 Yds, 12 TD"
Javance Tupou'ata-Johnson,SO,QB,"20 Cmp, 39 Att, 222 Yds, 2 TD"
Parker Threatt,SO,QB,
Kyle Crum,JR,QB,
AJ Duffy,JR,QB,
Marquez Cooper,SR,RB,"292 Att, 1274 Yds, 4.4 Avg"
Cam Davis,SR,RB,"14 Att, 76 Yds, 5.4 Avg"
Jaylon Armstead,SR,RB,"13 Att, 42 Yds, 3.2 Avg"
Lucky Sutton,JR,RB,"5 Att, 35 Yds, 7.0 Avg"
Kenan Christon,SR,RB,
Nick Gardinera,JR,RB,
Cincere Rhaney,SO,RB,
Jordan Napier,JR,WR,"43 Rec, 440 Yds, 10.2 Avg"
Ja'Shaun Poke,SR,WR,"50 Rec, 459 Yds, 9.2 Avg"
Louis Brown,SR,WR,"38 Rec, 620 Yds, 16.3 Avg"
Nate Bennett,SR,WR,"22 Rec, 314 Yds, 14.3 Avg"
Mekhi Shaw,SR,WR,"15 Rec, 160 Yds, 10.7 Avg"
Baylin Brooks,JR,WR,"2 Rec, 14 Yds, 7.0 Avg"
Jerry McClure,SO,WR,
Mikey Welsh,JR,WR,
Will Cianfrini,SO,WR,
Heath McRee,SO,WR,
Kurt Rossner,SO,WR,
Ben Scolari,SO,WR,
Bobby Shaw,SO,WR,
Derek Smith,SO,WR,
Phillippe Wesley II,SR,WR,
Michael Harrison,SR,TE,"18 Rec, 150 Yds, 8.3 Avg"
Jude Wolfe,SR,TE,"18 Rec, 161 Yds, 8.9 Avg"
Arthur Ban,SO,TE,
Gabe Garretson,JR,TE,
Logan Tanner,JR,TE,
Ryan Wolfer,SO,TE,
Corbin Yates,SR,TE,
Dean Abdullah,SR,OL,
Briley Barron,SO,OL,
Joseph Borjon,SR,OL,
Brayden Bryant,SR,OL,
Ryan Dirksen,SR,OL,
Saipale Fuimaono,SR,OL,
Christian Jones,SR,OL,
Tyler McMahan,SR,OL,
Myles Murao,SR,OL,
Ryan Silver,SO,OL,
Ross Ulugalu-Maseuli,SR,OL,
Nate Williams,SR,OL,
Gage Dutcher,JR,OL,
Kai Holec,SO,OL,
Nikolas Kattoula,SO,OL,
Nick Lopez,SR,K,
Gabriel Plascencia,SR,K,
Nick Clegg,SO,K,
Zechariah Ramirez,JR,K,
Sam Benjamin,JR,DL,
Krishna Clay,SR,DL,
Kodi Cornelius,SO,DL,
Darrion Daulton,SR,DL,
Wyatt Draeger,SR,DL,
Malik Gucake,SR,DL,
Ryan Henderson,JR,DL,
Ezekiel Larry,JR,DL,
Marlem Louis,SR,DL,
Keion Mitchell,SR,DL,
Brady Nassar,JR,DL,
Teivis Tuioti,SR,DL,
Tiumalu Afalava,SO,DL,
Emanuel Chow,SO,DL,
Ryan Gaea,SO,DL,
Hudson Mitchell,SO,DL,
Charlie Stewart,SR,DL,
Zone Wierenga,JR,DL,
DJ Herman,SR,LB,
Owen Chambliss,SO,LB,
Brady Anderson,SR,LB,
Jared Badie,JR,LB,
Tano Letuli,JR,LB,
Cody Moon,SR,LB,
Kyle Moretti,SR,LB,
Dean Harrington,SO,LB,
Jayden Kendricks,JR,LB,
Danny Niu,SO,LB,
Jake Sinz,SO,LB,
Bennett Walker,SR,DB,
Tyler Pastula,SR,P,
Eemil Herranen,SR,P,
Trey White,JR,DE,
Chris Johnson,SR,CB,
Deshawn McCuin,SR,S,
Tupu Alualu,SR,DT,
Tayvion Beasley,JR,CB,
Jakson Berman,JR,CB,
Tayten Beyer,SO,CB,
Eric Butler,SR,S,
Tyson Chavez,JR,LS,
J.D. Coffey III,SR,S,
Arnold Escano,SR,CB,
Max Garrison,SR,S,
Xavier Hamlet,SR,CB,
Josh Hunter,JR,S,
Jatavious Magee,SR,S,
Jelani McLaughlin,JR,S,
William Nimmo Jr.,SR,S,
Dominic Oliver,SR,DE,
Bryce Phillips,SR,CB,
Dalesean Staley,SR,S,
Jelani Whitmore,SR,CB,
Prince Williams,SO,CB,
Ryan Wintermeyer,SR,LS,
Isaiah Buxton,SO,CB,
Joshua Goynes,SR,S,
Jason Mitchell,SO,CB,
Connor Poulson,SO,LS,
