Player,Class,Pos,Summary
Walker Eget,SR,QB,"188 Cmp, 328 Att, 2504 Yds, 13 TD"
Emmett Brown,JR,QB,"125 Cmp, 217 Att, 1621 Yds, 16 TD"
Trent Ward,SR,QB,"1 Cmp, 3 Att, 16 Yds, 0 TD"
Macloud Crowton,SR,QB,
CJ Lee,SO,QB,
Floyd Chalk,SR,RB,"154 Att, 721 Yds, 4.7 Avg"
Jabari Bates,JR,RB,"59 Att, 254 Yds, 4.3 Avg"
Lamar Radcliffe,SO,RB,"33 Att, 141 Yds, 4.3 Avg"
Paolo Burak,JR,RB,
Kayden Collins,JR,RB,
Zack Homan,SO,RB,
Viliami Teu,SO,RB,
Nick Nash,SR,WR,"104 Rec, 1382 Yds, 13.3 Avg"
Justin Lockhart,SR,WR,"53 Rec, 983 Yds, 18.5 Avg"
Matthew Coleman,JR,WR,"34 Rec, 401 Yds, 11.8 Avg"
Treyshun Hurry,JR,WR,"28 Rec, 481 Yds, 17.2 Avg"
Sebastian Macaluso,SR,WR,"15 Rec, 187 Yds, 12.5 Avg"
Cooper Hoch,SO,WR,"10 Rec, 76 Yds, 7.6 Avg"
Sawyer Deerman,JR,WR,
Roy Gardner,SO,WR,
Miles Hull,SO,WR,
Malikhi Miller,SR,WR,
Kyri Shoels,SR,WR,
Jacob Stewart,SR,TE,"34 Rec, 287 Yds, 8.4 Avg"
Jackson Canaan,SR,TE,"28 Rec, 314 Yds, 11.2 Avg"
Skylar Loving-Black,SR,TE,
Grant Norberg,SR,TE,
Kamaehu Kopa-Kaawalauole,SO,TE,
Sione Nomani,SR,OL,
Tyler Chen,SO,OL,
Denaris DeRosa Jr.,JR,OL,
Nate Hale,SO,OL,
Joseph Harbert,JR,OL,
Peseti Lapuaho,SR,OL,
Tevita Manukainiu,SO,OL,
Hudson Mesa,SR,OL,
Daniel Moleni,SR,OL,
Manuel Serna,SO,OL,
Marist Talavou,SR,OL,
Uluakinofo Taliauli,JR,OL,
Malik Williams,SR,OL,
Nathan Balestrieri,SO,OL,
Mitchell Brown,SO,OL,
Laakea Kapoi,JR,OL,
Will Leys,JR,OL,
Mohammad Othman,SO,OL,
David Perez,SO,OL,
Justice Turner,SO,OL,
Dino Beslagic,JR,K,
Mathias Brown,SO,K,
Kyler Halvorsen,SR,K,
Gafa Faga,SR,DL,
Etu Finau,SR,DL,
Dylan Hampsten,SO,DL,
Mata Hola,SR,DL,
Reggie Jones,JR,DL,
Nate Lewis,JR,DL,
Quincy Likio,SR,DL,
Akio Martinson,SO,DL,
John Norwood,JR,DL,
Pau Reed,SR,DL,
Dejon Roney,SR,DL,
Noa Siaosi,SO,DL,
Soane Toia,SR,DL,
Kade Millard,SO,DL,
Tangata Tuitupou,SR,DL,
Jordan Pollard,SR,LB,
Alexander Cobbs,SO,LB,
Jordan Cobbs,SR,LB,
Naseri Danielson,SO,LB,
Malakai Hoeft,SR,LB,
Taniela Latu,SR,LB,
Dylan Lee,SO,LB,
Noah McNeal-Franklin,SR,LB,
Nassir Pitters,SO,LB,
Ethan Powell,SR,LB,
Matt Robinson,SO,LB,
David Tuihalangingie,SR,LB,
Gregory McClendon III,SO,LB,
Luke Richey,SO,LB,
Brady Van Bennekum,SO,LB,
Jean Boyd III,SR,DB,
Kejuan Bullard Jr.,JR,DB,
Michael Dansby,SR,DB,
DJ Harvey,SR,DB,
Hunter Nowell,SO,DB,
Zavion Reese,SR,DB,
Isiah Revis,SR,DB,
Larry Turner-Gooden,JR,DB,
Caleb Womack,JR,DB,
Joseph Bey,SO,DB,
Jaylen Thomas,SO,DB,
Trent Carrizosa,JR,P,
Jalen Apalit-Williams,SR,CB,
Jalen Bainer,SR,CB,
Greco Carrillo,SO,CB,
Robert Rahimi,SR,S,
Davis Salom,SR,LS,
Justin Stearns,JR,DE,
Amir Wallace,SR,CB,
John Ward,SR,DE,
Matthew Fadelli,SR,LS,
