Player,Class,Pos,Summary
Kevin Jennings,JR,QB,"247 Cmp, 380 Att, 3245 Yds, 23 TD"
Preston Stone,SR,QB,"30 Cmp, 51 Att, 421 Yds, 5 TD"
Keldric Luster,JR,QB,"1 Cmp, 3 Att, 0 Yds, 0 TD"
William Fierro,SO,QB,
Tyler Aronson,SO,QB,
Charlie Fiser,JR,QB,
Maddox Fuller,SO,QB,
Brashard Smith,SR,RB,"235 Att, 1332 Yds, 5.7 Avg"
LJ Johnson Jr.,SR,RB,"74 Att, 303 Yds, 4.1 Avg"
Derrick McFall,SO,RB,"26 Att, 106 Yds, 4.1 Avg"
Jaylan Knighton,SR,RB,"12 Att, 43 Yds, 3.6 Avg"
Zach Hernandez,SO,RB,"5 Att, 10 Yds, 2.0 Avg"
Zane Minors,SR,RB,"2 Att, 10 Yds, 5.0 Avg"
Camar Wheaton,SR,RB,
Roderick Daniels Jr.,SR,WR,"42 Rec, 663 Yds, 15.8 Avg"
Keyshawn Smith,SR,WR,"33 Rec, 527 Yds, 16.0 Avg"
Jordan Hudson,SR,WR,"39 Rec, 422 Yds, 10.8 Avg"
Kelvontay Dixon,SR,WR,"21 Rec, 386 Yds, 18.4 Avg"
Jake Bailey,SR,WR,"19 Rec, 275 Yds, 14.5 Avg"
Romello Brinson,SR,WR,"13 Rec, 135 Yds, 10.4 Avg"
Carter Campbell,SR,WR,"2 Rec, 10 Yds, 5.0 Avg"
Ashton Cozart,SO,WR,"1 Rec, 24 Yds, 24.0 Avg"
Joey Bruszer,JR,WR,
Jamarion Carroll,JR,WR,
Case Holleron,SO,WR,
Jaxson Lavender,SO,WR,
Jake Peveto,SO,WR,
Randy Reece,SO,WR,
Henry Stickler,JR,WR,
Lance Beeghley,SO,WR,
Keaton Cheves,JR,WR,
Meyer Pereira,SO,WR,
Cooper Reed,SO,WR,
Matthew Hibner,SR,TE,"24 Rec, 368 Yds, 15.3 Avg"
RJ Maryland,SR,TE,"24 Rec, 359 Yds, 15.0 Avg"
Adam Moore,JR,TE,"2 Rec, 12 Yds, 6.0 Avg"
Stone Eby,SR,TE,"1 Rec, 6 Yds, 6.0 Avg"
Tripp Riordan,SO,TE,
Markus Schumacher,JR,TE,
Davis Hawkins,SR,TE,
Will Locke,SO,TE,
Nate Anderson,SR,OL,
Paxton Briggle,SO,OL,
Savion Byrd,SR,OL,
Andrew Chamblee,JR,OL,
Jakai Clark,SR,OL,
Caleb Johnson,SR,OL,
Jack Laphen,JR,OL,
King Large,SO,OL,
Justin Osborne,SR,OL,
Logan Parr,SR,OL,
Paris Patterson,SO,OL,
Hunter Ryan,JR,OL,
Qae'shon Sapp,JR,OL,
Keaton Schultz,SR,OL,
Ben Sparks,SR,OL,
Graham Uter,SO,OL,
PJ Williams,JR,OL,
Alex Woods,SO,OL,
Henry Douglass,SO,OL,
Reagan Gill,SO,OL,
Max Yao,SR,OL,
Gabriel Lozano,SR,K,
Collin Rogers,SR,K,
Jackson Waller,SO,K,
Sam Keltner,SO,K,
Jake Porter,SO,K,
Michael Tadros,FR,K,
Kevin Allen,SO,DL,
Anthony Booker Jr.,SR,DL,
Javier Brito,SO,DL,
Blake Burris,SR,DL,
Jared Harrison-Hunte,SR,DL,
Jahfari Harvey,SR,DL,
Jonathan Jefferson,SR,DL,
Mike Lockhart,SR,DL,
Kori Roberson,SR,DL,
Elijah Roberts,SR,DL,
Cam Robertson,SR,DL,
Billy Walton III,SO,DL,
Christian de Moor,SO,DL,
Cyrus Aboud,SO,LB,
Brandon Booker,SO,LB,
Alex Kilgore,JR,LB,
Tarian Lee Jr.,SR,LB,
Justin Medlock,SR,LB,
Brandon Miyazono,JR,LB,
Zach Smith,SO,LB,
Ahmad Walker,SR,LB,
Kobe Wilson,SR,LB,
Sean Kane,SO,LB,
IV Webb,SO,LB,
Xavier Wright,SO,LB,
Jaelyn Davis-Robinson,JR,DB,
Deuce Harmon,SR,DB,
Abdul Muhammad,SO,DB,
Cale Sanders,SR,DB,
Isaac Pearson,SR,P,
Sam Eccles,SO,P,
Patrick Hellen,SO,P,
Wade McSparron,SO,P,
David Abiara,SR,DE,
Omari Abor,JR,DE,
Matt Baer,JR,DE,
Jake Ballard,SO,S,
Will Benton,SR,LS,
Davaughn Celestine,SR,S,
Kyron Chambers,JR,CB,
Brandon Crossley,SR,CB,
AJ Davis,JR,CB,
Michael De Hoyos,JR,CB,
Alex Ditsch,SO,S,
Braeden Flowers,SO,DE,
Jonathan McGill,SR,S,
Jaden Milliner-Jones,JR,S,
Ahmaad Moses,SR,S,
Jaylen Moses,SO,S,
William Nettles,SO,CB,
Isaiah Nwokobia,SR,S,
Brock O'Quinn,SO,LS,
Alexander Rodgers,SO,CB,
Jahari Rogers,SR,CB,
Isaiah Smith,SR,DE,
Dante Wesley II,SO,CB,
Mike Yoan Sandjo-Njiki,SR,DT,
Cameron McCulloch,SO,LS,
