Player,Class,Pos,Summary
Gio Lopez,SO,QB,"206 Cmp, 312 Att, 2559 Yds, 18 TD"
Bishop Davenport,JR,QB,"48 Cmp, 79 Att, 606 Yds, 3 TD"
Jared Hollins,SO,QB,
Jacob Jones,SO,QB,
Brett Nezat,SR,QB,
Kentrel Bullock,SR,RB,"152 Att, 831 Yds, 5.5 Avg"
Fluff Bothwell,SO,RB,"111 Att, 832 Yds, 7.5 Avg"
Braylon McReynolds,JR,RB,"20 Att, 111 Yds, 5.6 Avg"
PJ Martin,SO,RB,"13 Att, 98 Yds, 7.5 Avg"
Iverson Celestine,SR,RB,"6 Att, 21 Yds, 3.5 Avg"
Jarvis Durr,SO,RB,"5 Att, 16 Yds, 3.2 Avg"
Dorian Smith,SO,RB,"1 Att, 9 Yds, 9.0 Avg"
Jonathon Carter,SR,RB,
Anthony Eager,SO,WR,"10 Rec, 133 Yds, 13.3 Avg"
Jamaal Pritchett,SR,WR,"91 Rec, 1127 Yds, 12.4 Avg"
Jeremiah Webb,SR,WR,"36 Rec, 649 Yds, 18.0 Avg"
Devin Voisin,SR,WR,"34 Rec, 407 Yds, 12.0 Avg"
Shamar Sandgren,SR,WR,"19 Rec, 208 Yds, 10.9 Avg"
Javon Ivory,SR,WR,"2 Rec, 71 Yds, 35.5 Avg"
Chris Holifield Jr.,SR,WR,
Jace Larsen,SO,WR,
Micah Woods,SR,WR,
Keyshawn Woodyard,SR,WR,
Stacey Boykins Jr.,SO,WR,
Ben Brewer,SO,WR,
Tylen Campbell,JR,WR,
Jerrian Graham,SO,WR,
Webber McClinton,SO,WR,
Jeremy Scott,SO,WR,
Noah Toster,JR,WR,
Damarcus Thomas,SR,TE,"22 Rec, 191 Yds, 8.7 Avg"
Andrew Bench,SR,TE,"1 Rec, 19 Yds, 19.0 Avg"
Rod Gibbs,JR,TE,"1 Rec, 4 Yds, 4.0 Avg"
Trent Thomas,SO,TE,"1 Rec, 5 Yds, 5.0 Avg"
Todd Justice,SR,TE,
Devin Guin,SO,TE,
Will Loerzel,SO,TE,
Hollis McDaniel,SO,TE,
Reed Buys,SR,OL,
Malachi Carney,JR,OL,
Jordan Davis,SR,OL,
Daniel Foster-Allen,SR,OL,
Reid Gavin,SR,OL,
Adrian Griffin,SO,OL,
Asher Hale,SO,OL,
Ethan Hubbard,SO,OL,
Kenton Jerido,JR,OL,
Damon Parr,JR,OL,
Malachi Preciado,JR,OL,
Sam Williams,SR,OL,
Hayden Dozier,JR,OL,
DeShaun Gonzales,SO,OL,
Logan Joellenbeck,SO,OL,
Julius Kidd,SO,OL,
Samuel Loper,SR,OL,
Lucas Taylor,FR,OL,
John Ward,FR,OL,
Hamilton DiBoyan,SO,K,
Davis Little,SO,K,
Laith Marjan,SR,K,
Lamondre Brooks,SR,DL,
Jalyn Durgan,SR,DL,
Nathan Jennings,SO,DL,
Carlos Johnson,SR,DL,
Josh Jones,SR,DL,
RJ Moss Jr.,SO,DL,
Jordan Norman,SO,DL,
Ed Smith IV,SR,DL,
Maurice Strong Jr.,SR,DL,
Tyler Thomas,SO,DL,
Wy'Kevious Thomas,SR,DL,
Eli Webb,JR,DL,
Achilles Woods,SO,DL,
Tre'Darius Brown,SO,DL,
Tyler Carter,SO,DL,
Johnathan Street,SR,DL,
Chrystyile Caldwell,JR,LB,
Julien Demby,SO,LB,
Gavin Forsha,SR,LB,
Dalton Hughes,SR,LB,
Courtney McBride,SR,LB,
Darius McKenzie,SR,LB,
Blayne Myrick,JR,LB,
Parker Shattuck,SO,LB,
Emauri Sibley,JR,LB,
Aakil Washington,SR,LB,
Donnie Arnold,SO,LB,
Bennett Blanks,SO,LB,
William Felton IV,SO,LB,
Jacob Porco,SO,LB,
Jordon Williams,SO,LB,
Jordan Scruggs,SR,DB,
Christopher Wallace Jr.,SR,DB,
Jack Martin,SR,P,
Aleksi Pulkkinen,JR,P,
Cole Blaylock,SO,S,
Dashaun Caffee,SO,S,
Damyrion Darby,SO,S,
Brian Dillard,SR,S,
Amarion Fortenberry,SO,CB,
Dallas Gamble,SR,CB,
Ty Goodwill,SO,S,
Mike Harris,SR,S,
Rickey Hyatt Jr.,SR,S,
Wesley Miller,JR,S,
Reggie Neely,SR,CB,
Trent Singleton,JR,S,
Baxter Turner,SO,LS,
Jaden Voisin,SR,S,
Lardarius Webb Jr.,SR,S,
Anthony Zaccaro,SR,LS,
Michael Archie,SR,CB,
Ricky Fletcher,SR,CB,
Cube Gurley,SO,CB,
Rod Ivy,SO,S,
Kaleb Jackson,SO,S,
Matthew Laseter,SO,S,
Camden Lawson,SO,S,
Davaris Pilcher,SR,CB,
Grant Rountree,SO,LS,
Bradley Thomas,JR,CB,
