Player,Class,Pos,Summary
LaNorris Sellers,SO,QB,"196 Cmp, 299 Att, 2534 Yds, 18 TD"
Robby Ashford,SR,QB,"23 Cmp, 32 Att, 324 Yds, 2 TD"
Davis Beville,SR,QB,"5 Cmp, 7 Att, 46 Yds, 1 TD"
Luke Doty,SR,QB,
Dante Reno,SO,QB,
Jimmy Francis,SO,QB,
Raheim Sanders,SR,RB,"183 Att, 881 Yds, 4.8 Avg"
Oscar Adaway III,SR,RB,"77 Att, 295 Yds, 3.8 Avg"
Juju McDowell,SR,RB,"22 Att, 91 Yds, 4.1 Avg"
Jawarn Howell,JR,RB,"19 Att, 123 Yds, 6.5 Avg"
Matthew Fuller,SO,RB,"8 Att, 25 Yds, 3.1 Avg"
Djay Braswell,JR,RB,
Nathan Harris-Waynick,SR,RB,
Chase McCracken,JR,RB,
Neil Savage III,SO,RB,
Larry Scott,SR,RB,
Jared Brown,SR,WR,"15 Rec, 244 Yds, 16.3 Avg"
Gage Larvadain,SR,WR,"19 Rec, 223 Yds, 11.7 Avg"
Nyck Harbor,JR,WR,"26 Rec, 376 Yds, 14.5 Avg"
Mazeo Bennett Jr.,SO,WR,"30 Rec, 337 Yds, 11.2 Avg"
Dalevon Campbell,SR,WR,"12 Rec, 312 Yds, 26.0 Avg"
Vandrevius Jacobs,SO,WR,"12 Rec, 181 Yds, 15.1 Avg"
Payton Mangrum,SR,WR,"3 Rec, 27 Yds, 9.0 Avg"
Eriq Rice,SR,WR,"3 Rec, 35 Yds, 11.7 Avg"
Emazon Littlejohn,SO,WR,
Aaron Morton,SR,WR,
CJ Adams,SO,WR,
Elijah Caldwell,SO,WR,
Debron Gatling,SO,WR,
Tyshawn Russell,JR,WR,
Maurice Brown,JR,TE,"1 Rec, 1 Yds, 1.0 Avg"
Joshua Simon,SR,TE,"40 Rec, 519 Yds, 13.0 Avg"
Michael Smith,SO,TE,"10 Rec, 106 Yds, 10.6 Avg"
Brady Hunt,SR,TE,"2 Rec, 22 Yds, 11.0 Avg"
Connor Cox,JR,TE,"1 Rec, 9 Yds, 9.0 Avg"
Nick Elksnis,SR,TE,
Lukas Vozeh,SO,TE,
Reid Mikeska,SO,TE,
Jatavius Shivers,SO,OL,
Markee Anderson,SO,OL,
Tree Babalade,JR,OL,
Trovon Baugh,JR,OL,
Kamaar Bell,SR,OL,
Ryan Brubaker,JR,OL,
Blake Franks,SO,OL,
Cason Henry,JR,OL,
Vershon Lee,SR,OL,
Ni Mansell,SR,OL,
Kam Pringle,SO,OL,
Torricelli Simpkins,SR,OL,
Chase Sweigart,JR,OL,
Josiah Thompson,SO,OL,
Mac Walters,JR,OL,
Parker Lawson,JR,OL,
Jakai Moore,SR,OL,
Aaryn Parks,SR,OL,
Jake Recker,SO,OL,
Campbell Vandiver,SO,OL,
Alex Herrera,SR,K,
Peyton Argent,SO,K,
William Joyce,SR,K,
Daniel Lester,JR,K,
Nick Barrett,SR,DL,
Gilber Edmond,SR,DL,
Jatius Geer,SR,DL,
Monkell Goodwine,SR,DL,
Tonka Hemingway,SR,DL,
Alex Huntley,SR,DL,
DeAndre Jules,SR,DL,
Kyle Kennard,SR,DL,
Rondarius Porter,JR,DL,
Colin Bryant,SR,LB,
Andrew Colasurdo,SR,LB,
Wendell Gregory,SO,LB,
"Fred ""JayR"" Johnson",SO,LB,
Mohamed Kaba,SR,LB,
Bangally Kamara,SR,LB,
Demetrius Knight II,SR,LB,
Bam Martin-Scott,SR,LB,
Ronnie Porter,SR,LB,
Jamian Risher Jr.,JR,LB,
Debo Williams,SR,LB,
Jaron Willis,JR,LB,
Jace Blackshear,JR,DB,
David Bucey,SO,DB,
Joseph Byrnes,SR,DB,
Judge Collier,JR,DB,
Nick Emmanwori,SR,DB,
Emory Floyd,JR,DB,
King-Demenian Ford,SR,DB,
O'Donnell Fortune,SR,DB,
Kelvin Hunter,SO,DB,
Gerald Kilgore,JR,DB,
Jalon Kilgore,JR,DB,
Landon Kurtz,SO,DB,
Buddy Mack III,SR,DB,
Isaiah McClary,SO,DB,
DQ Smith,SR,DB,
Jalewis Solomon,SO,DB,
David Spaulding,SR,DB,
Vicari Swain,SO,DB,
Peyton Williams,JR,DB,
Jackson Burger,SO,DB,
Zahbari Sandy,SO,DB,
Kai Kroeger,SR,P,
Mason Love,SO,P,
Bradley Dunn,SR,FB,
Elijah Davis,SR,DT,
Chase Kibble,SO,DT,
Cole Rasmussen,SR,LS,
Hunter Rogers,SR,LS,
T.J. Sanders,SR,DT,
Dylan Stewart,SO,DE,
Bryan Thomas Jr.,SR,DE,
Desmond Umeozulu,JR,DE,
Jamaal Whyce,JR,DT,
Jordan Franke,SO,LS,
Gunnar Yocum,SO,LS,
