Player,Class,Pos,Summary
Bryce Archie,SR,QB,"172 Cmp, 290 Att, 1914 Yds, 9 TD"
Byrum Brown,SR,QB,"78 Cmp, 132 Att, 836 Yds, 2 TD"
Israel Carter,JR,QB,"11 Cmp, 14 Att, 195 Yds, 4 TD"
Ryan Bolduc,SR,QB,
Luke Ruker,JR,QB,
Marcelis Tate,SO,QB,
Kelley Joiner Jr.,SR,RB,"121 Att, 799 Yds, 6.6 Avg"
Nay'quan Wright,SR,RB,"109 Att, 510 Yds, 4.7 Avg"
Taron Keith,SR,RB,"78 Att, 419 Yds, 5.4 Avg"
Yasias Young,SR,RB,"16 Att, 56 Yds, 3.5 Avg"
Alvon Isaac,SO,RB,"6 Att, 50 Yds, 8.3 Avg"
Jaylen Johnson,JR,RB,"6 Att, 33 Yds, 5.5 Avg"
Nykahi Davenport,SO,RB,
K'wan Powell,SR,RB,
Kenny Walker,JR,RB,
Sean Atkins,SR,WR,"79 Rec, 781 Yds, 9.9 Avg"
Mike Brown-Stephens,SR,WR,"29 Rec, 379 Yds, 13.1 Avg"
Joshua Porter,SO,WR,"25 Rec, 230 Yds, 9.2 Avg"
JeyQuan Smith,JR,WR,"6 Rec, 106 Yds, 17.7 Avg"
Keshaun Singleton,JR,WR,"26 Rec, 408 Yds, 15.7 Avg"
Abdur-Rahmaan Yaseen,SR,WR,"21 Rec, 254 Yds, 12.1 Avg"
Josh Cobbs,SR,WR,"9 Rec, 140 Yds, 15.6 Avg"
Brandon Winton,SO,WR,"3 Rec, 14 Yds, 4.7 Avg"
Cameron Cobb,SR,WR,
Jayden Davis,JR,WR,
Christian Helms,SR,WR,
AJ Howard,SO,WR,
Tyree Kelly,JR,WR,
Cade Roberts,SR,WR,
Ranod Smith,JR,WR,
Jaden Alexis,SR,WR,
Griffin Gisotti,SO,WR,
Arkese Parks,SO,WR,
Naiem Simmons,SR,WR,
Payten Singletary,SR,TE,"18 Rec, 215 Yds, 11.9 Avg"
Jonathan Echols,SO,TE,"1 Rec, 59 Yds, 59.0 Avg"
Gunnar Greenwald,SR,TE,"1 Rec, 2 Yds, 2.0 Avg"
Collin Affleck,SR,TE,
Evan Dangler,SR,TE,
Wyatt Stiehl,SR,TE,
Weston Wolff,SR,TE,
Fin Jones,JR,TE,
Cole Skinner,JR,OL,
Cole Best,SR,OL,
Deonte Bowie,SR,OL,
Derek Bowman,SR,OL,
Zane Herring,SR,OL,
Andrew Kilfoyl,SR,OL,
Gannon Lanning,SR,OL,
TJ Lawrence,SO,OL,
Mike Lofton,SR,OL,
Tyreek Major,SO,OL,
Nikola Milovac,JR,OL,
Teriyan Morman,SO,OL,
RJ Perry,SR,OL,
Jack Wilty,SR,OL,
D'Wayne Bain,SO,OL,
Kody Black,JR,OL,
Braden Carter,SO,OL,
James Jenkins,JR,OL,
Hayden Zepp,JR,OL,
John Cannon,SR,K,
Nico Gramatica,SO,K,
Ty Ippolito,JR,K,
Doug Blue-Eli,SR,DL,
Rashad Cheney Jr.,SR,DL,
Braden Chisholm,SO,DL,
Chenellson Exume,SO,DL,
Bernard Gooden,SR,DL,
Ryan Jenkins,SO,DL,
Matthew Myles,SR,DL,
Jason Vaughn,SR,DL,
Rico Watson III,SR,DL,
Amer Amer,SR,LB,
DJ Gordon IV,SR,LB,
Zavier Hamilton,SO,LB,
Mac Harris,SR,LB,
Rodney Hill,SO,LB,
Reggie Johnson II,SR,LB,
Ashton Mosley,SO,LB,
Greg Otten,JR,LB,
Jamie Pettway,SR,LB,
Jhalyn Shuler,SR,LB,
Devon Byrd,SO,LB,
Samuel Clerjuste,SO,LB,
Bowen Drewes,SO,LB,
Eli Hiscock,SO,LB,
Ryan Johnson,SO,LB,
Kajuan Banks,SR,DB,
Aamaris Brown,SR,DB,
James Chenault,SO,DB,
Jermaine Dalias,SO,DB,
Fred Gaskins,SO,DB,
Langston Long,SR,DB,
Jair Murphy,JR,DB,
Deylen Platt,SO,DB,
De'Shawn Rucker,SR,DB,
Jaelen Stokes,SR,DB,
George Brown IV,SO,DB,
Camren Campbell,SO,DB,
Daron Jean,SO,DB,
Pierse Stainton,SR,P,
Andrew Stokes,SR,P,
Cooper Evans,SO,P,
D'Marco Augustin,SR,S,
Brent Austin,SR,CB,
Logan Berryhill,SR,S,
Tawfiq Byard,JR,S,
Garrett Cates,SR,LS,
Trey Dubuc,JR,LS,
Chad Elder,SR,DE,
Dinellson Exume,SO,DE,
Jahari Grant,SO,DT,
D.J. Harris,SR,DE,
Decarius Hawthorne,SR,DT,
Immanuel Hickman,SR,DE,
Ben Knox,SR,CB,
Jarvis Lee,JR,CB,
Lewai Mitchell,SR,S,
Ira Singleton,SO,DE,
Levi Smiley,SO,DE,
Marseille Taylor,SR,S,
Tavin Ward,JR,CB,
Michael Williams II,SR,DE,
Jacquez Williams,JR,DT,
Easton Bonnett,SO,LS,
Danny Gonzalez,SR,DT,
EJ Jerger,SO,DE,
William Mackinnin,SO,LS,
