Player,Class,Pos,Summary
Tate Rodemaker,SR,QB,"98 Cmp, 164 Att, 985 Yds, 7 TD"
Ethan Crawford,JR,QB,"50 Cmp, 120 Att, 849 Yds, 0 TD"
John White,SO,QB,"17 Cmp, 31 Att, 240 Yds, 0 TD"
Kyle McCormick,JR,QB,
Shade Foster,SR,QB,
Kenyon Clay,JR,RB,"84 Att, 387 Yds, 4.6 Avg"
Rodrigues Clark,SR,RB,"124 Att, 604 Yds, 4.9 Avg"
JQ Gray,SO,RB,"32 Att, 106 Yds, 3.3 Avg"
Jalen Washington,SO,RB,"25 Att, 115 Yds, 4.6 Avg"
Chance Jenkins,SO,RB,
Chandler Pittman,SR,WR,"8 Rec, 51 Yds, 6.4 Avg"
Tiaquelin Mims,SR,WR,"33 Rec, 383 Yds, 11.6 Avg"
Larry Simmons,JR,WR,"27 Rec, 421 Yds, 15.6 Avg"
Dannis Jackson,SR,WR,"11 Rec, 210 Yds, 19.1 Avg"
Davis Dalton,JR,WR,"15 Rec, 172 Yds, 11.5 Avg"
J.J. Butler,JR,WR,"2 Rec, 22 Yds, 11.0 Avg"
Ray Daly,SO,WR,"1 Rec, 25 Yds, 25.0 Avg"
Keyshawn Buckley,SR,WR,
Zavian Hales,SR,WR,
Jack Jackson,JR,WR,
TK Keyes,SO,WR,
Chandler Merrill,SR,WR,
Ethan Dailey,JR,WR,
Paul James,SR,WR,
Jack Schwing,SO,WR,
Dakota Thomas,SR,WR,
Kyirin Heath,SR,TE,"15 Rec, 220 Yds, 14.7 Avg"
Reed Jesiolowski,SO,TE,"8 Rec, 98 Yds, 12.3 Avg"
Justyn Reid,JR,TE,"7 Rec, 145 Yds, 20.7 Avg"
Pax Hughes,SO,TE,
Terron Bedford,SR,TE,
Caston Brown,SO,TE,
Michael Jefcoat,SR,TE,
Kyron Barnes,SR,OL,
Ethan Bumgarner,SR,OL,
Gabe Cavazos Jr.,SR,OL,
Zack Conti,SR,OL,
Jo Cryer,SO,OL,
Chris Hayes,SO,OL,
Drew Lawson,SR,OL,
Dontae Lucas,SR,OL,
Greg Nunnery,SR,OL,
Klabron Pollard,JR,OL,
Luke Rogers,SO,OL,
Wil Saxton,JR,OL,
Tanner Welch,SO,OL,
Kamron Barnes,JR,OL,
Hayden Breal,SO,OL,
Hastings Carruth,JR,OL,
Larry Edwards,SO,OL,
Connor Gibbs,JR,K,
Andrew Stein,SR,K,
Luke Stewart,SO,K,
Jack Tannehill,SR,K,
Kristin Booth,SR,DL,
Caleb Bryant,SO,DL,
Armondous Cooley,SR,DL,
Iliyas Fuavai,JR,DL,
Jordan Johnson,SO,DL,
Ryan Johnson,SR,DL,
Brodarius Lewis,SR,DL,
Zay Lowery,SO,DL,
Caleb Moore,SO,DL,
Khalid Moore,JR,DL,
Jalen Owens,SO,DL,
Jeramie Posey,SO,DL,
Demeco Roland,SR,DL,
Eric Thomas Jr.,SR,DL,
Miles Adams,SO,DL,
Elijah Douglas,SO,DL,
David Griffin,SO,DL,
Cameron Mackey,SO,DL,
Desmyn Baker,SR,LB,
Kolbe Cage,SR,LB,
Jalil Clemons,SR,LB,
Zion Edwards,SR,LB,
Joseph Harper,SR,LB,
Tre'Mon Henry,SO,LB,
Jacob Johnson,SO,LB,
Chris Jones,FR,LB,
Dante Kelly,SO,LB,
Jameer Lewis,SR,LB,
Tre Pinkney,SR,LB,
Ja'Len Sims,SR,LB,
Avery Sledge,JR,LB,
Josh Bledsoe,SO,DB,
Micheal Caraway Jr.,SR,DB,
Vernorrius Chaney,SR,DB,
Wildrekus Johnson,SO,DB,
Jay Jones,SR,DB,
Cameron Knox,JR,DB,
Braxton Myers,SO,DB,
Hayes Puckett,SR,DB,
Brendon Toles,SR,DB,
Ethan Willams,SR,DB,
Sentario Willis,SO,DB,
Jarius Anders,SR,DB,
Jevan McDonald,JR,DB,
Damion Miller,SO,DB,
Bryce Lofton,SR,P,
"Bart Edmiston, Jr.",JR,P,
Ryder Burns,JR,LS,
Zay Franks,SR,CB,
Will James,SO,S,
Miles Jones,SO,S,
Dylan Lawrence,SR,S,
Ques McNeal,SR,CB,
Brennen Milliron,SR,LS,
Elijah Sabbatini,JR,S,
Jalen Williams,SR,DT,
Ja'Kobe Cameron,SO,S,
Londen Taylor,SO,LS,
