Player,Class,Pos,Summary
Ashton Daniels,SR,QB,"170 Cmp, 271 Att, 1700 Yds, 10 TD"
Elijah Brown,SO,QB,"28 Cmp, 48 Att, 274 Yds, 2 TD"
Justin Lamson,SR,QB,"24 Cmp, 47 Att, 300 Yds, 4 TD"
Myles Jackson,JR,QB,
Charlie Mirer,SR,QB,
Micah Ford,SO,RB,"76 Att, 309 Yds, 4.1 Avg"
Chris Davis Jr.,SO,RB,"54 Att, 288 Yds, 5.3 Avg"
Cole Tabb,SO,RB,"27 Att, 130 Yds, 4.8 Avg"
Sedrick Irvin,JR,RB,"18 Att, 69 Yds, 3.8 Avg"
Ryan Butler,SR,RB,"7 Att, 44 Yds, 6.3 Avg"
Caleb Hampton,JR,RB,"2 Att, 9 Yds, 4.5 Avg"
Kenaj Washington,SR,RB,
Emmett Mosley V,SO,WR,"48 Rec, 525 Yds, 10.9 Avg"
Ismael Cisse,SO,WR,"26 Rec, 241 Yds, 9.3 Avg"
Bryce Farrell,SR,WR,
Tiger Bachmeier,JR,WR,"10 Rec, 67 Yds, 6.7 Avg"
Elic Ayomanor,JR,WR,"63 Rec, 831 Yds, 13.2 Avg"
Mudia Reuben,SR,WR,"4 Rec, 31 Yds, 7.8 Avg"
Jackson Harris,SO,WR,"3 Rec, 19 Yds, 6.3 Avg"
Marcus Brown,SO,WR,"1 Rec, 7 Yds, 7.0 Avg"
Evan Jackson,SR,WR,
David Kasemervisz,SR,WR,
Myles Libman,JR,WR,
Jayson Raines,SR,WR,
Ahmari Borden,SO,WR,
Chase Farrell,SO,WR,
Tyler Kuo,JR,WR,
Jason Thompson,SR,WR,
Owen van Loben Sels,SO,WR,
Sam Roush,SR,TE,"40 Rec, 334 Yds, 8.4 Avg"
Benji Blackburn,SO,TE,"2 Rec, 18 Yds, 9.0 Avg"
Aiden Blackburn,SO,TE,
Shield Taylor,SR,TE,
Chico Holt,JR,TE,
Lukas Ungar,SR,TE,
Griffin Waiss,SR,TE,
Fisher Anderson,SR,OL,
Luke Baklenko,JR,OL,
Ziron Brown,SO,OL,
Kahlil House,SO,OL,
Jack Leyrer,SR,OL,
Jake Maikkula,SR,OL,
Simione Pale,JR,OL,
Levi Rogers,SR,OL,
Charlie Symonds,JR,OL,
Allen Thomason,JR,OL,
Austin Uke,SR,OL,
Carson Caplan,SO,OL,
Hayden Gunter,SO,OL,
Charlie Hoitink,SO,OL,
Emmet Kenney,SR,K,
AJ Seidler,SO,K,
Joe Asiain,SO,DL,
Zach Buckey,SR,DL,
Anthony Franklin,SR,DL,
Braden Marceau-Olayinka,JR,DL,
Jacobi Murray,SO,DL,
Clay Patterson,SR,DL,
Tobin Phillips,SR,DL,
Zach Rowell,SR,DL,
Aristotle Taylor,SR,DL,
Connor Bachhuber,SO,DL,
Brendan Delaney,SO,DL,
R.J. Gaskins,JR,DL,
Trevor Mayberry,SR,DL,
Benedict Umeh,SO,DL,
Tristan Sinclair,SR,LB,
Wilfredo Aybar,SR,LB,
David Bailey,SR,LB,
Gaethan Bernadel,SR,LB,
Ernest Cooper,SR,LB,
Ese Dubre,SR,LB,
Jahsiah Galvan,JR,LB,
Sam Mattingly,SO,LB,
Anson Pulsipher,SR,LB,
Matt Rose,SR,LB,
Omar Staples,JR,LB,
Dylan Stephenson,SO,LB,
Tevarua Tafiti,SR,LB,
Drew Cunningham,SO,LB,
Gavin Geweniger,JR,LB,
Preston Jernegan,SO,LB,
Miles McGee,JR,LB,
Maxwell Richardson,SO,LB,
Bo Tate,SO,LB,
Tre Williams,JR,LB,
Adam Rourke,JR,DB,
Connor Weselman,SR,P,
Aidan Flintoft,JR,P,
Alejandro Chavez,SR,LS,
Darrius Davis,SO,S,
Charlie Eckhardt,SO,S,
Scotty Edwards,SR,S,
Jshawn Frausto-Ramos,JR,CB,
Jayvion Green,SR,CB,
Mitch Leigber,SR,S,
Kale Lucas,SR,S,
Zahran Manley,SR,CB,
Connor McLaughlin,SR,OT,
Aaron Morris,JR,CB,
Brandon Nicholson,SO,CB,
Omari Porter,SR,S,
Javion Randall,SO,CB,
Cam Richardson,SO,CB,
Jaylen'Dai Sumlin,SO,S,
Peyton Warford,SR,LS,
Collin Wright,SR,CB,
Che Ojarikre,JR,S,
