Player,Class,Pos,Summary
Kyle McCord,SR,QB,"391 Cmp, 592 Att, 4779 Yds, 34 TD"
Michael Johnson Jr.,SR,QB,"2 Cmp, 3 Att, 31 Yds, 0 TD"
Patrick Grusser,SO,QB,
Carlos Del Rio-Wilson,SR,QB,
A.J. Miller,SO,QB,
Jakahri Williams,SO,QB,
LeQuint Allen,SR,RB,"228 Att, 1021 Yds, 4.5 Avg"
Yasin Willis,SO,RB,"36 Att, 130 Yds, 3.6 Avg"
Will Nixon,SR,RB,"19 Att, 76 Yds, 4.0 Avg"
Jaden Hart,SO,RB,"3 Att, 18 Yds, 6.0 Avg"
Tyler Chandler,SO,RB,"1 Att, 1 Yds, 1.0 Avg"
Malachi James,SO,RB,
Jordan Montanez,SO,RB,
Trebor Pena,SR,WR,"84 Rec, 941 Yds, 11.2 Avg"
Darrell Gill Jr.,JR,WR,"31 Rec, 570 Yds, 18.4 Avg"
Jameer Thomas,SO,WR,
Zeed Haynes,SO,WR,"8 Rec, 97 Yds, 12.1 Avg"
Jackson Meeks,SR,WR,"78 Rec, 1021 Yds, 13.1 Avg"
Umari Hatcher,SR,WR,"17 Rec, 273 Yds, 16.1 Avg"
Justus Ross-Simmons,SR,WR,"9 Rec, 202 Yds, 22.4 Avg"
Emanuel Ross,SO,WR,"5 Rec, 78 Yds, 15.6 Avg"
Jaylan Hornsby,SO,WR,"2 Rec, 21 Yds, 10.5 Avg"
Kyle Acker,JR,WR,
Nick Armentano,SO,WR,
Ta'Ron Haile,SO,WR,
Braden Davis,JR,WR,
Dan Villari,SR,TE,"6 Rec, 57 Yds, 9.5 Avg"
Oronde Gadsden II,SR,TE,"73 Rec, 934 Yds, 12.8 Avg"
Maximilian Mang,SR,TE,"1 Rec, 5 Yds, 5.0 Avg"
Jamie Tremble,SO,TE,"1 Rec, 19 Yds, 19.0 Avg"
David Clement,JR,TE,
Josh Kubala,JR,TE,
Max Runyon,SR,TE,
Elijah Washington-Baker,SO,TE,
Carter Clark,JR,TE,
Jakob Bradford,SR,OL,
Enrique Cruz Jr.,SR,OL,
Joe Cruz,JR,OL,
Josh Ilaoa,SR,OL,
Trevion Mack,SO,OL,
Joshua Miller,SO,OL,
Lysander Moeolo,SR,OL,
Mark Petry,SR,OL,
J'Onre Reed,SR,OL,
Savion Washington,SR,OL,
Da'Metrius Weatherspoon,SR,OL,
David Wohlabaugh Jr.,SR,OL,
Adam Boeheim,SO,OL,
Travis Brown-Miller,SO,OL,
Willie Goodacre,SO,OL,
Codie Hornsby,SR,OL,
Ted Olsen,SO,OL,
Noah Rosahac,SO,OL,
Vito Shevchenko,SO,OL,
Brady Denaburg,SR,K,
Jackson Kennedy,SR,K,
Jayden Oh,SO,K,
Tom Callahan,SR,DL,
Clark Calloway,SO,DL,
Fadil Diggs,SR,DL,
KingJoseph Edwards,SO,DL,
Elijah Fuentes-Cundiff,SR,DL,
Isaiah Hastings,JR,DL,
Denis Jaquez Jr.,SR,DL,
Kevin Jobity Jr.,SR,DL,
Xavier Miles,SO,DL,
Stan Modo,SO,DL,
Michael Nwokocha,SR,DL,
Rashard Perry,JR,DL,
Chase Simmons,SR,DL,
Maraad Watson,SO,DL,
Dion Wilson Jr.,SR,DL,
Patrick Alberga,SR,DL,
Braylen Ingraham,SR,DL,
Grant Winter,SO,DL,
Caden Brown,SO,LB,
Jayden Brown,SO,LB,
Fatim Diggs,SO,LB,
James Heard Jr.,SO,LB,
Jahide Lesaine Jr.,SO,LB,
Derek McDonald,SR,LB,
Zyian Moultrie-Goddard,SO,LB,
David Omopariola,SO,LB,
Anwar Sparrow,SR,LB,
Marlowe Wax,SR,LB,
Tim Johnson,SO,LB,
Mark Short,SO,LB,
Garvin St. John,SO,LB,
Marcellus Barnes Jr.,SO,DB,
Justin Barron,SR,DB,
Berry Buxton III,SR,DB,
Alijah Clark,SR,DB,
Greg Delaine,JR,DB,
Jaeden Gould,JR,DB,
Nakei Johnson,SO,DB,
Davien Kerr,SO,DB,
Braheem Long Jr.,SO,DB,
Jalil Martin,JR,DB,
Clay Masters,SR,DB,
Ibn McDaniels,SO,DB,
Cornell Perry,JR,DB,
Tommy Porter,SR,DB,
Nate Prater,SR,DB,
Calvin Fowler,JR,DB,
Cam Reirden,SR,DB,
Marcus Washington Jr.,JR,DB,
Jack Stonehouse,SR,P,
Jayden Bellamy,JR,CB,
Darian Chestnut,SR,CB,
Devin Grant,SR,S,
Clarence Lewis,SR,CB,
Ethan Stangle,JR,LS,
Jacob Zuhr,SR,LS,
