Player,Class,Pos,Summary
Evan Simon,SR,QB,"181 Cmp, 308 Att, 2032 Yds, 15 TD"
Forrest Brock,SR,QB,"60 Cmp, 102 Att, 541 Yds, 1 TD"
Tyler Douglas,SO,QB,
Chris Dietrich,SO,QB,
Patrick Keller,SO,QB,
Antwaine Littleton,SR,RB,"93 Att, 305 Yds, 3.3 Avg"
Terrez Worthy,SR,RB,"79 Att, 425 Yds, 5.4 Avg"
Joquez Smith,JR,RB,"36 Att, 132 Yds, 3.7 Avg"
Eric Wilson Jr.,SR,RB,"16 Att, 59 Yds, 3.7 Avg"
Tyrei Washington,SR,RB,"3 Att, 2 Yds, 0.7 Avg"
Darius Morant,SO,RB,
Kajiya Hollawayne,SR,WR,"9 Rec, 120 Yds, 13.3 Avg"
Ashton Allen,SR,WR,"24 Rec, 324 Yds, 13.5 Avg"
Dante Wright,SR,WR,"61 Rec, 792 Yds, 13.0 Avg"
Antonio Jones,SR,WR,"23 Rec, 170 Yds, 7.4 Avg"
John Adams,SR,WR,"16 Rec, 194 Yds, 12.1 Avg"
Tyler Stewart,SO,WR,"5 Rec, 60 Yds, 12.0 Avg"
Jamar Taylor,SO,WR,"11 Rec, 80 Yds, 7.3 Avg"
Xavier Irvin,JR,WR,"3 Rec, 38 Yds, 12.7 Avg"
Cole Sprague,JR,WR,"1 Rec, 4 Yds, 4.0 Avg"
Zae Baines,SR,WR,
Bryson Goodwin,SO,WR,
Kian Johnson,SO,WR,
Xavier Bryan-Boothe,SO,WR,
Elias Collins,JR,WR,
Preston Everhart,SO,WR,
JoJo Huntley,SO,WR,
Shekuna Kamara,SR,WR,
Kyle Madden,SR,WR,
Ian Stewart,SR,WR,
Daniel Evert,SO,TE,"8 Rec, 143 Yds, 17.9 Avg"
Landon Morris,SR,TE,"16 Rec, 251 Yds, 15.7 Avg"
James Della Pesca,SR,TE,"14 Rec, 131 Yds, 9.4 Avg"
Peter Clarke,JR,TE,"3 Rec, 16 Yds, 5.3 Avg"
Reese Clark,JR,TE,"1 Rec, 4 Yds, 4.0 Avg"
Kendell Gordon,SO,TE,
David Wise,SO,TE,
Diego Barajas,SR,OL,
James Faminu,SR,OL,
Eric King,SO,OL,
Grayson Mains,JR,OL,
Mausa Palu,SR,OL,
Jackson Pruitt,JR,OL,
Wisdom Quarshie,SR,OL,
Melvin Siani,SO,OL,
Chris Smith,SR,OL,
Kevin Smithwick,JR,OL,
Kevin Terry,SO,OL,
Evan Dailey,SO,OL,
Giakoby Hills,SO,OL,
Linus Lindberg,SR,OL,
Lucas Possenti,SO,OL,
Carter Sheehan,SO,OL,
Shane Toolan,SO,OL,
Davray Venu,SO,OL,
Luke Watson,JR,OL,
Maddux Trujillo,SR,K,
Lucas Glassburn,SO,K,
Carl Hardin,SO,K,
Tyree Alualu,SO,LB,
Wesley Brown,SO,LB,
Tyquan King,SR,LB,
David Kpeglo,SO,LB,
Tyler Lepolo,SR,LB,
Antwone Santiago,JR,LB,
Eric Stuart,JR,LB,
Katin Surprenant,SR,LB,
D.J. Woodbury,SR,LB,
Torren Wright,JR,LB,
Aidan Britton,SO,LB,
London Hall,JR,LB,
Reggie Jones,SO,LB,
Solomon Tripline,SO,LB,
Tyrell Jones,SO,DB,
Dante Atton,JR,P,
Aaron Anderson,SR,CB,
Joseph Auzenne,JR,DT,
Sultan Badmus,SO,DE,
Diwun Black,SR,DE,
Denzel Chavis,SO,CB,
Elijah Deravil,SR,S,
Brandon Enarusai,SO,DE,
Louis Frye,SR,S,
Conlan Greene,JR,DT,
Allan Haye Jr.,SR,DT,
Latrell Jean,SR,DT,
Jamel Johnson,SR,CB,
Andreas Keaton,SR,S,
Sekou Kromah,SR,DT,
Adrian Laing,SO,CB,
Jaylen Lewis,JR,CB,
Andrew McIlquham,SR,LS,
K.J. Miles,JR,DT,
Jordan Montgomery,SO,DE,
Demerick Morris,SR,DT,
Javier Morton,SR,S,
Ben Osueke,SR,CB,
DeVonta Owens,JR,CB,
Khalil Poteat,SR,DE,
Zyil Powell,SO,S,
Torrey Richardson,SR,CB,
Ihsim Smith-Marsette,SO,S,
Cam'Ron Stewart,SR,DE,
Darrell Sweeting,SO,CB,
Russell Sykes,SO,DE,
Tra Thomas,SR,DE,
Tyrese Whitaker,SO,DE,
Hugo Gil,SO,DT,
Cameron Jones,SO,DE,
Kabba Kamara,SR,DE,
Quaire Locks,SO,CB,
Brylan Noonan,SR,LS,
Jack Paessler,SO,S,
James Paessler,JR,S,
Brandon Taylor,SO,S,
