Player,Class,Pos,Summary
Nico Iamaleava,SO,QB,"213 Cmp, 334 Att, 2616 Yds, 19 TD"
Gaston Moore,SR,QB,"16 Cmp, 27 Att, 201 Yds, 2 TD"
Jake Merklinger,SO,QB,"6 Cmp, 9 Att, 48 Yds, 0 TD"
Navy Shuler,SR,QB,"1 Cmp, 3 Att, 10 Yds, 0 TD"
Ryan Damron,SO,QB,
Dylan Sampson,SR,RB,"258 Att, 1491 Yds, 5.8 Avg"
DeSean Bishop,SO,RB,"74 Att, 455 Yds, 6.1 Avg"
Peyton Lewis,SO,RB,"64 Att, 339 Yds, 5.3 Avg"
Cameron Seldon,JR,RB,"23 Att, 118 Yds, 5.1 Avg"
Khalifa Keith,JR,RB,"21 Att, 100 Yds, 4.8 Avg"
Hunter Barnes,JR,RB,"7 Att, 38 Yds, 5.4 Avg"
Patrick Wilk,SR,RB,"3 Att, 12 Yds, 4.0 Avg"
Bru McCoy,SR,WR,"39 Rec, 472 Yds, 12.1 Avg"
Squirrel White,SR,WR,"34 Rec, 381 Yds, 11.2 Avg"
Chris Brazzell II,JR,WR,"29 Rec, 333 Yds, 11.5 Avg"
Dont'e Thornton,SR,WR,"26 Rec, 661 Yds, 25.4 Avg"
Chas Nimrod,JR,WR,"10 Rec, 121 Yds, 12.1 Avg"
Mike Matthews,SO,WR,"7 Rec, 90 Yds, 12.9 Avg"
Kaleb Webb,JR,WR,"6 Rec, 48 Yds, 8.0 Avg"
Braylon Staley,SO,WR,"3 Rec, 21 Yds, 7.0 Avg"
Trey Weary,JR,WR,"3 Rec, 18 Yds, 6.0 Avg"
Nathan Leacock,SO,WR,"1 Rec, 13 Yds, 13.0 Avg"
Dayton Sneed,SO,WR,"1 Rec, 12 Yds, 12.0 Avg"
Braylon Harmon,SO,WR,
Jack-Henry Jakobik,SO,WR,
Malcolm Kinzer,SO,WR,
Jackson Locke,SR,WR,
Nathan Roberts,SO,WR,
Nate Spillman,SO,WR,
Tommy Winton III,JR,WR,
Carson Whitehead,JR,WR,
Miles Kitselman,SR,TE,"22 Rec, 301 Yds, 13.7 Avg"
Holden Staes,SR,TE,"15 Rec, 131 Yds, 8.7 Avg"
Ethan Davis,SO,TE,"13 Rec, 100 Yds, 7.7 Avg"
Charlie Browder,SR,TE,
Cole Harrison,SO,TE,
Titus Rohrer,JR,TE,
Luke Shouse,SR,TE,
Max Anderson,SO,OL,
Ayden Bussell,SO,OL,
John Campbell Jr.,SR,OL,
Dayne Davis,SR,OL,
Trevor Duncan,SO,OL,
Gage Ginther,SO,OL,
Brian Grant,JR,OL,
Jeremias Heard,SO,OL,
Lance Heard,JR,OL,
Larry Johnson III,JR,OL,
Andrej Karic,SR,OL,
Jackson Lampley,SR,OL,
Vysen Lang,SO,OL,
Cooper Mays,SR,OL,
Jesse Perry,SO,OL,
William Satterwhite,SO,OL,
Javontez Spraggins,SR,OL,
Shamurad Umarov,SO,OL,
Bennett Warren,SO,OL,
Gus Hill,JR,OL,
Masai Reddick,JR,OL,
JT Carver,SR,K,
Max Gilbert,SO,K,
Tim Amet,SR,DL,
Dominic Bailey,SR,DL,
Mike Bethea II,SR,DL,
Bryson Eason,SR,DL,
Carson Gentle,SO,DL,
Joshua Helsdon,JR,DL,
Caleb Herring,JR,DL,
Daevin Hobbs,JR,DL,
Isaiah Ingle,SO,DL,
Jayson Jenkins,JR,DL,
Joshua Josephs,SR,DL,
Kellen Lindstrom,SO,DL,
Jaxson Moi,SR,DL,
Omarr Norman-Lott,SR,DL,
James Pearce Jr.,SR,DL,
Nathan Robinson,SO,DL,
Jordan Ross,SO,DL,
Elijah Simmons,SR,DL,
Omari Thomas,SR,DL,
Jamal Wallace,SR,DL,
Tyree Weathersby,SO,DL,
Tyre West,SR,DL,
Herb Gray,SO,DL,
Emmanuel Okoye,SO,DL,
Ben Bolton,JR,LB,
Jordan Burns,SO,LB,
Arion Carter,JR,LB,
Kalib Perry,SR,LB,
Keenan Pili,SR,LB,
Eli Purcell,SR,LB,
Ryan Scott,SO,LB,
Grier Short,SO,LB,
Jalen Smith,SO,LB,
Edwin Spillman,SO,LB,
Jeremiah Telander,JR,LB,
Cody Duncan,SR,LB,
Montrell Bandy,SR,DB,
Kaleb Beasley,SO,DB,
Colin Brazzell,SO,DB,
Will Brooks,SR,DB,
Boo Carter,SO,DB,
Christian Charles,SR,DB,
Edrees Farooq,SO,DB,
Rickey Gibson III,JR,DB,
Marcus Goree Jr.,SO,DB,
Christian Harrison,JR,DB,
Jackson Mathews,SO,DB,
Jordan Matthews,SO,DB,
Jermod McCoy,JR,DB,
Jalen McMurray,SR,DB,
John Slaughter,JR,DB,
Jakobe Thomas,SR,DB,
Andre Turrentine,SR,DB,
William Wright,SR,DB,
Steele Katina,SO,DB,
Andre Stewart,JR,DB,
Jourdan Thomas,SR,DB,
Jackson Ross,JR,P,
Josh Turbyville,JR,P,
Bennett Brady,JR,LS,
Matthew Salansky,SR,LS,
Marshall Box,SO,LS,
