Player,Class,Pos,Summary
Quinn Ewers,SR,QB,"293 Cmp, 445 Att, 3472 Yds, 31 TD"
Arch Manning,SO,QB,"61 Cmp, 90 Att, 939 Yds, 9 TD"
Trey Owens,SO,QB,"2 Cmp, 4 Att, 19 Yds, 0 TD"
Cole Lourd,SR,QB,
Joe Tatum,SR,QB,
Tre Wisner,JR,RB,"226 Att, 1064 Yds, 4.7 Avg"
Jaydon Blue,SR,RB,"134 Att, 730 Yds, 5.4 Avg"
Jerrick Gibson,SO,RB,"78 Att, 377 Yds, 4.8 Avg"
Colin Page,SR,RB,"18 Att, 99 Yds, 5.5 Avg"
Velton Gardner,SR,RB,"8 Att, 26 Yds, 3.3 Avg"
Reid Watkins,SO,RB,"4 Att, 15 Yds, 3.8 Avg"
CJ Baxter,JR,RB,
Christian Clark,SO,RB,
Nik Sanders,SO,RB,
Matthew Golden,SR,WR,"58 Rec, 987 Yds, 17.0 Avg"
Ryan Niblett,SO,WR,"3 Rec, 24 Yds, 8.0 Avg"
Ryan Wingo,SO,WR,"29 Rec, 472 Yds, 16.3 Avg"
Isaiah Bond,SR,WR,"34 Rec, 540 Yds, 15.9 Avg"
Silas Bolden,SR,WR,"23 Rec, 267 Yds, 11.6 Avg"
DeAndre Moore Jr.,JR,WR,"39 Rec, 456 Yds, 11.7 Avg"
Johntay Cook II,JR,WR,"8 Rec, 137 Yds, 17.1 Avg"
Rett Andersen,JR,WR,
Aaron Butler,SO,WR,
Parker Livingstone,SO,WR,
Hamilton McMartin,SR,WR,
Quinn Merritt,SR,WR,
Thatcher Milton,SR,WR,
Remy Patson,SR,WR,
Reece Beauchamp,SR,WR,
Ty Boatright,JR,WR,
Bryce Chambers,JR,WR,
Freddie Dubose,SO,WR,
Hudson Powell,SO,WR,
Gunnar Helm,SR,TE,"60 Rec, 786 Yds, 13.1 Avg"
Juan Davis,SR,TE,"9 Rec, 54 Yds, 6.0 Avg"
Amari Niblack,SR,TE,"5 Rec, 33 Yds, 6.6 Avg"
Spencer Shannon,SO,TE,
Jordan Washington,SO,TE,
Ridge Barker,SO,TE,
Will Randle,SO,TE,
Malik Agbo,JR,OL,
Brandon Baker,SO,OL,
Kelvin Banks Jr.,SR,OL,
DJ Campbell,SR,OL,
Jaydon Chatman,SO,OL,
Andre Cojoe,SO,OL,
Hayden Conner,SR,OL,
Trevor Goosby,SO,OL,
Cole Hutson,SR,OL,
Jake Majors,SR,OL,
Connor Robertson,JR,OL,
Neto Umeozulu,JR,OL,
Cameron Williams,SR,OL,
Daniel Cruz,SO,OL,
Nate Kibble,SO,OL,
Brooks Kieschnick Jr.,JR,OL,
Patrick McBroom,SR,OL,
Max Merril,SR,OL,
Connor Stroh,SO,OL,
Robert Sweeney,JR,OL,
Bert Auburn,SR,K,
Will Stone,SR,K,
Charles Feris,SR,K,
Tausili Akana,SO,DL,
Dorian Black,SR,DL,
Jaray Bledsoe,JR,DL,
Vernon Broughton,SR,DL,
Aaron Bryant,JR,DL,
Ethan Burke,SR,DL,
Alfred Collins,SR,DL,
Justice Finkley,SR,DL,
Alex January,SO,DL,
Jermayne Lole,SR,DL,
Sydir Mitchell,SO,DL,
Trey Moore,SR,DL,
Bill Norton,SR,DL,
Tiaoalii Savea,SR,DL,
Colin Simmons,SO,DL,
Barryn Sorrell,SR,DL,
Zina Umeozulu,SO,DL,
Colton Vasek,SO,DL,
Melvin Hills III,SO,DL,
David Gbenda,SR,LB,
Derion Gullette,SO,LB,
Anthony Hill Jr.,JR,LB,
Marshall Landwehr,SR,LB,
Liona Lefau,JR,LB,
Brady Sarkisian,JR,LB,
Ty'Anthony Smith,SO,LB,
Michael Flanagan,SR,LB,
Jahdae Barron,SR,DB,
Kobe Black,SO,DB,
Morice Blackwell Jr.,SR,DB,
Jay'Vion Cole,SR,DB,
Xavier Filsaime,SO,DB,
Graham Gillespie,SR,DB,
Jaylon Guilbeau,SR,DB,
Gavin Holmes,SR,DB,
Jordan Johnson-Rubell,SO,DB,
Wardell Mack,SO,DB,
Carson Marshall,SR,DB,
Jelani McDonald,JR,DB,
Malik Muhammad,JR,DB,
Andrew Mukuba,SR,DB,
Warren Roberson,SO,DB,
Michael Taaffe,SR,DB,
Derek Williams Jr.,JR,DB,
McCoy Bruce,SO,DB,
Jackson Duffey,SO,DB,
Eric Garza,SO,DB,
Ziky Umeozulu,SO,DB,
Santana Wilson,SO,DB,
Michael Kern,SO,P,
Ian Ratliff,JR,P,
Spencer Barnett,SO,P,
Tate Haver,JR,LS,
Lance St. Louis,SR,LS,
Christian Rizzi,SR,LS,
