Player,Class,Pos,Summary
Marcel Reed,SO,QB,"147 Cmp, 240 Att, 1864 Yds, 15 TD"
Conner Weigman,JR,QB,"64 Cmp, 114 Att, 819 Yds, 3 TD"
Miles O'Neil,SO,QB,"5 Cmp, 6 Att, 51 Yds, 1 TD"
Blake Bost,SR,QB,
Payton Gay,SO,QB,
Jaylen Henderson,SR,QB,
Paxton Land,SO,QB,
Dylan Mayers,SO,QB,
Dallas Novicke,JR,QB,
Amari Daniels,SR,RB,"139 Att, 661 Yds, 4.8 Avg"
Le'Veon Moss,SR,RB,"121 Att, 765 Yds, 6.3 Avg"
E.J. Smith,SR,RB,"54 Att, 207 Yds, 3.8 Avg"
Rueben Owens,JR,RB,"16 Att, 66 Yds, 4.1 Avg"
Anthony DiNota,SR,RB,"13 Att, 50 Yds, 3.8 Avg"
Israel Benjamin,SR,RB,
Sam Salz,SR,RB,
Ronnie Crosby III,SO,RB,
Preston Landis,JR,RB,
Ramarian Tillman,SO,RB,
Terry Bussey,SO,WR,"17 Rec, 216 Yds, 12.7 Avg"
Jabre Barber,SR,WR,"38 Rec, 381 Yds, 10.0 Avg"
Noah Thomas,SR,WR,"39 Rec, 574 Yds, 14.7 Avg"
Jahdae Walker,SR,WR,"29 Rec, 345 Yds, 11.9 Avg"
Cyrus Allen,SR,WR,"18 Rec, 269 Yds, 14.9 Avg"
Moose Muhammad III,SR,WR,"6 Rec, 55 Yds, 9.2 Avg"
Ashton Bethel-Roman,SO,WR,"4 Rec, 44 Yds, 11.0 Avg"
Izaiah Williams,SO,WR,"2 Rec, 22 Yds, 11.0 Avg"
Jacob Bostick,JR,WR,"1 Rec, 14 Yds, 14.0 Avg"
Blake Buntyn,JR,WR,
Ernest Campbell,SO,WR,
Johnny Ryder,JR,WR,
Micah Tease,JR,WR,
Wesley Watson,SO,WR,
Jacob Brasher,JR,WR,
Ryan Burtin,SO,WR,
Chase Burton,SO,WR,
Andrew Maleski,JR,WR,
Tre Watson,SR,TE,"21 Rec, 280 Yds, 13.3 Avg"
Theo Melin Öhrström,JR,TE,"10 Rec, 184 Yds, 18.4 Avg"
Shane Calhoun,SR,TE,"3 Rec, 57 Yds, 19.0 Avg"
Luke Braden,SO,TE,
Carter Braugh,SO,TE,
Donovan Green,JR,TE,
Jaden Platt,SO,TE,
Zachary Clay,SR,TE,
Nathan Figueroa,JR,TE,
Garrett Miller,SR,TE,
Armaj Adams-Reed,SR,OL,
Isendre Ahfua,SO,OL,
Chase Bistonis,JR,OL,
Robert Bourdon,SO,OL,
Dametrious Crownover,SR,OL,
Kam Dewberry,SR,OL,
Hunter Erb,JR,OL,
Kolinu'u Faaiu,SR,OL,
Reuben Fatheree II,SR,OL,
Ashton Funk,SO,OL,
Blake Ivy,SO,OL,
Mark Nabou,JR,OL,
Aki Ogunbiyi,SR,OL,
TJ Shanahan,SO,OL,
Trey Zuhn III,SR,OL,
Ty Banco,SO,OL,
Bryce Barnes,SR,OL,
Kyle Garvis,SO,OL,
William Huntsinger,SR,OL,
Chance Jackson,JR,OL,
Brady Stephenson,SO,OL,
Collin Strittmatter,JR,OL,
Samuel Thornton,SO,OL,
Drake Bhatia,SR,K,
Randy Bond,SR,K,
Eli Krozel,SR,K,
Liam Padron,SO,K,
Jared Zirkel,SR,K,
Drew Beltran,SR,DL,
Nana Boadi-Owusu,JR,DL,
Gabriel Brownlow-Dindy,JR,DL,
Josh Celiscar,SR,DL,
Jesse Chukwu,JR,DL,
Dealyn Evans,SO,DL,
DJ Hicks,JR,DL,
Cashius Howell,SR,DL,
Kendall Jackson,SO,DL,
Nathan Jackson,SR,DL,
Rodas Johnson,SR,DL,
Ryan Kennedy,JR,DL,
Cody Polk,JR,DL,
Albert Regis,SR,DL,
Jadon Scarlett,SO,DL,
Nic Scourton,SR,DL,
Charlie Shears,SO,DL,
Shemar Stewart,SR,DL,
Malick Sylla,SR,DL,
Samu Taumanupep,SO,DL,
Shemar Turner,SR,DL,
Enai White,SR,DL,
Solomon Williams,SO,DL,
Alessandro Perez,SO,DL,
Tommy Colligan,SO,LB,
Solomon DeShields,SR,LB,
Martrell Harris Jr.,SR,LB,
Aaron Herrera,JR,LB,
Tristan Jernigan,SO,LB,
Chantz Johnson,JR,LB,
Danny Lockhart Jr.,SR,LB,
Jordan Lockhart,SO,LB,
Daymion Sanford,JR,LB,
Scooby Williams,SR,LB,
Taurean York,JR,LB,
Bryce Anderson,SR,DB,
Sawyer Bolli,SO,DB,
Dalton Brooks,JR,DB,
Benjamin Bruce,SO,DB,
Tyreek Chappell,SR,DB,
Myles Davis,SO,DB,
Layne Gerke,SO,DB,
Adam Graham,SO,DB,
Jaydon Hill,SR,DB,
Trey Jones,SR,DB,
Jarred Kerr,SR,DB,
Will Lee III,SR,DB,
Kevin Longstreet,SO,DB,
BJ Mayes,SR,DB,
Jordan Pride,SO,DB,
Marcus Ratcliffe,JR,DB,
Dezz Ricks,SO,DB,
Bravion Rogers,JR,DB,
Donovan Saunders,SR,DB,
Caleb Surber,SR,DB,
Jayvon Thomas,JR,DB,
Dashawn Fillmore,SR,DB,
JR Rosenberg,SO,DB,
Aaron Trevino,JR,DB,
Kyle Walsh,JR,DB,
Isaiah Willis,JR,DB,
Tyler White,SO,P,
Keegan Andrews,SR,P,
Truette Tumey,SR,P,
Connor Able,SR,LS,
Jacob Graham,SR,FB,
Jackson Graham,SO,LS,
Levi Hancock,JR,LS,
