Player,Class,Pos,Summary
Josh Hoover,JR,QB,"313 Cmp, 471 Att, 3949 Yds, 27 TD"
Ken Seals,SR,QB,"10 Cmp, 13 Att, 97 Yds, 1 TD"
Hauss Hejny,SO,QB,
Jacob Porter,JR,QB,
Hayden Parga,JR,QB,
Cam Cook,JR,RB,"119 Att, 460 Yds, 3.9 Avg"
Jeremy Payne,SO,RB,"54 Att, 239 Yds, 4.4 Avg"
Trent Battle,SR,RB,"44 Att, 186 Yds, 4.2 Avg"
Dominique Johnson,SR,RB,"18 Att, 63 Yds, 3.5 Avg"
Trey Sanders,SR,RB,"13 Att, 46 Yds, 3.5 Avg"
Nate Palmer,SO,RB,"11 Att, 25 Yds, 2.3 Avg"
Franklin Estrada,SR,RB,"3 Att, 5 Yds, 1.7 Avg"
Joe Pitchford,SO,RB,
Brant Ahlfinger,JR,RB,
Derrick Carroll,SO,RB,
Savion Williams,SR,WR,"60 Rec, 611 Yds, 10.2 Avg"
Jordyn Bailey,SO,WR,"9 Rec, 52 Yds, 5.8 Avg"
Jojo Earle,SR,WR,"7 Rec, 37 Yds, 5.3 Avg"
John Paul Richardson,SR,WR,"57 Rec, 733 Yds, 12.9 Avg"
Jack Bech,SR,WR,"62 Rec, 1034 Yds, 16.7 Avg"
Eric McAlister,SR,WR,"39 Rec, 762 Yds, 19.5 Avg"
Blake Nowell,SR,WR,"9 Rec, 179 Yds, 19.9 Avg"
Braylon James,SO,WR,"3 Rec, 11 Yds, 3.7 Avg"
Parker Clark,JR,WR,"2 Rec, 21 Yds, 10.5 Avg"
Major Everhart,JR,WR,"1 Rec, 4 Yds, 4.0 Avg"
Hunter Krepp,JR,WR,"1 Rec, 10 Yds, 10.0 Avg"
Dozie Ezukanma,SO,WR,
Fletcher Fierro,SO,WR,
Joe Laterza,SR,WR,
Dylan Wright,SR,WR,
Gekyle Baker,SO,WR,
Keagan Cunningham,SR,WR,
Colton Dobson,SR,WR,
Sutton Lee,JR,WR,
Austin Scheets,SR,WR,
Steel Tobin,SO,WR,
Chase Curtis,SR,TE,"7 Rec, 77 Yds, 11.0 Avg"
Drake Dabney,SR,TE,"19 Rec, 193 Yds, 10.2 Avg"
D'Andre Rogers,SR,TE,"12 Rec, 142 Yds, 11.8 Avg"
Lafayette Kaiuway,SO,TE,
Brent Matiscik,SR,TE,
Jax Porter,JR,TE,
Cade Keith,SO,TE,
Cade Snodgrass,SO,TE,
Carson Bruno,SR,OL,
James Brockermeyer,SR,OL,
Coltin Deery,SR,OL,
Gannon Gaubert,JR,OL,
Bless Harris,SR,OL,
Quinton Harris,JR,OL,
Ryan Hughes,SO,OL,
Michael Nichols,SR,OL,
Cooper Powers,SO,OL,
Robby Rochester,SR,OL,
Riley Self,SR,OL,
Remington Strickland,SR,OL,
Ben Taylor-Whitfield,JR,OL,
Hudson White,SR,OL,
Cade Bennett,SR,OL,
Samir Camacho,SO,OL,
Wesley Harvey,SO,OL,
Mitch Hodnett,SO,OL,
Jackson McNeff,SO,OL,
Tobias Steppes,SO,OL,
Mike Stoker,SO,OL,
Lucas Vargas-Diaz,SO,OL,
Easton Black,JR,K,
Kyle Lemmermann,SO,K,
Nate McCashland,SO,K,
Caleb Sempebwa,JR,K,
Hakeem Ajijolaiya,SR,DL,
Sterlin Brooks,SO,DL,
Avion Carter,SO,DL,
Zachary Chapman,SO,DL,
Markis Deal,SO,DL,
Caleb Fox,SR,DL,
Keviyan Huddleston,SO,DL,
Travis Jackson,SO,DL,
Connor Lingren,SO,DL,
Tymon Mitchell,SR,DL,
Nana Osafo-Mensah,SR,DL,
Luke Dodds,SR,DL,
Michael Ibukin-Okeyode,JR,DL,
Tristan Johnson,SO,DL,
Blake Jones,JR,DL,
Paul Oyewale,JR,DL,
Blake Baldwin,JR,LB,
Shadrach Banks,SR,LB,
Jonathan Bax,JR,LB,
Marcel Brooks,SR,LB,
Max Carroll,SO,LB,
Terrence Cooks II,SR,LB,
Devean Deal,SR,LB,
Kaleb Elarms-Orr,SR,LB,
Johnny Hodges,SR,LB,
Hudson Hooper,SO,LB,
Luke Lingard,SR,LB,
Cooper McDonald,SR,LB,
Namdi Obiazor,SR,LB,
Kylan Salter,SO,LB,
TJ Willson,JR,LB,
Jake Boozer,SR,LB,
Rhett Steppe,SO,LB,
Austin Jordan,SR,DB,
Jaise Oliver,SR,DB,
Cameron Smith,SR,DB,
Cole Confessore,SO,DB,
Ethan Craw,SR,P,
Jatravis Broughton,SR,CB,
Abraham Camara,SR,S,
Channing Canada,SR,CB,
Bud Clark,SR,S,
Devyn Hidrogo,SO,S,
Lamareon James,SR,CB,
Jamel Johnson,JR,S,
Julian Knox,SO,CB,
Jordan Lester,SO,S,
Kaden McFadden,SO,S,
Devondre McGee,SO,CB,
Jevon McIver Jr.,SR,CB,
Richard Toney,SR,S,
Judson Crockett,SO,S,
Vernon Glover,JR,CB,
Avery Helm,SR,CB,
Cal Keeler,SO,LS,
Jake Milliman,SO,S,
Sebastian Peterson,SO,S,
Jax Thompson,SO,LS,
Ty Witte,SO,DE,
