Player,Class,Pos,Summary
Jordan McCloud,SR,QB,"273 Cmp, 389 Att, 3227 Yds, 30 TD"
RJ Martinez,SR,QB,"18 Cmp, 24 Att, 148 Yds, 0 TD"
Brad Jackson,SO,QB,"8 Cmp, 15 Att, 118 Yds, 1 TD"
PJ Hatter,SO,QB,
Karson Kaiser,JR,QB,
Lincoln Philyaw,SO,QB,
Ismail Mahdi,SR,RB,"183 Att, 991 Yds, 5.4 Avg"
Lincoln Pare,SR,RB,"95 Att, 554 Yds, 5.8 Avg"
Deion Hankins,SR,RB,"62 Att, 272 Yds, 4.4 Avg"
Torrance Burgess Jr.,SR,RB,"60 Att, 367 Yds, 6.1 Avg"
Jaylen Jenkins,SR,RB,"3 Att, 17 Yds, 5.7 Avg"
Tyrese Brown,SR,RB,
Justin Cannon,SO,RB,
Joey Hobert,SR,WR,"70 Rec, 680 Yds, 9.7 Avg"
Jaden Williams,SR,WR,"57 Rec, 807 Yds, 14.2 Avg"
Kole Wilson,SR,WR,"43 Rec, 630 Yds, 14.7 Avg"
Beau Sparks,JR,WR,"25 Rec, 271 Yds, 10.8 Avg"
Chris Dawn Jr.,JR,WR,"37 Rec, 418 Yds, 11.3 Avg"
Drew Donley,SR,WR,"2 Rec, 65 Yds, 32.5 Avg"
Langston Anderson,SR,WR,
Kylen Evans,SO,WR,
Jaylon Griffin,SR,WR,
Dylan Rhodes,SO,WR,
Kannon Webb,SR,WR,
Jordan Martin,SO,WR,
Dawson Menegatti,SR,WR,
Isaac Norris,JR,WR,
Cullen Smith,JR,WR,
Junior Thornton,SO,WR,
Konner Fox,SR,TE,"14 Rec, 143 Yds, 10.2 Avg"
Titus Lyons,SR,TE,"5 Rec, 39 Yds, 7.8 Avg"
Griffin Moore,SR,TE,
Jake Simpson,SO,TE,
Gage Patrick,JR,TE,
Austin Samaha,SR,TE,
Blake Smith,SR,TE,
Jordan Williams,SO,TE,
Bami Badusi,SO,OL,
Sully Burns,SO,OL,
Justin DeLeon,SO,OL,
Ezra Dotson-Oyetade,SR,OL,
Alex Harkey,SR,OL,
Nash Jones,SR,OL,
Tyler Norris,SO,OL,
Emeka Obigbo,SR,OL,
Jimeto Obigbo,SR,OL,
Brock Riker,SO,OL,
Trenton Scott,SR,OL,
Dorion Strawn,SR,OL,
Chayse Todd,SR,OL,
Aiden Beckett,SO,OL,
David Conner,JR,OL,
Malcolm Fields,SO,OL,
Ian Langford,JR,OL,
Jimmy Lee,SR,OL,
Aidin Rhodes,SO,OL,
Carter Traynor,SO,OL,
Brendan Franke,SR,K,
Mason Shipley,SR,K,
Beckham Sunderland,SR,K,
Carlos Alvarado,SO,K,
Tunmise Adeleye,SR,DL,
Kalil Alexander,SR,DL,
Jo'Laison Landry,SO,DL,
Amipeleasi Langi Jr.,SR,DL,
Alex Merritt,SR,DL,
Steven Parker,SR,DL,
Kamren Washington,JR,DL,
Max Harris,SR,LB,
Kenny Haynes,SR,LB,
Tymere Jackson,SR,LB,
Derick Mourning Jr.,SR,LB,
James Neal,SR,LB,
Ronald Nunnery,SR,LB,
Treylin Payne,SR,LB,
Ja'Mari Laye,SO,LB,
Owen McClintock,SR,LB,
Amarion Atwood,SO,DB,
Michael Boudoin III,SR,DB,
Caleb Coleman,SR,DB,
Canden Grogan,SR,DB,
Justin Harris,SR,DB,
Jordan Polk,SR,DB,
David Nunez,SR,P,
Lars Rau,SO,P,
Brice Bass,SR,DE,
Ben Bell,SR,DE,
Tavian Coleman,SR,DT,
Bobby Crosby,SR,S,
Kaleb Culp,SR,S,
Joshua Eaton,SR,CB,
Alonzo Edwards Jr.,SR,CB,
Nathan Huerta,JR,DE,
Jermy Jackson Jr.,SO,DE,
DJ Jackson,JR,S,
JeCareon Lathan,SR,CB,
Tellek Lockette,SR,OG,
Daniel Meunier,SR,LS,
Chris Mills,SR,CB,
Will Mitchell,SO,S,
Ryan Nolan,JR,S,
John Oehrlein,SR,LS,
Kameron Pearson,SR,CB,
Dominique Ratcliffe,SR,DT,
Latrez Shelton,SR,CB,
Tory Spears,SR,S,
Donte Thompson,SR,CB,
Terry Webb,SR,DT,
Tice Williams,SO,S,
Deven Wright,SR,DE,
Jacob Caruthers,SO,DE,
Layne Horak,SR,S,
Nick Johnson,SO,DT,
Christopher Jones,SO,CB,
Travion Smith,JR,DT,
Darian Snell,SO,LS,
Justin Strong,SO,S,
Kaden Watts,JR,S,
