Player,Class,Pos,Summary
Behren Morton,SR,QB,"295 Cmp, 466 Att, 3335 Yds, 27 TD"
Will Hammond,SO,QB,"35 Cmp, 57 Att, 471 Yds, 2 TD"
Cameran Brown,SR,QB,"4 Cmp, 9 Att, 11 Yds, 0 TD"
Jake Strong,JR,QB,
Tahj Brooks,SR,RB,"286 Att, 1505 Yds, 5.3 Avg"
J'Koby Williams,SO,RB,"41 Att, 236 Yds, 5.8 Avg"
Cameron Dickey,SO,RB,"41 Att, 225 Yds, 5.5 Avg"
Cam'Ron Valdez,SR,RB,"9 Att, 40 Yds, 4.4 Avg"
Jaden Morris,JR,RB,
Adam Hill,SO,RB,
Coy Eakin,JR,WR,"49 Rec, 652 Yds, 13.3 Avg"
Drae McCray,SR,WR,"12 Rec, 74 Yds, 6.2 Avg"
Josh Kelly,SR,WR,"89 Rec, 1023 Yds, 11.5 Avg"
Caleb Douglas,JR,WR,"60 Rec, 877 Yds, 14.6 Avg"
Jordan Brown,SR,WR,"12 Rec, 149 Yds, 12.4 Avg"
Micah Hudson,SO,WR,"8 Rec, 123 Yds, 15.4 Avg"
Kelby Valsin,JR,WR,"3 Rec, 21 Yds, 7.0 Avg"
Brady Boyd,SR,WR,"1 Rec, 7 Yds, 7.0 Avg"
Tyson Turner,SO,WR,"1 Rec, 4 Yds, 4.0 Avg"
Drew Hocutt,SR,WR,
TJ West,JR,WR,
Haydon Wiginton,SR,WR,
Demarion Crest,JR,WR,
Jack Esparza,JR,WR,
LJ Johnson Jr.,SO,WR,
Aiden Meeks,JR,WR,
Price Morgan,SR,WR,
Curtis Murillo,SO,WR,
Jalin Conyers,SR,TE,"30 Rec, 320 Yds, 10.7 Avg"
Jason Llewellyn,SR,TE,
Mason Tharp,SR,TE,"13 Rec, 138 Yds, 10.6 Avg"
Johncarlos Miller II,JR,TE,"10 Rec, 122 Yds, 12.2 Avg"
Trey Jackson,SO,TE,
Charles Robinson,SR,TE,
Chandlin Myers,SO,TE,
Ty Buchanan,SR,OL,
Davion Carter,SR,OL,
Nick Fattig,JR,OL,
Holton Hendrix,SO,OL,
Jaxon Hughes,SR,OL,
Dalton Marryman,SR,OL,
Jacob Ponton,SO,OL,
Sterling Porcher,SR,OL,
Caleb Rodkey,SR,OL,
Caleb Rogers,SR,OL,
Vinny Sciury,SR,OL,
Dylan Shaw,JR,OL,
Daniel Sill,JR,OL,
Sheridan Wilson,JR,OL,
Kaden Carr,JR,OL,
Ellis Davis,SO,OL,
Jackson Hildebrand,SO,OL,
Jurrien Loftin,JR,OL,
Garrett Morphis,JR,OL,
Tyler Murray,SO,OL,
Maurice Rodriques,SR,OL,
D'Anthis Upshaw,SO,OL,
Reese Burkhardt,SR,K,
Gino Garcia,SR,K,
Tanner Allen,JR,DL,
E'Maurion Banks,SR,DL,
Sam Carrell,SR,DL,
De'braylon Carroll,SR,DL,
Jayden Cofield,JR,DL,
Harvey Dyson III,JR,DL,
Charles Esters III,SR,DL,
Trevon McAlpine,JR,DL,
Ansel Nedore,JR,DL,
Braylon Rigsby,JR,DL,
Amier Washington,JR,DL,
Keyshawn Williams,SO,DL,
Kendall Allen,SO,DL,
Charles Anderson Jr.,SO,LB,
Isaiah Crawford,JR,LB,
John Curry,JR,LB,
Miquel Dingle Jr.,JR,LB,
Gage Elder,SR,LB,
Justin Horne,JR,LB,
Trent Low,SR,LB,
Cheta Ofili,SO,LB,
Bryce Ramirez,SR,LB,
Ben Roberts,JR,LB,
Jacob Rodriguez,SR,LB,
Eddy Smith,SO,LB,
Isaac Smith,SR,LB,
Wesley Smith,SR,LB,
Terrell Tilmon,SR,LB,
Joseph Adedire,SR,LB,
Kasen Long,SO,LB,
Dylan Spencer,JR,LB,
CJ Baskerville,SR,DB,
Chief Collins,SR,DB,
Devynn Cromwell,SR,DB,
Luke Dillingham,SR,DB,
Malik Esquerra,SO,DB,
Ashton Hampton,SO,DB,
Maurion Horn,JR,DB,
Brenden Jordan,JR,DB,
Chapman Lewis,JR,DB,
Bralyn Lux,SR,DB,
Aj McCarty,SR,DB,
Oliver Miles III,SO,DB,
Peyton Morgan,SO,DB,
Sammy Morris IV,SR,DB,
Jalon Peoples,SR,DB,
Joseph Plunk,SR,DB,
Marcus Ramon-Edwards,JR,DB,
Jordan Sanford,JR,DB,
Marquez Stevenson,JR,DB,
Isaiah Collins,SO,DB,
JMaury Davis,JR,DB,
Mikal Harrison-Pilot,SO,DB,
Chris Lemons,JR,DB,
Miles Thompson,JR,DB,
Anthony White,JR,DB,
Javeon Wilcox,SO,DB,
Jack Burgess,SR,P,
Stone Harrington,JR,P,
Kaden Turner,SO,P,
James Hansen,SR,DT,
Jackson Knotts,SR,LS,
Quincy Ledet Jr.,SR,DT,
Rylan Vagana,SO,LS,
