Player,Class,Pos,Summary
Matthew Caldwell,SR,QB,"141 Cmp, 223 Att, 1608 Yds, 13 TD"
Will Crowder,SR,QB,"43 Cmp, 62 Att, 542 Yds, 5 TD"
Tucker Kilcrease,JR,QB,"28 Cmp, 51 Att, 377 Yds, 3 TD"
Caleb McCreary,SO,QB,
Montana Wells,SO,QB,
Damien Taylor,SR,RB,"173 Att, 1010 Yds, 5.8 Avg"
Gerald Green,SR,RB,"111 Att, 545 Yds, 4.9 Avg"
Jordan Lovett,SO,RB,"17 Att, 53 Yds, 3.1 Avg"
Tae Meadows,JR,RB,"3 Att, 41 Yds, 13.7 Avg"
Jarris Williams,SR,RB,"2 Att, 7 Yds, 3.5 Avg"
DeWhitt Betterson Jr.,JR,RB,
Trevor Pearson,SO,RB,
Landon Parker,SR,WR,"27 Rec, 350 Yds, 13.0 Avg"
Devonte Ross,SR,WR,"76 Rec, 1043 Yds, 13.7 Avg"
Marquez Dortch,JR,WR,"2 Rec, -2 Yds, -1.0 Avg"
Roman Mothershead,SO,WR,"4 Rec, 38 Yds, 9.5 Avg"
Peyton Higgins,SR,WR,"31 Rec, 301 Yds, 9.7 Avg"
Zeriah Beason,SR,WR,"16 Rec, 208 Yds, 13.0 Avg"
DJ Epps,JR,WR,"1 Rec, 5 Yds, 5.0 Avg"
Jywon Boyd,SO,WR,
Caleb Chappelle,SR,WR,
Robert Bruce,SR,WR,
Chris Lewis,SR,WR,
Ky McNulty,SO,WR,
Ian Senn,SO,WR,
Jackson Thomas,SO,WR,
Brody Dalton,SR,TE,"15 Rec, 188 Yds, 12.5 Avg"
Ethan Conner,SR,TE,"12 Rec, 115 Yds, 9.6 Avg"
Trae Swartz,SR,TE,"4 Rec, 41 Yds, 10.3 Avg"
Jackson Worley,SO,TE,"4 Rec, 31 Yds, 7.8 Avg"
Tyce Khatri,SO,TE,
Fabian Rogosch,JR,TE,
Chad Barham,SO,TE,
Tyler Geary,JR,TE,
Brooks Mauk,SO,TE,
Tyler Cappi,JR,OL,
Casey Fua'au,SR,OL,
Kyler Gibson,JR,OL,
Matt Henry,SR,OL,
Zerian Hudson,SR,OL,
Daniel King,SR,OL,
Tavon Matthews,SR,OL,
Jermaine Paramore,SO,OL,
Elijah Prather,SO,OL,
Eli Russ,SR,OL,
Carlos Slayden,SR,OL,
Boaz Stanley,JR,OL,
Caleb Ash,SO,OL,
Tyler Bell,SO,OL,
Zak Bowden,SR,OL,
Billy Gilmore,SO,OL,
Obatara Jackson,SO,OL,
Noah Mercer,SO,OL,
Paddy McAteer,JR,K,
Scott Taylor Renfroe,SR,K,
Nick Troemel,SO,K,
Gage Theus,SR,K,
Anthony Butler,SR,LB,
Keyshawn Campbell,SO,LB,
Steven Cattledge,SR,LB,
Luke Hodge,JR,LB,
Brendan Jackson,SR,LB,
Jabril McNeill,SR,LB,
Eric Shaw,SR,LB,
Jordan Stringer,SR,LB,
Terry Thomas,SR,LB,
TJ Thompson,SR,LB,
Jah-Mal Williams,SR,LB,
Malaki Pegues,SO,LB,
Kam Weaver,SO,LB,
Azlan Williams,SR,LB,
Trent Henry,SR,DB,
Devin Lafayette,SR,DB,
Jordan Perry,JR,DB,
Robert Cole,SR,P,
Evan Crenshaw,SR,P,
Max Zuluaga,SO,P,
KC Bradford,JR,S,
John Butler,SR,S,
Rondell Carter,SO,S,
Ian Conerly-Goodly,SR,S,
Kam Curry,SR,DT,
Raymond Cutts,SR,DE,
Jamel Fils-Aime,SR,DT,
LJ Green,SO,CB,
Trashun Griffin,SO,DE,
Dorion Jackson,SO,S,
Semaj James,SR,S,
ShuMond Johnson,SO,DE,
Cheick Kaba,SR,DT,
Phillip Lee,SR,DE,
Joe Lott,SO,S,
Dylan Mann,SO,DT,
Luis Medina,SR,DT,
Krypto Norwood,SR,S,
Ty'Quarius Perry,SO,DT,
Julian Peterson,SR,DT,
Justin Powe,JR,S,
Cecil Powell,SR,CB,
Kenny Reedy,JR,DT,
Will Spain,SR,LS,
Darrell Starling,SR,S,
Jabari Strait,SR,CB,
Colton Walls,SO,LS,
Shemar Welch,SO,OC,
Damaje Yancey,SR,CB,
Kevin Beckham,SO,S,
LaMar Croskey,JR,CB,
Keion Dunlap,SO,S,
EJ Hall,SO,CB,
LaBarryon Moore,SO,S,
Daivon Nelson,SR,S,
Kevin Norwood,SO,DT,
Marlin Odom,SO,CB,
Jaqueraius Thomas,SR,CB,
Tyrek Thompson,SO,S,
Cam'Ron Underwood,SO,DT,
OJ Vaughan,SO,S,
