Player,Class,Pos,Summary
Darian Mensah,JR,QB,"189 Cmp, 287 Att, 2723 Yds, 22 TD"
Ty Thompson,SR,QB,"17 Cmp, 40 Att, 199 Yds, 3 TD"
Kai Horton,SR,QB,"1 Cmp, 1 Att, 9 Yds, 0 TD"
Kellen Tasby,SO,QB,
Dagan Bruno,SO,QB,
Jaxson Judge,JR,QB,
Makhi Hughes,JR,RB,"265 Att, 1401 Yds, 5.3 Avg"
Arnold Barnes III,JR,RB,"87 Att, 402 Yds, 4.6 Avg"
Shaadie Clayton-Johnson,SR,RB,"34 Att, 227 Yds, 6.7 Avg"
Trey Cornist,JR,RB,"22 Att, 149 Yds, 6.8 Avg"
Jamauri McClure,SO,RB,"20 Att, 121 Yds, 6.1 Avg"
George Arata,SR,RB,"2 Att, 5 Yds, 2.5 Avg"
Tate Jernigan,SR,RB,
Chase Rudin,SO,RB,
Mario Williams,SR,WR,"60 Rec, 1031 Yds, 17.2 Avg"
Yulkeith Brown,SR,WR,"35 Rec, 470 Yds, 13.4 Avg"
Dontae Fleming,SR,WR,"31 Rec, 598 Yds, 19.3 Avg"
Bryce Bohanon,SR,WR,"10 Rec, 121 Yds, 12.1 Avg"
Shazz Preston,JR,WR,"4 Rec, 99 Yds, 24.8 Avg"
Zycarl Lewis Jr.,SO,WR,"2 Rec, 15 Yds, 7.5 Avg"
Phat Watts,SR,WR,"1 Rec, 27 Yds, 27.0 Avg"
Luke Besh,JR,WR,
Lucas Desjardins,SR,WR,
Trevor Evans,SR,WR,
Seth Gale,SO,WR,
Sidney Mbanasor,JR,WR,
Garrett Mmahat,JR,WR,
Shaun Nicholas,SO,WR,
Khai Prean,JR,WR,
Erik Urbaniak,SO,WR,
Alex Wigginton,JR,WR,
Walker Davis,SO,WR,
Alex Bauman,SR,TE,"20 Rec, 212 Yds, 10.6 Avg"
Reggie Brown,SR,TE,"4 Rec, 52 Yds, 13.0 Avg"
Anthony Miller,SO,TE,"1 Rec, 4 Yds, 4.0 Avg"
Joshua Goines,JR,TE,
DJ Cicero,SO,TE,
Blake Gunter,SR,TE,
Jonathan Kahn,SR,TE,
Guiseann Mirtil,SO,TE,
Jackson Stewart,SO,TE,
Shadre Hurst,SR,OL,
Elijah Baker,SO,OL,
Reese Baker,FR,OL,
Landry Cannon,JR,OL,
Gabe Fortson,JR,OL,
Derrick Graham,SR,OL,
Rashad Green,SR,OL,
Vincent Murphy,SR,OL,
Colin O'Carroll,SO,OL,
Darion Reed,JR,OL,
Josh Remetich,SR,OL,
Dominic Steward,SO,OL,
Caleb Thomas,SR,OL,
Jaxon Ducre,SO,OL,
Tristen Fortenberry,SO,OL,
Jayce Mitchell,SO,OL,
Trey Tuggle,SR,OL,
Leo Wulffraat,SO,OL,
Jacob Barnes,SR,K,
Patrick Durkin,SO,K,
Ethan Head,SO,K,
Zachary Marini,SO,K,
Bobby Noel,SR,K,
Terrell Allen,SR,DL,
Angelo Anderson,SR,DL,
Javon Carter,SR,DL,
Elijah Champaigne,SR,DL,
Adonis Friloux,SR,DL,
Geordan Guidry,SO,DL,
Kameron Hamilton,SR,DL,
Gerrod Henderson,SR,DL,
Eric Hicks Jr.,SR,DL,
Adin Huntington,SR,DL,
Patrick Jenkins,SR,DL,
Michael Lunz,SR,DL,
Parker Peterson,SR,DL,
Jah'rie Garner,JR,DL,
Jack Stivers,SO,DL,
Dickson Agu,JR,LB,
Mandel Eugene Jr.,SR,LB,
Tyler Grubbs,SR,LB,
Sam Howard,SR,LB,
Jean Claude Joseph III,JR,LB,
Chris Rodgers,JR,LB,
Adam Uppuluri,SR,LB,
Makai Williams,JR,LB,
Bryce Boutte,SO,LB,
Dante De Rosa,SR,LB,
Michael Guruli,JR,LB,
Harold Lawson,JR,LB,
Jesus Machado,SR,LB,
Kevin Adams III,JR,DB,
Johnathan Edwards,SR,DB,
Jalen Geiger,SR,DB,
Jaheim Johnson,JR,DB,
Jayden Lewis,SO,DB,
Joshua Moore,JR,DB,
Jared Moorer,SR,DB,
Rayshawn Pleasant,JR,DB,
Rishi Rattan,SR,DB,
Javion White,SO,DB,
Armani Cargo,SO,DB,
Brandon Kim,SR,DB,
Carson Klein,SO,DB,
E'zaiah Shine,SO,DB,
Rodrek Williams II,SR,DB,
Brice Busch,SR,P,
Will Karoll,JR,P,
Ethan Greenberg,SR,P,
William Hudlow,JR,P,
Deshaun Batiste,JR,DE,
Bailey Despanie,SR,S,
Matthew Fobbs-White,JR,DE,
Chase Green,SO,S,
Ethan Hudak,SR,LS,
Shi'Keem Laister,SR,S,
Thomas Peterson,SR,LS,
Caleb Ransaw,SR,CB,
Micah Robinson,SR,CB,
Jack Tchienchou,JR,S,
LU Tillery,SR,CB,
Andrew Goodman,SR,LS,
Jean-Jacques Hunter,SR,S,
