Player,Class,Pos,Summary
Kirk Francis,SO,QB,"149 Cmp, 253 Att, 1585 Yds, 9 TD"
Cooper Legas,SR,QB,"87 Cmp, 162 Att, 1144 Yds, 12 TD"
Cardell Williams,JR,QB,"5 Cmp, 11 Att, 37 Yds, 0 TD"
Tim Carpenter,SO,QB,"4 Cmp, 8 Att, 46 Yds, 2 TD"
Stephen Kittleman,SR,QB,"3 Cmp, 3 Att, 51 Yds, 0 TD"
Carson Horton,SO,QB,
Jack Johnson,SO,QB,
Nate Ratcliff,JR,QB,
Anthony Watkins,SR,RB,"87 Att, 402 Yds, 4.6 Avg"
Lloyd Avant,SO,RB,"76 Att, 259 Yds, 3.4 Avg"
Bill Jackson,SR,RB,"67 Att, 319 Yds, 4.8 Avg"
Viron Ellison Jr.,SO,RB,"62 Att, 353 Yds, 5.7 Avg"
Cam Crooks,SO,RB,"2 Att, 47 Yds, 23.5 Avg"
Jayce Morgan,JR,RB,
Keigan Powers,SO,RB,
Kamdyn Benjamin,SR,WR,"70 Rec, 822 Yds, 11.7 Avg"
Grayson Tempest,JR,WR,"16 Rec, 138 Yds, 8.6 Avg"
Braylin Presley,SR,WR,"9 Rec, 73 Yds, 8.1 Avg"
Jacob Emmers,SO,WR,"5 Rec, 80 Yds, 16.0 Avg"
Joseph Williams,SO,WR,"30 Rec, 588 Yds, 19.6 Avg"
Corey Smith,SO,WR,"12 Rec, 179 Yds, 14.9 Avg"
Zion Steptoe,JR,WR,"15 Rec, 203 Yds, 13.5 Avg"
Jeremiah Ballard,SR,WR,"2 Rec, 37 Yds, 18.5 Avg"
Josh Smith,SO,WR,"1 Rec, 3 Yds, 3.0 Avg"
Jack Wright,SR,WR,"1 Rec, 18 Yds, 18.0 Avg"
Alex Green,SO,WR,
Eli Potts,JR,WR,
Cole Greene,SO,WR,
Matthew Ogunrin,SO,WR,
Mari Smith,SO,WR,
Ethan Hall,SR,TE,"5 Rec, 34 Yds, 6.8 Avg"
Luke McGary,JR,TE,"17 Rec, 231 Yds, 13.6 Avg"
Connor Vaughn,JR,TE,"7 Rec, 59 Yds, 8.4 Avg"
Jackson Ford,SO,TE,
Jewlyen Roberts,SO,TE,
Daegan Jensen,SO,TE,
Camden Peck,SO,TE,
Ty Vinson,SO,TE,
Ender Aguilar,SR,OL,
Rey Burnett,SR,OL,
Kasen Carpenter,SO,OL,
Colten Christian,SO,OL,
Brody Duffel,SO,OL,
Ross Johnston,SO,OL,
Tautai Li'O Marks,SR,OL,
Will Morris,SO,OL,
Bennett Ringleb,SO,OL,
Kaden Stanton,SO,OL,
Jack Tanner,SO,OL,
Jacob Waller,JR,OL,
Walter Young Bear,SR,OL,
Daniel Ademisoye,JR,OL,
Cole Edrich,SO,OL,
Josh Love,SO,OL,
Nate Long,SR,K,
Seth Morgan,SR,K,
Troop O'Neal,SO,K,
Evan Guenthner,SO,K,
Michael Slaba,JR,K,
Mason Fleming,SO,DL,
Denver Hanna,JR,DL,
Joe Hjelle,SR,DL,
R.J. Jackson Jr.,JR,DL,
Tai Newhouse,JR,DL,
Owen Ostroski,SR,DL,
Brody Reese,SR,DL,
Tyler Rich,SO,DL,
Amieh Williams,SR,DL,
Austin LaRue,SO,DL,
Nathan Price,SO,DL,
William Alexander,SR,LB,
Aquavious Dunbar,SO,LB,
Zach Marcheselli,SR,LB,
Zach Neilsen,JR,LB,
Gavin Potter,SR,LB,
Chris Thompson Jr.,SR,LB,
Elijah Wilson,SO,LB,
Caleb Bowers,SO,LB,
Connor Cook,JR,LB,
Walker Diharce,SO,LB,
Eli McWilliams,JR,LB,
Connor Phelps,SO,LB,
Stockton Ryan,JR,LB,
C.J. Turner III,SO,LB,
Demarco Jones,SR,DB,
Sean O'Keefe,SR,DB,
Keuan Parker,SR,DB,
Devin Robinson,SO,DB,
Dedaunte Scott,SO,DB,
Ashton Williams,SO,DB,
Georderrial Williams,SR,DB,
Zach Williams,SO,DB,
Zane Woodham,JR,DB,
Brant McNear,SO,DB,
Canon Peters,SR,DB,
Bryson Rouse,SO,DB,
Angus Davies,JR,P,
Reed Malphurs,SO,P,
Scott Stanford,JR,P,
Henry Simon,SO,P,
Luke Berry,SO,DE,
NuNu Campbell,JR,CB,
Jehlen Cannady,SR,S,
Tyree Carlisle,SR,CB,
Dax Collins,SO,S,
Issac Covington,SO,S,
Buddha Garrett,SO,S,
Elijah Green,SO,CB,
Marshall Hefner,SO,DE,
Dayne Hodge,SR,S,
Myles Jackson,SR,DE,
Malachai Jones,SR,S,
Jaxon Lee,SO,DE,
Justin Lohrenz,SR,DE,
Vontroy Malone,JR,DE,
Caleb Matthews,SR,LS,
Will Smith,SO,DE,
Parker Stone,SR,LS,
Will Upshaw,SO,DE,
Maruio White Jr.,SO,DE,
Duvan Boshoff,JR,DE,
Kyron Grayson,JR,CB,
Tyler Hughes,SO,S,
Ronald Lewis,JR,CB,
Cade Lopez,SR,DE,
