Player,Class,Pos,Summary
Jalen Kitna,SR,QB,"196 Cmp, 316 Att, 2209 Yds, 17 TD"
Jacob Zeno,SR,QB,"82 Cmp, 118 Att, 819 Yds, 6 TD"
Landry Lyddy,JR,QB,"1 Cmp, 5 Att, 0 Yds, 0 TD"
Harrison Barker,SR,QB,"3 Cmp, 3 Att, 49 Yds, 1 TD"
Trace Campbell,JR,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD"
Cameron Jennings,SO,QB,
Carter Putt,SR,QB,
Adrian Posse,SO,QB,
Nate Rogers,SO,RB,
Lee Beebe,JR,RB,"166 Att, 884 Yds, 5.3 Avg"
Isaiah Jacobs,SR,RB,"41 Att, 162 Yds, 4.0 Avg"
Lee Witherspoon,SR,RB,"35 Att, 166 Yds, 4.7 Avg"
Solomon Beebe,SO,RB,"22 Att, 81 Yds, 3.7 Avg"
Armoni Goodwin,SR,RB,"14 Att, 88 Yds, 6.3 Avg"
Amari Brundidge,SO,RB,
Dylan Peterson,SO,RB,
Iverson Hooks,SO,WR,"14 Rec, 179 Yds, 12.8 Avg"
Kameron Shanks,SO,WR,"62 Rec, 656 Yds, 10.6 Avg"
Amare Thomas,JR,WR,"62 Rec, 670 Yds, 10.8 Avg"
Brandon Buckhaulter,SR,WR,"2 Rec, 18 Yds, 9.0 Avg"
BJ Hawkins Jr.,SR,WR,"2 Rec, 32 Yds, 16.0 Avg"
Corri Milliner,SO,WR,"24 Rec, 416 Yds, 17.3 Avg"
Malachi Holt-Bennett,SR,WR,"16 Rec, 241 Yds, 15.1 Avg"
Xavier Daisy,SO,WR,"1 Rec, 24 Yds, 24.0 Avg"
Joshua Jackson,SO,WR,
Aron Marsch,JR,WR,
Ryan Peppins,JR,WR,
Dylan Wroblewski,SO,WR,
Connor Harby,SR,WR,
Yusuf Terry,SR,WR,
Skylar Townsend,SO,WR,
Lamar White,SO,WR,
Terrell McDonald,SR,TE,"15 Rec, 202 Yds, 13.5 Avg"
Bryce Damous,SR,TE,"19 Rec, 209 Yds, 11.0 Avg"
Dallas Payne,SR,TE,"17 Rec, 192 Yds, 11.3 Avg"
Jack Nickel,JR,TE,"1 Rec, 6 Yds, 6.0 Avg"
J.C. Sivley,SO,TE,"1 Rec, 9 Yds, 9.0 Avg"
Brayden Johnson,SO,TE,
Joshua Rubin,SO,TE,
Trey Bedosky,SR,OL,
Zaire Flournoy,SR,OL,
Baron Franks II,SR,OL,
Tennyson Hadfield,JR,OL,
Jordan Hall,SO,OL,
DJ Jones,SR,OL,
Logan Moore,SO,OL,
Jondarius Morgan,SR,OL,
Calib Perez,SR,OL,
Delano Townsend,SO,OL,
Barry Walker,SO,OL,
Brady Wilson,SR,OL,
Quez Yates,SR,OL,
Mason Chorak,SO,OL,
Ryan Gunter,JR,OL,
Adam Lepkowski,SR,OL,
Jaden Ligon,SO,OL,
Kade Martin,SO,OL,
Antavious Woody,JR,OL,
Jonah Delange,JR,K,
Wyatt Martin,SO,K,
Jonathan Allen,SO,DL,
LeDarrius Cox,SR,DL,
Joker Gill,SR,DL,
Ezra Odinjor,SO,DL,
Kevin Penn,SR,DL,
Derrick Shepard,JR,DL,
Eamon Smalls,SO,DL,
Emanuel Walker,JR,DL,
Matthew Craig,SR,DL,
Antavious Elder,SO,DL,
Jacob Thompson,SO,DL,
O.C. Brothers,SR,LB,
Brandon Franklin,JR,LB,
Kendall Johnson,SR,LB,
Tylan McNichols,SO,LB,
Michael Moore,SR,LB,
Jason Riles Jr.,SR,LB,
Everett Roussaw Jr.,JR,LB,
James Smyre,SR,LB,
Eddy Toussom,SR,LB,
Jax Van Zandt,JR,LB,
Jacoby Bridges,SO,LB,
Phillip Davison Jr.,SO,LB,
Troy Jakubec,SR,DB,
Tyjon Jones,SR,DB,
Adrian Maddox,SR,DB,
Patrick Foley,SR,P,
Noah Grant,SR,P,
Nasir Bashir,JR,CB,
Chris Bracy,JR,S,
AJ Brown,JR,S,
Sirad Bryant,SR,S,
Chris Burge,SO,DE,
Colby Dempsey,SR,CB,
Daniel Harris,SO,S,
Kelvin Hill,SO,CB,
Ricky Lee III,JR,CB,
Donald Lee,SR,CB,
Desmond Little,SR,DE,
J'Quan Mason,SO,DE,
T'Sai McDaniel,SR,CB,
Kyle McKinney,SO,S,
Miquon Merriweather,JR,DT,
Caleb Moser,JR,LS,
Kyle Mosley,SO,DT,
Demarcus Smith,SR,DT,
Ray Thornton III,SR,S,
Skylar Trawick,SR,S,
Tariq Watson,JR,CB,
Roy Williams,JR,CB,
Evan Bishop,SO,LS,
Tyderick Brown,SO,CB,
Myles Cook,SO,DE,
Jaylyn Ferguson,SO,CB,
Deion Gunn,SO,CB,
Keon Handley Jr.,JR,S,
Nacari Johnson,SO,CB,
Love Kirby,SO,CB,
Trey Miles,JR,CB,
