Player,Class,Pos,Summary
Dylan Rizk,SO,QB,"72 Cmp, 117 Att, 904 Yds, 5 TD"
K.J. Jefferson,SR,QB,"64 Cmp, 108 Att, 1012 Yds, 7 TD"
Jacurri Brown,JR,QB,"35 Cmp, 67 Att, 398 Yds, 1 TD"
EJ Colson,SO,QB,"9 Cmp, 16 Att, 64 Yds, 1 TD"
Brock Hansel,JR,QB,
Riley Trujillo,SO,QB,
R.J. Harvey,SR,RB,"232 Att, 1577 Yds, 6.8 Avg"
Myles Montgomery,SR,RB,"51 Att, 293 Yds, 5.7 Avg"
Peny Boone,SR,RB,"34 Att, 208 Yds, 6.1 Avg"
Johnny Richardson,SR,RB,"25 Att, 119 Yds, 4.8 Avg"
Kameron Ingram,SR,RB,"2 Att, 1 Yds, 0.5 Avg"
Stacy Gage,SO,RB,
Preston Foreman,JR,RB,
Tyler Wrenn,JR,RB,
Trent Whittemore,SR,WR,"6 Rec, 126 Yds, 21.0 Avg"
Xavier Townsend,SR,WR,"10 Rec, 69 Yds, 6.9 Avg"
Ja'Varrius Johnson,SR,WR,"10 Rec, 62 Yds, 6.2 Avg"
Kobe Hudson,SR,WR,"47 Rec, 770 Yds, 16.4 Avg"
Jacoby Jones,SR,WR,"22 Rec, 327 Yds, 14.9 Avg"
Jarrad Baker,SR,WR,"6 Rec, 53 Yds, 8.8 Avg"
Chaucey Magwood,SR,WR,"5 Rec, 102 Yds, 20.4 Avg"
Caleb Rollerson,SO,WR,
Dwartney Wortham,JR,WR,
Jordyn Bridgewater,SO,WR,
Carson Hinshaw,SO,WR,
Tyree Patterson,SO,WR,
Bredell Richardson,SO,WR,
Kason Stokes,SO,WR,
Randy Pittman Jr.,JR,TE,"32 Rec, 416 Yds, 13.0 Avg"
Kylan Fox,SO,TE,"3 Rec, 22 Yds, 7.3 Avg"
Evan Morris,SR,TE,"2 Rec, 10 Yds, 5.0 Avg"
Grant Stevens,JR,TE,"1 Rec, 6 Yds, 6.0 Avg"
Thomas Wadsworth,JR,TE,
Reece Adkins,SR,TE,
Jordan Davis,SR,TE,
Jack Morgan,SR,TE,
Jabari Brooks,SR,OL,
Keyon Cox,SO,OL,
Wes Dorsey,SR,OL,
Amari Kight,SR,OL,
Cameron Kinnie,SR,OL,
Caden Kitler,JR,OL,
Marcellus Marshall,SR,OL,
Adrian Medley,SR,OL,
Matthew Prigmore,SO,OL,
Paul Rubelt,SR,OL,
Keegan Smith,SR,OL,
Patrick Barnett,SR,OL,
Jonathan Cline,SO,OL,
Colin Cook,SR,OL,
Waltclaire Flynn,SO,OL,
Thomas Gearity,SO,OL,
Ethan Higgins,SO,OL,
Shaheem Hill,JR,OL,
Chase Malamala,SO,OL,
Andrew Phelan,SO,OL,
Colton Boomer,SR,K,
Grant Reddick,SO,K,
Kevin Carrigan,SR,K,
Nyjalik Kelly,SR,DL,
Xe'ree Alexander,JR,LB,
Ethan Barr,SR,LB,
Qua Birdsong,SO,LB,
TJ Bullard,JR,LB,
Andrew Harris,JR,LB,
Quentin Hatch,SR,LB,
Keeron Henderson,SR,LB,
Quinten Johnson,SR,LB,
Kam Moore,SR,LB,
Deshawn Pace,SR,LB,
Jesiah Pierre,SR,LB,
Camden Vining,SR,LB,
Troy Ford Jr.,SO,LB,
DJ McCormick,SO,LB,
Brandon Adams,SR,DB,
"Sheldon Arnold, II",SR,DB,
Quadric Bullard,SR,DB,
Tre'Quon Fegans,JR,DB,
Hudson Gibbs,SO,DB,
Jakob Gude,SO,DB,
Cedrick Hawkins Jr.,SO,DB,
Ja'Cari Henderson,JR,DB,
Jaylen Heyward,SO,DB,
Antoine Jackson,JR,DB,
Chasen Johnson,SO,DB,
Braeden Marshall,JR,DB,
Mac McWilliams,SR,DB,
Christian Peterson,SO,DB,
Jashad Presley,SO,DB,
Ladarius Tennison,SR,DB,
Bryon Threats,SR,DB,
William Wells,SR,DB,
Nicholas Antoine,SO,DB,
R.D. Cooper,SR,DB,
Demari Henderson,SR,DB,
Terrell Jackson,JR,DB,
Chase Jarrett,SO,DB,
Michael Carter,JR,P,
Mitch McCarthy,SR,P,
Matthew Alexander,SR,DT,
Ricky Barber,SR,DT,
Kaven Call,JR,DE,
Josh Dorsainvil,SR,DE,
Daylan Dotson,SR,DE,
Marcus Downs,SO,DT,
Aidan Fedigan,JR,LS,
Keshaun Hudson,JR,DT,
Lee Hunter,SR,DT,
Jamaal Johnson,JR,DE,
Gage King,SR,LS,
Malachi Lawrence,SR,DE,
Isaiah Nixon,SO,DE,
Tyreek'e Robinson,SO,DT,
Andrew Rumph,SO,DT,
Jack Berstein,JR,LS,
Derrick LeBlanc,SO,DT,
John Walker,JR,DT,
