Player,Class,Pos,Summary
Ethan Garbers,SR,QB,"235 Cmp, 363 Att, 2727 Yds, 16 TD"
Justyn Martin,SR,QB,"24 Cmp, 35 Att, 179 Yds, 1 TD"
Nick Billoups,SR,QB,
Dermaricus Davis,SO,QB,
Luke Duncan,SO,QB,
Karson Gordon,SO,QB,
Chase Griffin,SR,QB,
Henry Hasselbeck,SO,QB,
TJ Harden,SR,RB,"124 Att, 506 Yds, 4.1 Avg"
Jalen Berger,SR,RB,"48 Att, 178 Yds, 3.7 Avg"
Keegan Jones,SR,RB,"47 Att, 179 Yds, 3.8 Avg"
Anthony Frias II,SR,RB,"15 Att, 47 Yds, 3.1 Avg"
Anthony Adkins,SR,RB,
Peter Bario,SO,RB,
Isaiah Carlson,SO,RB,
Cameron Jones,SO,RB,
Leo Kemp,JR,RB,
Troy Leigber,SO,RB,
Deshun Murrell,SR,RB,
Carter Shaw,SO,WR,"2 Rec, 45 Yds, 22.5 Avg"
Kwazi Gilmer,SO,WR,"31 Rec, 345 Yds, 11.1 Avg"
Titus Mokiao-Atimalala,SR,WR,"28 Rec, 294 Yds, 10.5 Avg"
J. Michael Sturdivant,SR,WR,"22 Rec, 315 Yds, 14.3 Avg"
Logan Loya,SR,WR,"29 Rec, 348 Yds, 12.0 Avg"
Rico Flores Jr.,JR,WR,"12 Rec, 187 Yds, 15.6 Avg"
Grant Gray,SO,WR,
Ezavier Staples,SR,WR,
Russell Weir,SO,WR,
Devanti Dillard,SR,WR,
Braden Pegan,JR,WR,
Moliki Matavao,SR,TE,"41 Rec, 506 Yds, 12.3 Avg"
Jack Pedersen,JR,TE,"12 Rec, 126 Yds, 10.5 Avg"
Bryce Pierre,SR,TE,"11 Rec, 94 Yds, 8.5 Avg"
Michael Churich,SR,TE,
Sam Summa,SR,TE,
Hudson Habermehl,SR,TE,
Josh Carlin,SR,OL,
Michael Carmody,SR,OL,
Garrett DiGiorgio,SR,OL,
Spencer Holstege,SR,OL,
Jaylan Jeffers,SR,OL,
Taka Mahe,SR,OL,
Alani Makihele,SR,OL,
Niki Prongos,JR,OL,
Tavake Tuikolovatu,SO,OL,
Reuben Unije,SR,OL,
Sam Yoon,JR,OL,
Oluwafunto Akinshilo,SR,OL,
Walker Andersen,SO,OL,
Jack Clarke,SO,OL,
Devin Delgado,SR,OL,
Dovid Magna,SR,OL,
Noah Pulealii,SR,OL,
Mark Schroller,SO,OL,
Jensen Somerville,SO,OL,
Michael Sultemeier,SO,OL,
Kory Symington,SO,OL,
Marquise Thorpe-Taylor,SO,OL,
Caleb Walker,SR,OL,
Mateen Bhaghani,JR,K,
Blake Glessner,SR,K,
David Dellenbach,SO,K,
Joseph Firebaugh Jr.,SR,K,
Devin Aupiu,SR,DL,
Grant Buckey,SO,DL,
Jacob Busic,SR,DL,
A.J. Fuimaono,SO,DL,
Sitiveni Havili-Kaufusi,SR,DL,
Luke Schuermann,SR,DL,
Cherif Seye,SR,DL,
Michael Sullivan,SR,DL,
Siale Taupaki,SR,DL,
Jay Toia,SR,DL,
Drew Tuazama,SR,DL,
Keanu Williams,SR,DL,
Jordan Abarca,SO,DL,
Collins Acheampong,SO,DL,
Joquarri Price,SR,DL,
Gary Smith III,SR,DL,
Tannen Vagle,SR,DL,
Ale Kaho,SR,LB,
Ty Lee,SO,LB,
Kain Medrano,SR,LB,
Wyatt Mosier,SO,LB,
Femi Oladejo,SR,LB,
Isaiah Patterson,SO,LB,
Carson Schwesinger,SR,LB,
Joseph Vaughn,SR,LB,
JonJon Vaughns,SR,LB,
Jalen Woods,JR,LB,
Larry Edwards III,SO,LB,
Mone Malafu,SO,LB,
Jacob Reis,SO,LB,
Bryan Addison,SR,DB,
Jamir Benjamin,SO,DB,
Kanye Clark,SO,DB,
Jaylin Davies,SR,DB,
Ramon Henderson,SR,DB,
DJ Justice,SR,DB,
Devin Kirkwood,SR,DB,
Jadyn Marshall,JR,DB,
Kaylin Moore,SR,DB,
Croix Stewart,JR,DB,
Joshua Swift,SR,DB,
Evan Thomas,SR,DB,
Zeke Thomas,SR,DB,
KJ Wallace,SR,DB,
Brett Barry,SO,DB,
Joshua Dixon,SO,DB,
Khristian Dunbar-Hawkins,SO,DB,
R.J. Jones,SO,DB,
Donavyn Pellot,SO,DB,
Clint Stephens,JR,DB,
Marquise Villahermosa,SO,DB,
Chase Barry,JR,P,
Brody Richter,JR,P,
Travis Drosos,SR,LS,
Salem Wahab,JR,LS,
Marcus MacNeal,SO,LS,
Trent Middleton,SO,LS,
