Player,Class,Pos,Summary
Miller Moss,SR,QB,"233 Cmp, 362 Att, 2555 Yds, 18 TD"
Jayden Maiava,JR,QB,"101 Cmp, 169 Att, 1201 Yds, 11 TD"
Jake Jensen,SR,QB,
Gage Roy,SR,QB,
Dylan Gebbia,SO,QB,
Jack Stupin,SO,QB,
Jo'quavious Marks,SR,RB,"198 Att, 1133 Yds, 5.7 Avg"
Quinten Joyner,SO,RB,"63 Att, 478 Yds, 7.6 Avg"
Bryan Jackson,SO,RB,"36 Att, 188 Yds, 5.2 Avg"
A'Marion Peterson,SO,RB,"16 Att, 65 Yds, 4.1 Avg"
Cian McKelvey,JR,RB,
King Miller,SO,RB,
Makai Lemon,JR,WR,"52 Rec, 764 Yds, 14.7 Avg"
Kyron Ware-Hudson,SR,WR,"38 Rec, 462 Yds, 12.2 Avg"
Zachariah Branch,JR,WR,"47 Rec, 503 Yds, 10.7 Avg"
Ja'Kobi Lane,JR,WR,"43 Rec, 525 Yds, 12.2 Avg"
Kyle Ford,SR,WR,"26 Rec, 317 Yds, 12.2 Avg"
Duce Robinson,JR,WR,"23 Rec, 396 Yds, 17.2 Avg"
Jay Fair,SR,WR,"8 Rec, 78 Yds, 9.8 Avg"
Jaden Richardson,SR,WR,"1 Rec, 19 Yds, 19.0 Avg"
Charles Ross,SR,WR,"1 Rec, 11 Yds, 11.0 Avg"
Asante Das,SR,WR,
Josiah Zamora,SR,WR,
Collin Fasse,SO,WR,
Xavier Jordan,SO,WR,
Brady Jung,SO,WR,
Corey Nerhus,SR,WR,
Donovan Wood,SR,WR,
Seth Zamora,SO,WR,
Lake McRee,SR,TE,"24 Rec, 245 Yds, 10.2 Avg"
Walker Lyons,SO,TE,"6 Rec, 36 Yds, 6.0 Avg"
Kade Eldridge,SO,TE,"3 Rec, 19 Yds, 6.3 Avg"
Joey Olsen,SO,TE,
Walter Matthews,SO,TE,
Carson Tabaracci,JR,TE,
CJ Woods,SR,TE,
Micah Banuelos,SO,OL,
Kaylon Miller,SO,OL,
Jonah Monheim,SR,OL,
Mason Murphy,SR,OL,
Alani Noa,JR,OL,
Kilian O'Connor,SR,OL,
Elijah Paige,SO,OL,
Emmanuel Pregnon,SR,OL,
Gino Quinones,SR,OL,
Tobias Raymond,SO,OL,
Jack Susnjar,SO,OL,
Amos Talalele,SO,OL,
Justin Tauanuu,SO,OL,
Travis Leonard,SO,OL,
Makai Saina,SO,OL,
Kalolo Ta'aga,SO,OL,
Erwin Taomi,JR,OL,
Hayden Treter,SO,OL,
Michael Lantz,SR,K,
Ryon Sayeri,SO,K,
Denis Lynch,SR,K,
Tyler Robles,SO,K,
Garth White,SR,K,
Mason Cobb,SR,LB,
Raesjon Davis,SR,LB,
Eric Gentry,SR,LB,
Garrison Madden,JR,LB,
Roman Marchetti,JR,LB,
Easton Mascarenas,SR,LB,
Elijah Newby,SO,LB,
Ryan Quintanar,SR,LB,
Desman Stephens II,SO,LB,
Jadyn Walker,SO,LB,
Matt GalvÃ¡n,SR,LB,
Eddie Czaplicki,SR,P,
Rey Sanchez,SR,P,
Cameron Shirangi,SR,P,
Jide Abasiri,SO,DT,
Bear Alexander,SR,DT,
Akili Arnold,SR,S,
Anthony Beavers Jr.,SR,S,
Zion Branch,JR,S,
Prophet Brown,SR,CB,
Ratumana Bulabalavu,SO,DT,
Nate Clifton,SR,DT,
Braylon Conley,SO,CB,
Jacobe Covington,SR,CB,
Kameryn Fountain,SO,DE,
Marquis Gallegos,SO,S,
Sam Greene,SO,DE,
Elijah Hughes,JR,DT,
John Humphrey,SR,CB,
Anthony Lucas,SR,DE,
Gavin Meyer,SR,DT,
Jamil Muhammad,SR,DE,
DeCarlos Nicholson,SR,CB,
Kobe Pepe,SR,DT,
Hank Pepper,SR,LS,
Christian Pierce,JR,S,
Kamari Ramsey,JR,S,
Bryson Shaw,SR,S,
Braylan Shelby,JR,DE,
Jaylin Smith,SR,CB,
Devan Thompkins,JR,DT,
Solomon Tuliaupupu,SR,DE,
Greedy Vance,SR,CB,
Marcelles Williams,SO,CB,
Kash Amos,SR,DT,
Jarvis Boatwright Jr.,SO,S,
Brendan Cho,SO,DT,
Lorenzo Cowan,SO,DE,
Maliki Crawford,SO,CB,
Hunter Dunn,SR,S,
Carlon Jones,SO,DT,
Devin McDonough,SR,LS,
DJ Peevy,SO,DE,
Garrett Pomerantz,SR,DE,
Isaiah Rubin,SO,CB,
Shawn Sehra,JR,CB,
Brandon Shepherd,SR,S,
