Player,Class,Pos,Summary
Isaac Wilson,SO,QB,"127 Cmp, 225 Att, 1510 Yds, 10 TD"
Cameron Rising,SR,QB,"34 Cmp, 66 Att, 555 Yds, 7 TD"
Brandon Rose,JR,QB,"19 Cmp, 36 Att, 157 Yds, 2 TD"
Luke Bottari,SR,QB,"19 Cmp, 30 Att, 171 Yds, 1 TD"
Dallen Engemann,SR,QB,
Sam Huard,SR,QB,
Micah Bernard,SR,RB,"197 Att, 1009 Yds, 5.1 Avg"
Mike Mitchell,JR,RB,"47 Att, 158 Yds, 3.4 Avg"
Dijon Stanley,JR,RB,"20 Att, 66 Yds, 3.3 Avg"
Charlie Vincent,SR,RB,"14 Att, 44 Yds, 3.1 Avg"
Jaylon Glover,SR,RB,"12 Att, 60 Yds, 5.0 Avg"
Omar Shah,SO,RB,"1 Att, 0 Yds, 0.0 Avg"
Laython Biddle,SO,RB,
Anthony Woods,JR,RB,
Damien Alford,SR,WR,
Zach Williams,SO,WR,"10 Rec, 101 Yds, 10.1 Avg"
Money Parks,SR,WR,"21 Rec, 294 Yds, 14.0 Avg"
Dorian Singer,SR,WR,"53 Rec, 702 Yds, 13.2 Avg"
Daidren Zipperer,JR,WR,"8 Rec, 122 Yds, 15.3 Avg"
Mycah Pittman,SR,WR,"6 Rec, 50 Yds, 8.3 Avg"
Landen King,SR,WR,"3 Rec, 54 Yds, 18.0 Avg"
Munir McClain,SR,WR,"3 Rec, 20 Yds, 6.7 Avg"
Luca Caldarella,SR,WR,"2 Rec, 26 Yds, 13.0 Avg"
Taeshawn Lyons,SO,WR,"1 Rec, 4 Yds, 4.0 Avg"
Rayshawn Glover,JR,WR,
Jett Meine,JR,WR,
David Washington,SO,WR,
Matt Clark,SO,WR,
Kaimana Hanohano,JR,WR,
Diezel Kamoku,SO,WR,
Cameron Mitchell,SO,WR,
Peyton Rice,JR,WR,
Brant Kuithe,SR,TE,"35 Rec, 505 Yds, 14.4 Avg"
Carsen Ryan,SR,TE,"10 Rec, 113 Yds, 11.3 Avg"
Caleb Lohner,SR,TE,"4 Rec, 54 Yds, 13.5 Avg"
Dallen Bentley,SR,TE,"2 Rec, 15 Yds, 7.5 Avg"
Miki Suguturaga,SR,TE,"1 Rec, 3 Yds, 3.0 Avg"
Spencer Clegg,JR,TE,
Frankie Goodson,JR,TE,
CJ Jacobsen,JR,TE,
Spencer Fano,JR,OL,
Isaiah Garcia,SO,OL,
Falcon Kaumatule,SR,OL,
Jaren Kump,SR,OL,
Caleb Lomu,JR,OL,
Johnny Maea,SR,OL,
Shintaro Mann,SR,OL,
Solatoa Moea'i,JR,OL,
Michael Mokofisi,SR,OL,
Keith Olson,JR,OL,
Tanoa Togiai,SR,OL,
Zereoue Williams,SR,OL,
Roger Alderman,JR,OL,
Alex Harrison,SR,OL,
Lukas Jackson,SO,OL,
Brennan Molina,SO,OL,
Reece Parmenter,SO,OL,
Kamilo Raass,SO,OL,
Alma Taleni,SO,OL,
Cole Becker,SR,K,
Trey Coleman,SO,K,
Joey Cheek,JR,K,
Hunter Andrews,SO,LB,
Moroni Anae,SR,LB,
Lander Barton,SR,LB,
Josh Calvert,SR,LB,
Sione Fotu,JR,LB,
Johnathan Hall,JR,LB,
Kana'i Lopes,SO,LB,
Karene Reid,SR,LB,
Trey Reynolds,JR,LB,
Jaeden Bland,SO,LB,
Levani Damuni,SR,LB,
Grady Mareko,SO,LB,
Jack Bouwmeester,SR,P,
Elliot Janish,SR,P,
Ka'eo Akana,JR,DE,
Jackson Bennee,SO,S,
CJ Blocker,JR,CB,
Cameron Calhoun,SO,CB,
Logan Castor,SR,LS,
John Henry Daley,JR,DE,
Elijah Davis,JR,CB,
Kash Dillon,SO,DE,
Elijah Elliss,SO,DE,
Rabbit Evans,SR,S,
Logan Fano,JR,DE,
Van Fillinger,SR,DE,
Paul Fitzgerald,JR,DE,
David Fotu,SR,DT,
Alaka'i Gilman,SR,S,
JT Greep,SR,LS,
Nick Howe,SR,CB,
Kenan Johnson,SR,CB,
Tao Johnson,JR,S,
Jonah Lea'ea,JR,DE,
Connor O'Toole,SR,DE,
Simote Pepa,SR,DT,
John Randle Jr.,JR,CB,
Nate Ritchie,JR,S,
Quimari Shemwell,SO,CB,
Smith Snowden,JR,CB,
Junior Tafuna,SR,DT,
Keanu Tanuvasa,JR,DT,
Vili Taufatofua,SR,DE,
Dallas Vakalahi,SO,DT,
Zemaiah Vaughn,SR,CB,
Aliki Vimahi,SR,DT,
Jori Benson,JR,DT,
Isaiah Brown,SO,CB,
Justice Brusatto,SR,DE,
Alex Cloward,SO,DE,
Jeilani Davis,SO,S,
Ben Durham,JR,S,
Sammie Hunter,SO,CB,
James LeBaron,JR,DT,
Helaman Ofengahue,JR,DE,
Bobby Piland,JR,DT,
Carter Stembridge,SO,S,
Nasir Stephens,SO,CB,
Mike Tauteoli,SO,DT,
Money Thompson,SO,CB,
Xane Uipi,JR,CB,
