Player,Class,Pos,Summary
Spencer Petras,SR,QB,"214 Cmp, 327 Att, 2315 Yds, 17 TD"
Bryson Barnes,SR,QB,"77 Cmp, 126 Att, 856 Yds, 12 TD"
Jacob Conover,SR,QB,"2 Cmp, 4 Att, 22 Yds, 0 TD"
Levi Manning,JR,QB,
Braden Siri,SR,QB,
CJ Tiller,SO,QB,
Rahsul Faison,SR,RB,"198 Att, 1109 Yds, 5.6 Avg"
Herschel Turner Jr.,SO,RB,"79 Att, 405 Yds, 5.1 Avg"
Derrick Jameson,JR,RB,"15 Att, 140 Yds, 9.3 Avg"
Robert Briggs,SR,RB,"9 Att, 88 Yds, 9.8 Avg"
Nick Floyd,SR,RB,"5 Att, 64 Yds, 12.8 Avg"
Jonathan Baird,JR,RB,
Corbin Cottle,SO,RB,
Tre Kofe,SO,RB,
Grant Page,JR,WR,"33 Rec, 281 Yds, 8.5 Avg"
Kyrese Rowan,SR,WR,"44 Rec, 526 Yds, 12.0 Avg"
Jalen Royals,SR,WR,"55 Rec, 834 Yds, 15.2 Avg"
Jack Hestera,SR,WR,"24 Rec, 340 Yds, 14.2 Avg"
Otto Tia,SR,WR,"44 Rec, 434 Yds, 9.9 Avg"
Colby Bowman,SR,WR,"7 Rec, 69 Yds, 9.9 Avg"
Kahanu Davis,SR,WR,
Robert Freeman IV,SR,WR,
Jackson Olsen,SO,WR,
Quentin Riley,JR,WR,
Cole Christensen,SO,WR,
Tate Kjar,SO,WR,
Josh Sterzer,SR,TE,"20 Rec, 202 Yds, 10.1 Avg"
Broc Lane,SR,TE,"19 Rec, 197 Yds, 10.4 Avg"
Will Monney,JR,TE,"11 Rec, 138 Yds, 12.5 Avg"
Grayson Brousseau,SO,TE,
Chase Tuatagaloa,JR,TE,
Noah Wright,SO,TE,
Falepule Alo,SR,OL,
Teague Andersen,JR,OL,
Trey Andersen,SR,OL,
Wyatt Bowles,SR,OL,
Cole Keele,SO,OL,
George Maile,JR,OL,
Aloali'i Maui,SR,OL,
Elia Migao,SR,OL,
Cole Motes,SR,OL,
Jared Pele,SR,OL,
Adam Pond,JR,OL,
Bryce Radford,JR,OL,
Jarvis Griffiths,SO,OL,
K'leyone Iosua,SO,OL,
Camden Jury,SO,OL,
Tavo Motu'apuaka,JR,OL,
Jr Sia,SO,OL,
Caysen Whittaker,SO,OL,
Elliott Nimrod,SR,K,
Tanner Cragun,SO,K,
Ryan Marks,JR,K,
Max Alford,JR,LB,
Cole Joyce,SR,LB,
Jon Ross Maye,SR,LB,
John Miller,SR,LB,
Bronson Olevao,JR,LB,
Jadon Pearson,SR,LB,
Logan Pili,JR,LB,
Clyde Washington,SR,LB,
Tanner Williams,SO,LB,
Will Booth,SO,LB,
Nathan Wright,SO,LB,
Stephen Kotsanlee,SR,P,
Zion Andreasen,SO,DE,
Isaiah Bruce,JR,DT,
Chase Davis,SO,S,
Marlin Dean,SR,DE,
Avante Dickerson,SR,CB,
JD Drew,JR,CB,
Mason Edwards,SR,CB,
Lawrence Falatea,SR,DE,
Noah Flores,SO,CB,
Jaiden Francois,SR,CB,
Jacob Garcia,SR,LS,
D.J. Graham,SR,CB,
Simeon Harris,SR,S,
William Holmes,SO,DE,
Gabriel Iniguez,SR,DT,
Miguel Jackson,SR,DT,
Tanner Jolley,JR,DE,
Gio Kafentzis,SO,S,
Ike Larsen,SR,S,
Ricky Lolohea,SO,DT,
Bo Maile,SR,DT,
Malik McConico,JR,S,
Enoka Migao,SR,DE,
Carl Nesmith,SR,DE,
Omari Okeke,SR,S,
Gabe Peterson,SR,DE,
Jacob Regen,SO,,
Cian Slone,SR,DE,
Teeg Slone,JR,S,
Blaine Spires,SR,DE,
Terrell Taylor,SR,S,
Seni Tuiaki,SR,DT,
Manase Tupou,SO,DT,
Torren Union,SR,S,
Collin Vaughn,SR,DT,
Jordan Vincent,SR,S,
Macyo Williams,SR,DT,
Braydon Bailey,SR,DT,
EJ Fisk Jr.,SR,CB,
Alexander McDougall,SO,LS,
Ioholani Raass,SR,DE,
Kadiyon Sweat,SO,S,
Courage Ugo,SR,CB,
Bryan Vogl,SO,DT,
