Player,Class,Pos,Summary
Skyler Locklear,JR,QB,"148 Cmp, 233 Att, 1583 Yds, 10 TD"
Cade McConnell,SR,QB,"40 Cmp, 71 Att, 540 Yds, 4 TD"
JP Pickles,SO,QB,"30 Cmp, 53 Att, 226 Yds, 0 TD"
Shay Smith,SO,QB,"3 Cmp, 3 Att, 20 Yds, 0 TD"
Zach Rodriguez,SR,QB,
Michael Southern,SO,QB,
Jevon Jackson,SR,RB,"191 Att, 754 Yds, 3.9 Avg"
Ezell Jolly,SO,RB,"64 Att, 248 Yds, 3.9 Avg"
Corey Wren,SR,RB,"10 Att, 24 Yds, 2.4 Avg"
Ashten Emory,SO,RB,"6 Att, 23 Yds, 3.8 Avg"
Joshua Dye,SO,RB,"6 Att, 20 Yds, 3.3 Avg"
Marquez Taylor,SO,RB,"1 Att, 0 Yds, 0.0 Avg"
Xavier Johnson,SO,RB,
Trey Goodman,SR,WR,"47 Rec, 469 Yds, 10.0 Avg"
Jaden Smith,SR,WR,"21 Rec, 177 Yds, 8.4 Avg"
Kam Thomas,SR,WR,"47 Rec, 532 Yds, 11.3 Avg"
Kenny Odom,JR,WR,"46 Rec, 741 Yds, 16.1 Avg"
Emari White,SR,WR,"15 Rec, 107 Yds, 7.1 Avg"
Ashton Nickelberry,SR,WR,"5 Rec, 56 Yds, 11.2 Avg"
Wondame Davis Jr.,SO,WR,"1 Rec, 7 Yds, 7.0 Avg"
Javoni Gardere,JR,WR,
Marcus Torres,SO,WR,
Rafeald Campbell,SO,WR,
Lucas Flores,SR,WR,
Caden Harris,JR,WR,
Kevin Hurley,SR,WR,
Miles McWhorter,JR,WR,
Xavier Phipps,SO,WR,
Josh Schuchts,SO,WR,
Luke Seib,JR,WR,
Marcus Vinson,SR,TE,"12 Rec, 113 Yds, 9.4 Avg"
Martavious Collins,SO,TE,
Judah Ezinwa,SR,TE,
Julian Lopez,SR,TE,
Zachary Essih,JR,TE,
Rolando Beltran,JR,OL,
Juan Camacho,SR,OL,
Azizi Henry,SR,OL,
Joseph Immediato,SR,OL,
Luka Matamoros,SO,OL,
Allan McCarter,SO,OL,
Tyrone D. McDuffie III,SO,OL,
Otis Pitts,SR,OL,
Brennan Smith,SR,OL,
Jaquan Toney,SR,OL,
Jake Utley,JR,OL,
RJ Whitehead,SR,OL,
Isaiah Wright,SR,OL,
Luis Carlos Aranda,JR,OL,
AJ Barton,SO,OL,
CK Carter,SR,OL,
Christopher Day,FR,OL,
Jake Riggs,SO,OL,
Craig Wydra,SO,OL,
Joe Bowman,SR,K,
Buzz Flabiano,JR,K,
Evan Scruggs,SO,K,
Aiden Webb,SO,K,
Elijah Baldwin,SO,DL,
Chase Bibler,SR,DL,
Kyran Duhon,SO,DL,
KD Johnson,SR,DL,
Hunter Rapolla,SR,DL,
Rafael Jaquez,SO,DL,
Christian Ray,SR,DL,
Dylan Brown-Turner,SO,LB,
Tray Dunson,SR,LB,
Nate Dyman,SR,LB,
Jake Hall,SR,LB,
Dorian Hopkins,SR,LB,
Brandon Jones,SO,LB,
Jaylin Jones,SO,LB,
Trace Meadows,SO,LB,
Jalen Rayam,SR,LB,
Stratton Shufelt,SO,LB,
Alex Szczesniak,JR,LB,
Ekow Taylor,SO,LB,
Kofi Taylor-Barrocks,SO,LB,
Edgar Garcia,SO,LB,
Victor Thomas,SO,LB,
Kory Chapman,SR,DB,
Dillion Williams,SR,DB,
Adam Jacklin,SO,P,
Josiah Allen,SR,CB,
Amir Boyd-Matthews,JR,CB,
John Burris III,SR,CB,
Ashton Coker,SO,DT,
Justin Content,SO,CB,
Valentino Diaz,JR,DE,
Josiah Dye,SO,S,
Ivan Escobar,SR,OC,
Devin Goree,SR,DE,
Jaime Guerrero,JR,S,
Josh Hancock,SR,LS,
Landon Hullaby,JR,S,
Joey Lightfoot,SO,DT,
Oscar Moore,SR,S,
A.J. Odums,SR,CB,
Michael Ray Jr.,SR,S,
Lantz Russell,SR,S,
Jaylon Shelton,SR,CB,
Xavier Smith,JR,S,
Tevita Tafuna,SR,DT,
Angelo Tejada,SR,LS,
Bryton Thompson,SR,DE,
Sione Tonga'uiha,SR,DT,
Quin Warren,SR,DT,
Maurice Westmoreland,SR,DE,
Yessman Green,SR,CB,
Cam Harrelson,SO,S,
Kam Herring,SO,CB,
Jayce Hunter,SR,S,
Atiq Muhammad,JR,CB,
Logologo Va'a,JR,DT,
