Player,Class,Pos,Summary
Owen McCown,JR,QB,"294 Cmp, 467 Att, 3424 Yds, 25 TD"
Eddie Lee Marburger,SR,QB,"22 Cmp, 40 Att, 234 Yds, 2 TD"
Dematrius Davis,SR,QB,
Jackson Gilkey,SO,QB,
Brandon Tennison,SO,QB,
Robert Henry,SR,RB,"130 Att, 706 Yds, 5.4 Avg"
Brandon High,SO,RB,"93 Att, 495 Yds, 5.3 Avg"
Kevorian Barnes,SR,RB,"78 Att, 221 Yds, 2.8 Avg"
Bryson Donnell,JR,RB,"35 Att, 172 Yds, 4.9 Avg"
Rocko Griffin,SR,RB,"17 Att, 44 Yds, 2.6 Avg"
Will Henderson III,SO,RB,"14 Att, 94 Yds, 6.7 Avg"
Justin Rodriguez,SR,RB,
Frankie Arthur,SO,RB,
Mason Culton,SO,RB,
David Amador II,JR,WR,"31 Rec, 376 Yds, 12.1 Avg"
Chris Carpenter,SR,WR,"39 Rec, 479 Yds, 12.3 Avg"
Willie McCoy,SR,WR,"28 Rec, 536 Yds, 19.1 Avg"
Devin McCuin,JR,WR,"45 Rec, 424 Yds, 9.4 Avg"
Mekhi Anderson,SO,WR,
DJ Allen,JR,WR,"11 Rec, 161 Yds, 14.6 Avg"
Jamel Hardy,SO,WR,"10 Rec, 116 Yds, 11.6 Avg"
Jace Wilson,JR,WR,"9 Rec, 79 Yds, 8.8 Avg"
J.J. Sparkman,SR,WR,"7 Rec, 78 Yds, 11.1 Avg"
Elliott Brow,SR,WR,"1 Rec, 2 Yds, 2.0 Avg"
De'Corian Clark,SR,WR,"1 Rec, 14 Yds, 14.0 Avg"
Justice Hurt,SO,WR,
Jaren Randle,SR,WR,
Ezekiel Saldana,SO,WR,
Oscar Cardenas,SR,TE,"13 Rec, 141 Yds, 10.8 Avg"
Houston Thomas,JR,TE,"34 Rec, 470 Yds, 13.8 Avg"
Patrick Overmyer,SO,TE,"31 Rec, 283 Yds, 9.1 Avg"
Dan Dishman,SR,TE,"12 Rec, 171 Yds, 14.3 Avg"
Nate Markiewicz,SO,TE,
Devin Scura,SO,TE,
Shea Adams,SO,TE,
Demetrris Allen,SR,OL,
Walker Baty,SR,OL,
Jaylen Garth,SR,OL,
Cory Godinet,SR,OL,
Makai Hart,SR,OL,
Davion Hurth,SO,OL,
CJ James,SR,OL,
Buffalo Kruize,SR,OL,
Deandre Marshall,JR,OL,
Jonah Miller,SR,OL,
Kamar Missouri,SR,OL,
Ben Rios,JR,OL,
Venly Tatafu,SR,OL,
Daniel Alonso,SO,OL,
Andrew Alvarado,SR,OL,
Jack Anderson,SR,OL,
Briley Brown,SO,OL,
Luke Lapeze,SR,OL,
Joseph Ugwu Jr.,SO,OL,
Chase Allen,SR,K,
Michael Petro,SO,K,
Tate Sandell,JR,K,
Brandon Brown,SR,DL,
Jameian Buxton,JR,DL,
Christian Clayton,SR,DL,
Joseph Evans,SR,DL,
Timothy Huff Jr.,JR,DL,
Jonathan Jones,JR,DL,
Tai Leonard,SR,DL,
Chidera Otutu,SO,DL,
Kenny Ozowalu,SO,DL,
Donald Quaite Jr.,SO,DL,
Zechariah Robinson,SO,DL,
Asyrus Simon,SR,DL,
Travon Sylvester,JR,DL,
Ronald Triplette,SR,DL,
Johnny Bowens III,SO,DL,
Anthony Santoscoy,JR,DL,
Kendrick Blackshire,SR,LB,
Kaleb Brown,JR,LB,
Chris Bryson,JR,LB,
Camron Cooper,SR,LB,
Martavius French,SR,LB,
Bryce Grays,JR,LB,
Ian Jackson,SR,LB,
Fred Lewis,SR,LB,
Jamal Ligon,SR,LB,
Owen Pewee,JR,LB,
Brevin Randle,SR,LB,
Jimmori Robinson,SR,LB,
Vic Shaw,SO,LB,
Donyai Taylor,SR,LB,
James Walley Jr.,SO,LB,
David Adedoyin,JR,LB,
Nnanna Anyanwu,SR,LB,
Mason Hall,JR,LB,
Amare Johnson,SO,LB,
Matthew Lambert,JR,LB,
Michael Owoeye,JR,LB,
Caile Hogan,SR,P,
Ethan Laing,SR,P,
Cade Collenback,SR,LS,
Elliott Davison,SR,S,
Syrus Dumas,SR,CB,
Zah Frazier,SR,CB,
Denver Harris,SR,CB,
Kenyan Kelly,SO,S,
Alpha Khan,JR,CB,
Jer'Marius Lewis,SR,S,
Ronald Link-Milam Jr.,SR,S,
Davin Martin,SO,CB,
Tyan Milton,SR,CB,
Zach Morris,SR,CB,
Elijah Newell,SO,S,
Ken Robinson,SR,S,
Jakevian Rodgers,SO,CB,
Marcellus Wilkerson,SR,S,
Daemian Wimberly,SO,DT,
Jimmy Wyrick,JR,S,
Errionn Brow,SR,CB,
Preston Huneycutt,SO,OG,
Austin Phillips,SO,LS,
Alan Pruneda,SO,S,
