Player,Class,Pos,Summary
Anthony Colandrea,JR,QB,"198 Cmp, 320 Att, 2125 Yds, 13 TD"
Tony Muskett,SR,QB,"45 Cmp, 76 Att, 545 Yds, 3 TD"
Grady Brosterhous,SR,QB,
Alexander Brady,SO,QB,
Gavin Frakes,SR,QB,
Boone Lourd,SO,QB,
Kobe Pace,SR,RB,"114 Att, 499 Yds, 4.4 Avg"
Xavier Brown,SR,RB,"80 Att, 488 Yds, 6.1 Avg"
Noah Vaughn,JR,RB,"36 Att, 120 Yds, 3.3 Avg"
Jack Griese,SR,RB,"15 Att, 55 Yds, 3.7 Avg"
Donte Hawthorne,JR,RB,
Davis Lane Jr.,SR,RB,"1 Att, 1 Yds, 1.0 Avg"
Landon Spell,SR,RB,
Malachi Fields,SR,WR,"55 Rec, 808 Yds, 14.7 Avg"
Suderian Harrison,JR,WR,"11 Rec, 99 Yds, 9.0 Avg"
Chris Tyree,SR,WR,"24 Rec, 136 Yds, 5.7 Avg"
Kameron Courtney,SO,WR,"12 Rec, 114 Yds, 9.5 Avg"
Trell Harris,SR,WR,"15 Rec, 221 Yds, 14.7 Avg"
Jaden Gibson,JR,WR,"10 Rec, 91 Yds, 9.1 Avg"
Andre Greene Jr.,JR,WR,"9 Rec, 74 Yds, 8.2 Avg"
Sean Wilson,SR,WR,"8 Rec, 121 Yds, 15.1 Avg"
TyLyric Coleman,JR,WR,"4 Rec, 33 Yds, 8.3 Avg"
Eli Wood,SR,WR,"3 Rec, 15 Yds, 5.0 Avg"
Ethan Davies,SR,WR,"1 Rec, 65 Yds, 65.0 Avg"
Dillon Tennyson,SR,WR,
KJ Bratton,SR,WR,
Titus Ivy,JR,WR,
Trevor Ladd,SO,WR,
Claiborne Richards,JR,WR,
Triston Ward,SO,WR,
Tyler Neville,SR,TE,"37 Rec, 394 Yds, 10.6 Avg"
Dakota Twitty,SR,TE,"10 Rec, 78 Yds, 7.8 Avg"
Sackett Wood Jr.,SR,TE,"3 Rec, 18 Yds, 6.0 Avg"
Sage Ennis,SR,TE,"1 Rec, 2 Yds, 2.0 Avg"
John Rogers,SO,TE,
Hayden Rollison,JR,TE,
Henry Duke,SR,TE,
Karson Gay,SR,TE,
TeKai Kirby,JR,TE,
Henry Omohundro,SO,TE,
McKale Boley,SR,OL,
Jimmy Christ,SR,OL,
Grant Ellinger,SO,OL,
Ty Furnish,SR,OL,
Noah Josey,SR,OL,
Ugonna Nnanna,SR,OL,
Charlie Patterson,SR,OL,
Ethan Sipe,SR,OL,
Blake Steen,SR,OL,
Brian Stevens,SR,OL,
Jack Witmer,SR,OL,
Dane Wlekinski,SO,OL,
Ben York,SO,OL,
Dawson Alters,SR,OL,
Houston Curry,SR,OL,
Noah Hartsoe,SR,OL,
Alex Reisig,SO,OL,
Will Bettridge,SR,K,
Vadin Bruot,SR,K,
Max Prozny,SO,K,
Myles Brown,SO,LB,
Kendall Cross,SR,LB,
Landon Danley,JR,LB,
James Jackson,SR,LB,
Dorian Jones,SR,LB,
Rob Keys,JR,LB,
Logan Kotter,SR,LB,
Trey McDonald,SR,LB,
Kam Robinson,JR,LB,
Stevie Bracey,SR,LB,
Cayden Cook-Cash,SO,LB,
Josh McCarron,SR,LB,
Micah Gaffney,SR,DB,
Elijah Gaines,SR,DB,
Kendren Smith,SR,DB,
Kevin Chadwick Jr.,JR,DB,
Aidan Ryan,SR,DB,
Daniel Sparks,SR,P,
Elijah Slibeck,JR,P,
Keke Adams,SO,S,
Trent Baker-Booker,JR,CB,
Chico Bennett Jr.,SR,DE,
Anthony Britton,JR,DT,
Payton Bunch,SR,LS,
Kameron Butler,SR,DE,
Bryce Carter,SR,DE,
Jahmeer Carter,SR,DT,
Antonio Clary,SR,S,
Michael Diatta,SR,DT,
Kevon Gray,SO,CB,
Malcolm Greene,SR,CB,
Jason Hammond,JR,DT,
Caleb Hardy,JR,S,
Jewett Hayes,SO,DE,
Jermarian Jackson,SR,CB,
Terrell Jones,SR,DT,
Joey Kagel,SR,OC,
Billy Koudelka,SO,DE,
Ethan Minter,SO,S,
Bryce Purnell,SR,DT,
Jonas Sanker,SR,S,
Kempton Shine,SR,CB,
Ben Smiley III,SR,DE,
Dane Steele,JR,OG,
Cole Surber,JR,OG,
Corey Thomas Jr.,SR,S,
Dre Walker,JR,CB,
Nana Appouh,JR,DT,
Mekhi Buchanan,JR,DE,
Luke Byrne,SR,LS,
Robbie Engelberg,SR,S,
Miles Greene,JR,DE,
Joseph Holland III,SR,DE,
John Hurley,SR,CB,
Armstrong Jones,SO,S,
DJ Jones,JR,DT,
Andy Lutes,JR,OT,
Drake Metcalf,SR,OC,
Chase Morrison,SO,DE,
Tyler Simmons,SO,DE,
Gabe Sneed,JR,DE,
Justin Stewart,JR,DE,
Lorenz Terry,SR,DE,
Andrew Williams,SR,DT,
