Player,Class,Pos,Summary
Kyron Drones,SR,QB,"136 Cmp, 224 Att, 1562 Yds, 10 TD"
William Watson III,SO,QB,"34 Cmp, 58 Att, 481 Yds, 1 TD"
Collin Schlee,SR,QB,"28 Cmp, 55 Att, 414 Yds, 3 TD"
Ben Locklear,SR,QB,
Davi Belfort,SO,QB,
Jackson Sigler,SO,QB,
Bhayshul Tuten,SR,RB,"183 Att, 1159 Yds, 6.3 Avg"
Malachi Thomas,SR,RB,"43 Att, 165 Yds, 3.8 Avg"
Jeremiah Coney,SO,RB,"32 Att, 179 Yds, 5.6 Avg"
Tyler Mason,SO,RB,"10 Att, 39 Yds, 3.9 Avg"
P.J. Prioleau,SR,RB,"7 Att, 29 Yds, 4.1 Avg"
John Buetow,SO,RB,
Ty'Drez Clements,FR,RB,
Jaylin Lane,SR,WR,"38 Rec, 466 Yds, 12.3 Avg"
Ayden Greene,JR,WR,"19 Rec, 268 Yds, 14.1 Avg"
Da'Quan Felton,SR,WR,"32 Rec, 360 Yds, 11.3 Avg"
Keylen Adams,SO,WR,"1 Rec, 14 Yds, 14.0 Avg"
Takye Heath,JR,WR,"1 Rec, 5 Yds, 5.0 Avg"
Stephen Gosnell,SR,WR,"28 Rec, 506 Yds, 18.1 Avg"
Ali Jennings,SR,WR,"15 Rec, 373 Yds, 24.9 Avg"
Chance Fitzgerald,SO,WR,
Xayvion Turner-Bradshaw,JR,WR,
Chanz Wiggins,SO,WR,
L.J. Booker,SO,WR,
Tucker Holloway,SR,WR,
Charlie O'Connor,SO,WR,
Jordan Tapscott,FR,WR,
Benji Gosnell,JR,TE,"32 Rec, 341 Yds, 10.7 Avg"
Harrison Saint Germain,JR,TE,"4 Rec, 25 Yds, 6.3 Avg"
Nick Gallo,SR,TE,
Ja'Ricous Hairston,SO,TE,
Cole Reemsnyder,JR,TE,
Zeke Wimbush,SO,TE,
Connor Ferguson,SO,TE,
Cole Pickett,SR,TE,
Xavier Chaplin,JR,OL,
Parker Clements,SR,OL,
Montavious Cunningham,JR,OL,
Griffin Duggan,SR,OL,
Johnny Garrett,JR,OL,
Layth Ghannam,SO,OL,
Gunner Givens,JR,OL,
Hannes Hammer,SO,OL,
Elijah Haughawout,SO,OL,
Grant Karczewski,SO,OL,
Brody Meadows,JR,OL,
Braelin Moore,JR,OL,
Kaden Moore,SR,OL,
Caleb Nitta,SO,OL,
Tommy Ricard,SO,OL,
Bob Schick,SR,OL,
Tyler Smedley,SR,OL,
Lance Williams,SO,OL,
Web Davidson,SO,OL,
Aidan Lynch,SO,OL,
John Love,JR,K,
Kyle Lowe,SR,K,
Aiden Daugherty,SO,K,
Connor McLaughlin,SO,K,
Jason Abbey,SO,DL,
Keyshawn Burgos,SR,DL,
Kemari Copeland,SR,DL,
Josh Fuga,SR,DL,
Kelvin Gilliam,SR,DL,
James Jennette,SR,DL,
Gerard Johnson,SO,DL,
Elijah Klock,JR,DL,
Emmett Laws,SO,DL,
Malachi Madison,JR,DL,
C.J. McCray,SR,DL,
Jorden McDonald,SR,DL,
Cole Nelson,SR,DL,
Wilfried Pene,SR,DL,
Khurtiss Perry,JR,DL,
Antwaun Powell,SR,DL,
Aycen Stevens,SO,DL,
Deric Dandy,SO,DL,
Ishmael Findlayter,FR,DL,
Andrew Hanchuk,SO,DL,
George Ballance,SO,LB,
Sam Brumfield,SR,LB,
Josh Hand,JR,LB,
Will Johnson,SR,LB,
Jaden Keller,SR,LB,
Keli Lawson,SR,LB,
Jayden McDonald,SR,LB,
Kaleb Spencer,JR,LB,
Darius Taylor,SO,LB,
Caleb Woodson,JR,LB,
Jaelyn Allen,SO,LB,
Peter Moore,SR,P,
Nick Veltsistas,SR,P,
Devin Alves,JR,S,
Joshua Clarke,SO,CB,
Mansoor Delane,SR,CB,
Miles Ellis,SR,CB,
Christian Epling,JR,LS,
Cameron Fleming,JR,S,
Josh Gholston,SR,S,
Keonta Jenkins,SR,S,
Noah Jenkins,SO,S,
Braylon Johnson,JR,CB,
Brody Jones,SO,S,
Jaylen Jones,SR,S,
Dante Lovett,JR,CB,
Aeneas Peebles,SR,DT,
Jonathan Pennix,SO,CB,
Mose Phillips III,JR,S,
Quentin Reddish,SO,S,
Jalen Stroman,SR,S,
Dorian Strong,SR,CB,
Gabe Williams,SO,S,
Krystian Williams,SO,CB,
Thomas Williams,SO,CB,
Griffin Armstrong,SR,LS,
Tyler Childress,SR,S,
Israel Hairston,SO,CB,
Stephon Hicks,SO,S,
Sam Hughes,SR,S,
Josh Jones,SO,CB,
Tate Kendall,SO,LS,
